key	text	tooltip
#Loc;1;text/db/avatar_aesthetic_sets.loc		
avatar_aesthetic_sets_localised_name_armour_set_scale_cuirass	Armour Set: Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_blade_master	Armour Set: Blade Master	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_tier_1_promotion	Crest: Tier 1 Clan Promotion	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_clanmap_region	Achievement Crest: Win a Clanmap Region	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_drop_in_battle	Achievement Crest: Fight 1 Drop-In Battle	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_clanmap_season	Achievement Crest: Clan Season Victory	true
avatar_aesthetic_sets_localised_name_armour_set_oda_nobunaga	Armour Set: Oda Nobunaga	true
avatar_aesthetic_sets_localised_name_armour_set_kato_kiyomasa	Armour Set: Kato Kiyomasa	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_shinsengumi_2	Shinsengumi Uniform 2	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_shinsengumi_1	Shinsengumi Uniform 1	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_joined_clan	Achievement Crest: Join a Clan	true
avatar_aesthetic_sets_localised_name_armour_set_toyotomi_hideyoshi	Armour Set: Toyotomi Hideyoshi	true
avatar_aesthetic_sets_localised_name_armour_set_maeda_toshie	Armour Set: Maeda Toshie	true
avatar_aesthetic_sets_localised_name_armour_set_date_masamune	Armour Set: Date Masamune	true
avatar_aesthetic_sets_localised_name_armour_set_kawari_kabuto	Armour Set: Kawari Kabuto	true
avatar_aesthetic_sets_localised_name_armour_set_sparse_point_laced	Armour Set: Sparse Point Laced	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_late_samurai_3	Late Samurai Uniform 3	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_late_samurai_2	Late Samurai Uniform 2	true
avatar_aesthetic_sets_localised_name_armour_set_catfish_tail	Armour Set: Catfish Tail	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_comp_winner	Armour Item: Clan Champions	true
avatar_aesthetic_sets_localised_name_armour_set_itakura_katsushige	Armour Set: Itakura Katsushige	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_naval_battle	Achievement Crest: Fight 1 Naval Battle	true
avatar_aesthetic_sets_localised_name_armour_set_ichinotani	Armour Set: Ichinotani	true
avatar_aesthetic_sets_localised_name_armour_set_morning_glory	Armour Set: Morning Glory	true
avatar_aesthetic_sets_localised_name_armour_set_western_style	Armour Set: Western Style	true
avatar_aesthetic_sets_localised_name_armour_set_silver_scale_cuirass	Armour Set: Silver Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_golden_scale_cuirass	Armour Set: Golden Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_quick_battle	Achievement Crest: Fight 1 Quick Battle	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_25	Achievement Crest: Clan Leaderboard Top 25	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_army_colour_change	Achievement Crest: Army Colour Change	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_10	Achievement Crest: Clan Leaderboard Top 10	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_5_clanmap_regions	Achievement Crest: Win 5 Clanmap Regions	true
