key	text	tooltip
#Loc;1;text/db/avatar_aesthetics.loc		
avatar_aesthetics_localised_name_legs_uesugi_kenshin	Suneate Greaves of Uesugi Kenshin	true
avatar_aesthetics_localised_name_helm_uesugi_kenshin	Kabuto Helmet of Uesugi Kenshin	true
avatar_aesthetics_localised_name_legs_tokugawa_ieyasu	Suneate Greaves of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_helm_bos_clan_comp_winner	Cap of the Clan Champions	true
avatar_aesthetics_localised_name_horse_basic_palomino	Dappled Horse	true
avatar_aesthetics_localised_name_horse_samurai_grey	Samurai Grey Horse	true
avatar_aesthetics_localised_name_thigh_uesugi_kenshin	Haidate Thigh-Shields of Uesugi Kenshin	true
avatar_aesthetics_localised_name_crest_default_blank	No crest	true
avatar_aesthetics_localised_name_helm_blade_master	Kabuto Helmet: Blade Master	true
avatar_aesthetics_localised_name_chest_maeda_toshie	Do Cuirass of Maeda Toshie	true
avatar_aesthetics_localised_name_chest_uesugi_kenshin	Do Cuirass of Uesugi Kenshin	true
avatar_aesthetics_localised_name_helm_oda_nobunaga	Kabuto Helmet of Oda Nobunaga	true
avatar_aesthetics_localised_name_shoulder_multicolour_laced	Sode Shoulder Guards: Multicolour Laced	true
avatar_aesthetics_localised_name_sashimono_multicolour_laced	Sashimono: Multicolour Laced	true
avatar_aesthetics_localised_name_shoulders_hosokawa_tadaoki	Sode Shoulder Guards of Hosokawa Tadaoki	true
avatar_aesthetics_localised_name_arms_tokugawa_ieyasu	Kote Armoured Sleeves of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_thigh_western_style	Haidate Thigh-Shields: Western Style	true
avatar_aesthetics_localised_name_chest_western_style	Do Cuirass: Western Style	true
avatar_aesthetics_localised_name_helm_tokugawa_ieyasu	Kabuto Helmet of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_mask_oda_nobunaga	Men Yoroi Face Armour of Oda Nobunaga	true
avatar_aesthetics_localised_name_sashimono_default	Sashimono: Infantry	true
avatar_aesthetics_localised_name_arms_shogun	Kote Armoured Sleeves of the Shogun	true
avatar_aesthetics_localised_name_chest_morning_glory	Do Cuirass: Morning Glory	true
avatar_aesthetics_localised_name_helm_default_kabuto	Kabuto Helmet	true
avatar_aesthetics_localised_name_shoulders_tokugawa_ieyasu	Sode Shoulder Guards of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_thigh_oda_nobunaga	Haidate Thigh-Shields of Oda Nobunaga	true
avatar_aesthetics_localised_name_horse_masked_grey	Masked Grey Horse	true
avatar_aesthetics_localised_name_legs_default_samurai_leg_1	Samurai Suneate Greaves	true
avatar_aesthetics_localised_name_horse_basic_chestnut	Chestnut Horse	true
avatar_aesthetics_localised_name_chest_shogun	Do Cuirass of the Shogun	true
avatar_aesthetics_localised_name_crest_shogun	Crest of the Shogun	true
avatar_aesthetics_localised_name_horse_samurai_bay	Samurai Bay Horse	true
avatar_aesthetics_localised_name_sashimono_tokugawa_ieyasu	Sashimono of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_horse_samurai_tan	Samurai Tan Horse	true
avatar_aesthetics_localised_name_crest_ach_won_clanmap_season	Achievement Crest: Loyal to the Clan	true
avatar_aesthetics_localised_name_sashimono_hosokawa_tadaoki	Sashimono of Hosokawa Tadaoki	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_1	Late Samurai Uniform 1: Arm Guard Samurai Kimono	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_3	Late Samurai Uniform 3: Modern Shirt	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_2	Late Samurai Uniform 2: Samurai Kimono	true
avatar_aesthetics_localised_name_crest_ach_won_clanmap_region	Standard Crest	true
avatar_aesthetics_localised_name_arms_oda_nobunaga	Kote Armoured Sleeves of Oda Nobunaga	true
avatar_aesthetics_localised_name_legs_oda_nobunaga	Suneate Greaves of Oda Nobunaga	true
avatar_aesthetics_localised_name_mask_tokugawa_ieyasu	Men Yoroi Face Armour of Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_arms_morning_glory	Kote Armoured Sleeves: Morning Glory	true
avatar_aesthetics_localised_name_horse_samurai_brown	Samurai Brown Horse	true
avatar_aesthetics_localised_name_chest_blade_master	Do Cuirass: Blade Master	true
avatar_aesthetics_localised_name_helm_maeda_toshie	Kabuto Helmet of Maeda Toshie	true
avatar_aesthetics_localised_name_crest_blade_master	Datemono Crest: Blade Master	true
avatar_aesthetics_localised_name_arms_uesugi_kenshin	Kote Armoured Sleeves of Uesugi Kenshin	true
avatar_aesthetics_localised_name_helm_western_style	Kabuto Helmet: Western Style	true
avatar_aesthetics_localised_name_legs_shogun	Suneate Greaves of the Shogun	true
avatar_aesthetics_localised_name_legs_morning_glory	Suneate Greaves: Morning Glory	true
avatar_aesthetics_localised_name_sword_shogun	Katana of the Shogun	true
avatar_aesthetics_localised_name_crest_oda_nobunaga	Datemono Crest of Oda Nobunaga	true
avatar_aesthetics_localised_name_helm_catfish_tail	Kabuto Helmet: Catfish Tail	true
avatar_aesthetics_localised_name_chest_oda_nobunaga	Do Cuirass of Oda Nobunaga	true
avatar_aesthetics_localised_name_helm_morning_glory	Kabuto Helmet: Morning Glory	true
avatar_aesthetics_localised_name_mask_shogun	Menpo Mask of the Shogun	true
avatar_aesthetics_localised_name_thigh_shogun	Haidate Thigh-Shields of the Shogun	true
avatar_aesthetics_localised_name_mask_western_style	Men Yoroi Face Armour: Western Style	true
avatar_aesthetics_localised_name_bow_default	Standard Yumi Bow 1	true
avatar_aesthetics_localised_name_mask_catfish_tail	Men Yoroi Face Armour: Catfish Scale	true
avatar_aesthetics_localised_name_boshin_leg_late_samurai_2	Late Samurai Uniform 2: Colourful Samurai Hakama	true
avatar_aesthetics_localised_name_boshin_leg_late_samurai_3	Late Samurai Uniform 3: Traditional Trousers	true
avatar_aesthetics_localised_name_boshin_leg_late_samurai_1	Late Samurai Uniform 1: Striped Samurai Hakana	true
avatar_aesthetics_localised_name_helm_default_zunari_kabuto	Zunari Kabuto Helmet	true
avatar_aesthetics_localised_name_sashimono_default_cavalry	Sashimono: Cavalry	true
avatar_aesthetics_localised_name_boshin_helmet_shinsengumi_2	Shinsengumi Uniform 2: Cone Jingasa	true
avatar_aesthetics_localised_name_boshin_helmet_shinsengumi_1	Shinsengumi Uniform 1: Modern Small Jingasa	true
avatar_aesthetics_localised_name_helm_kawari_kabuto	Kabuto Helmet: Kawari Kabuto	true
avatar_aesthetics_localised_name_crest_ach_1_quick_battle	Achievement Crest: A Respectable Rule	true
avatar_aesthetics_localised_name_crest_ach_1_drop_in_battle	Achievement Crest: Commander of Commoners	true
avatar_aesthetics_localised_name_crest_clan_comp_promotion	Crest: Clan Competition Tier Promotion	true
avatar_aesthetics_localised_name_crest_ach_army_colour_change	Achievement Crest: Forged in the Hottest Flame	true
avatar_aesthetics_localised_name_legs_date_masamune	Suneate Greaves of Date Masamune	true
avatar_aesthetics_localised_name_legs_ikko_ikki_feet	Ikko-Ikki Barefoot	true
avatar_aesthetics_localised_name_chest_goldfish_scale	Do Cuirass: Goldfish Scale	true
avatar_aesthetics_localised_name_crest_goldfish_scale	Datemono Crest: Goldfish Scale	true
avatar_aesthetics_localised_name_crest_naoe_kanetsugu	Datemono Crest of Naoe Kanetsugu	true
avatar_aesthetics_localised_name_chest_scale_cuirass	Do Cuirass: Scale	true
avatar_aesthetics_localised_name_crest_golden_scale_cuirass	Datemono Crest: Golden Scale	true
avatar_aesthetics_localised_name_chest_silver_scale_cuirass	Do Cuirass: Silver Scale	true
avatar_aesthetics_localised_name_chest_golden_scale_cuirass	Do Cuirass: Golden Scale	true
avatar_aesthetics_localised_name_boshin_leg_modern_4	Modern Uniform 4: Cavalry Trousers	true
avatar_aesthetics_localised_name_boshin_leg_modern_1	Modern Uniform 1: Dark Gaiter Trousers	true
avatar_aesthetics_localised_name_boshin_leg_modern_3	Modern Uniform 3: Modern Trousers	true
avatar_aesthetics_localised_name_boshin_leg_modern_2	Modern Uniform 2: White Gaiter Trousers	true
avatar_aesthetics_localised_name_helm_date_masamune	Kabuto Helmet of Date Masamune	true
avatar_aesthetics_localised_name_shoulder_default_jin_baori_1	Jin Baori Surcoat	true
avatar_aesthetics_localised_name_boshin_leg_french_1	French Uniform: French Marine Trousers	true
avatar_aesthetics_localised_name_mask_goldfish_scale	Men Yoroi Face Armour: Goldfish Scale	true
avatar_aesthetics_localised_name_thigh_goldfish_scale	Haidate Thigh-Shields: Goldfish Scale	true
avatar_aesthetics_localised_name_arms_golden_scale_cuirass	Kote Armoured Sleeves: Golden Scale	true
avatar_aesthetics_localised_name_legs_golden_scale_cuirass	Suneate Greaves: Golden Scale	true
avatar_aesthetics_localised_name_arms_silver_scale_cuirass	Kote Armoured Sleeves: Silver Scale	true
avatar_aesthetics_localised_name_chest_kato_kiyomasa	Do Cuirass of Kato Kiyomasa	true
avatar_aesthetics_localised_name_legs_silver_scale_cuirass	Suneate Greaves: Silver Scale	true
avatar_aesthetics_localised_name_boshin_leg_british_1	British Uniform: Royal Marine Officer Trousers	true
avatar_aesthetics_localised_name_boshin_arm_british_1	British Uniform: Royal Marine Officer Tunic	true
avatar_aesthetics_localised_name_boshin_helmet_late_samurai_2	Late Samurai Uniform 2: Paper Jingasa	true
