key	text	tooltip
#Loc;1;text/db/avatar_aesthetics_localised_source_lookups.loc		
avatar_aesthetics_localised_source_lookups_description_achievement_united_in_conquest	Complete Achievement: United in Conquest	true
avatar_aesthetics_localised_source_lookups_description_achievement_army_on_the_march	Complete Achievement: The Army on the March	true
avatar_aesthetics_localised_source_lookups_description_achievement_advanced_firearms	Complete Achievement: Advanced Firearms	true
avatar_aesthetics_localised_source_lookups_description_achievement_man_the_defences	Complete Achievement: Man the Defences	true
avatar_aesthetics_localised_source_lookups_description_achievement_eradicate_the_iga	Complete Achievement: Eradicate the Iga	true
avatar_aesthetics_localised_source_lookups_description_achievement_respectable_rule	Complete Achievement: A Respectable Rule	true
avatar_aesthetics_localised_source_lookups_description_achievement_headhunter	Complete Achievement: Headhunter	true
avatar_aesthetics_localised_source_lookups_description_achievement_uniter_of_japan	Complete Achievement: Uniter of Japan	true
avatar_aesthetics_localised_source_lookups_description_achievement_dragon_of_japan	Complete Achievement: The Dragon of Japan	true
avatar_aesthetics_localised_source_lookups_description_achievement_achievement_without_honour	Complete Achievement: Achievement Without Honour	true
avatar_aesthetics_localised_source_lookups_description_achievement_claw_of_the_tiger	Complete Achievement: Claw of the Tiger	true
avatar_aesthetics_localised_source_lookups_description_achievement_inspiring_counterattack	Complete Achievement: Inspiring Counterattack	true
avatar_aesthetics_localised_source_lookups_description_achievement_swift_and_deadly	Complete Achievement: Swift and Deadly	true
avatar_aesthetics_localised_source_lookups_description_achievement_experienced_taisho	Complete Achievement: Experienced Taisho	true
avatar_aesthetics_localised_source_lookups_description_achievement_tokugawa_victory	Complete Achievement: Tokugawa Victory	true
avatar_aesthetics_localised_source_lookups_description_clan_comp_promotion	Your clan must achieve promotion to a new clan competition tier to unlock this item.	true
avatar_aesthetics_localised_source_lookups_description_battle	Random Post-Battle Drop	true
avatar_aesthetics_localised_source_lookups_description_achievement_fearsome_commander_of_men	Complete Achievement: Fearsome Commander of Men	true
avatar_aesthetics_localised_source_lookups_description_achievement_balanced_attacker	Complete Achievement: Balanced Attacker	true
avatar_aesthetics_localised_source_lookups_description_achievement_chosokabe_victory	Complete Achievement: Chosokabe Victory	true
