key	text	tooltip
#Loc;1;text/db/avatar_ancillaries_descriptions.loc		
avatar_ancillaries_descriptions_description_mp_bosh_anc_skilled_weaponsmith1	\\n %+n melee attack for all spear infantry units. \\n \\n The edge is where the moment is decided.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_foul_bottom1	\\n Enemy frigate movement speed: %n%%. \\n \\n "A foul bottom? How dare you sir?!"	true
avatar_ancillaries_descriptions_description_mp_anc_cold_snap1	\\n %-n reload skill for all enemy bow units. \\n \\n Cold hands make strangers of familiar tasks.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_cold_snap1	\\n %-n reload skill for all enemy bow units. \\n \\n Cold hands make strangers of familiar tasks.	true
avatar_ancillaries_descriptions_description_mp_clan_anc_bow1	\\n Reduced bow unit casualties. \\n Increased Clan Influence Points gain. \\n \\n Training is never wasted in life.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_skilled_gun_captain1	\\n Gunboat accuracy: %+n. \\n \\n "Steady. Steady. Fire!"	true
avatar_ancillaries_descriptions_description_mp_anc_yagyu_sword_instructor1	\\n %+n melee attack for all sword infantry. \\n \\n "Do not cut at your enemy. Perfect the stroke!"	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_improved_gun_sights1	\\n Corvette accuracy: %+n. \\n \\n Science removes the guesswork from gunnery.	true
avatar_ancillaries_descriptions_description_mp_anc_shinobi_informer1	\\n Reveals the deployment of all enemy units not hidden. \\n Cancels effect of enemy Sage Advisor retainer. \\n \\n Secrets and lies travel in the same cart.	true
avatar_ancillaries_descriptions_description_mp_anc_geisha_poisoner1	\\n Increases enemy avatar cooldowns by %n0%. \\n Cancels effects of enemy Metsuke Inspector retainer. \\n \\n There can be mercy in a dish of tea.	true
avatar_ancillaries_descriptions_description_mp_legendary_tenkagoken_sword1	\\n Avatar: %+n melee attack. \\n \\n Some swords will seek out worthy hands.	true
avatar_ancillaries_descriptions_description_mp_anc_mark_of_fantacism1	\\n Avatar: \\n Your Avatar and his bodyguard have %+n morale. \\n \\n An honest faith armours an honest soul.	true
avatar_ancillaries_descriptions_description_mp_anc_garden_of_convalescence1	\\n Your two most damaged veteran units will fully heal before the next battle. \\n \\n A garden soothes the soul.	true
avatar_ancillaries_descriptions_description_mp_anc_shoguns_emissary1	\\n Allows player to field Great Guard units. \\n \\n The blessings of heaven come in many forms.	true
avatar_ancillaries_descriptions_description_mp_anc_zen_like_silence1	\\n The range at which the enemy can spot hidden units is subject to a %n%% penalty. \\n \\n The calm heart does not beat like a drum.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_military_storehouse1	\\n Increased fatigue resistance for all melee infantry. \\n \\n Without stores, an army soon becomes a hungry mob.	true
avatar_ancillaries_descriptions_description_mp_anc_bad_omen1	\\n %-n morale to all enemy ashigaru units. \\n \\n A man makes his own fate, sometimes.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_improved_breech_mechanism1	\\n Ironclad reload skill: %+n. \\n \\n Precision engineered for maximum efficiency.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_yari_master1	\\n %+n melee defence for all spear infantry. \\n \\n Even the simplest thing must be mastered.	true
avatar_ancillaries_descriptions_description_mp_anc_european_gunsmith1	\\n %+n accuracy for all matchlock units. \\n \\n The smell is sulphurous, the results: astounding!	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_minie_muzzle_loading_rifle1	\\n Tosa Riflemen, Yugekitai & Sharpshooter accuracy: %+n. \\n \\n Simple, sturdy, and soldier-proof. Deadly, in the right hands, too.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_uma_i_horse_doctor1	\\n Avatar: %+n% speed. \\n \\n A horseman is only as good as his horse.	true
avatar_ancillaries_descriptions_description_mp_anc_genpei_enryakuji_fugitive1	\\n Naginata Attendants: %+n charge bonus,	true
avatar_ancillaries_descriptions_description_mp_anc_genpei_enryakuji_fugitive2	%+n melee attack. \\n \\n "Fall upon the enemy with the flames of Enryakuji in your hearts!"	true
avatar_ancillaries_descriptions_description_mp_bosh_clan_imperial1	\\n Reduced modern Imperial unit casualties. \\n Increased Clan Influence Points gain. \\n \\n There is great honour in service to the Emperor.	true
avatar_ancillaries_descriptions_description_mp_anc_steppe_horse_stud1	\\n Light cavalry: %+n melee attack. \\n \\n Careful husbandry always improves the breed.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_livestock_pestilence1	\\n Reduced speed for all enemy cavalry units. \\n \\n Dull eye and drooping ear speak eloquently of the suffering within.	true
avatar_ancillaries_descriptions_description_mp_anc_zori_tori_sandal_bearer1	\\n Avatar: increased fatigue resistance. \\n \\n No task is humble if it is done well.	true
avatar_ancillaries_descriptions_description_mp_anc_forage_parties1	\\n Increased fatigue resistance for all cavalry. \\n \\n  Peasants cannot hide everything.	true
avatar_ancillaries_descriptions_description_mp_anc_cavalry_officer1	\\n %+n morale to all cavalry. \\n \\n Men, like horses, need a firm hand.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_mouldy_feedstocks1	\\n Reduced fatigue resistance for all enemy cavalry. \\n \\n A horse's stamina is only a good as the oats it is fed.	true
avatar_ancillaries_descriptions_description_mp_anc_gokamon_bodyguard1	\\n Avatar: %+n melee defence. \\n \\n A man at your back forestalls many problems.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_crack_frigate_crew2	%n%% to Fast Reload ability cooldown. \\n \\n Even a frigate is only as fast as her crew.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_crack_frigate_crew1	\\n Frigates: %n%% to Overheat Engine ability cooldown & 	true
avatar_ancillaries_descriptions_description_mp_anc_yabusami_master1	\\n Avatar: %+n accuracy, \\n %+n reloading skill. \\n \\n Horse and bow can be in harmony.	true
avatar_ancillaries_descriptions_description_mp_anc_surgeon1	\\n A proportion of each unit's casualties will be healed after a battle. \\n \\n "Brave wounds mend the quickest!"	true
avatar_ancillaries_descriptions_description_mp_anc_yamabushi_guide2	and %-n% to standard speed penalties for crossing rough terrain. \\n \\n The sure-footed way is its own reward.	true
avatar_ancillaries_descriptions_description_mp_anc_yamabushi_guide1	\\n All units have reduced fatigue gain 	true
avatar_ancillaries_descriptions_description_mp_bosh_clan_shogunate1	\\n Reduced modern Shogunate unit casualties. \\n Increased Clan Influence Points gain. \\n \\n Tradition and honour are everything.	true
avatar_ancillaries_descriptions_description_mp_legendary_hideous_menpo_mask2	\\nYour avatar has %+n morale. \\n \\n The God of Battles should show a hard face to the world.	true
avatar_ancillaries_descriptions_description_mp_legendary_hideous_menpo_mask1	\\n Enemy units close to your avatar suffer a %-n morale penalty.	true
avatar_ancillaries_descriptions_description_mp_anc_wooden_practice_spears1	\\n %+n melee defence for Yari Ashigaru units. \\n \\n A sore head or bruised knuckles is fair exchange for one's life.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_overweight_infantry_officer1	\\n Enemy Tosa Riflemen, Yugekitai & Sharpshooter movement speed: %-n%%. \\n \\n "Phew! I'll catch you up, men."	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_uma_jirushi_nobori_standard_bearer1	\\n Avatar: %+n morale. \\n \\n A banner, floating on the breeze, is a noble sight.	true
avatar_ancillaries_descriptions_description_mp_anc_portable_shrine1	\\n %+n melee attack for all monk units. \\n \\n The pure heart beats louder than any war drum.	true
avatar_ancillaries_descriptions_description_mp_anc_rennyos_teachings4	%+n morale. \\n \\n There is little wisdom in bringing pain to others, yet much in avoiding pain.	true
avatar_ancillaries_descriptions_description_mp_anc_rennyos_teachings3	%-n reload speed	true
avatar_ancillaries_descriptions_description_mp_anc_rennyos_teachings2	%+n melee defence	true
avatar_ancillaries_descriptions_description_mp_anc_rennyos_teachings1	\\n Your units sacrifice attack power for greatly increased defence. \\n All units receive: \\n %-n melee attack	true
avatar_ancillaries_descriptions_description_mp_anc_katana_of_the_pure_land1	\\n Avatar: \\n Your Avatar and his bodyguard's melee attacks pierce armour. \\n \\n The cleansing stroke brings its own peace.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_modern_supply_corps1	\\n Line & elite infantry ammunition: %+n . \\n \\n Victory can be decided on the pages of a ledger.	true
avatar_ancillaries_descriptions_description_mp_anc_metsuke_inspector1	\\n Avatar's rally ability also causes %-n to enemy morale in radius. \\n Cancels effect of enemy Shinobi Informer retainer. \\n \\n "You're nicked, my old beauty!"	true
avatar_ancillaries_descriptions_description_mp_anc_infantry_officer1	\\n %+n morale to all samurai melee infantry. \\n \\n The mob is not an army.	true
avatar_ancillaries_descriptions_description_mp_legendary_masterwork_kote_armguards1	\\n Avatar: %+n hitpoints. \\n \\n The wise man seeks out the very best of everything.	true
avatar_ancillaries_descriptions_description_mp_anc_famous_armoury1	\\n %+n armour to all melee infantry. \\n \\n Protection is wisdom.	true
avatar_ancillaries_descriptions_description_mp_anc_wavering_faith1	\\n Enemy Warrior Monk units receive %-n morale. \\n \\n Doubt gnaws at even the smallest grain of faith.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_enfield_musketoon1	\\n Modern gunpowder cavalry reload skill: %+n. \\n \\n "Proven in combat, by the Confederate States of America, sir, among others."	true
avatar_ancillaries_descriptions_description_mp_anc_short_sighted_inspector1	Reduced reload skill for enemy European Cannon, Mangonels, Fire Rockets and Hand Mortars. \\n \\n Sometimes looking is not the same as seeing.	true
avatar_ancillaries_descriptions_description_mp_anc_blind_bow_sensei1	\\n %+n accuracy to all bow units. \\n \\n When the heart is pure, the arrow finds a way.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_dreyse_needle_gun1	\\n Elite infantry reload skill: %+n. \\n \\n The bullet is substantial. The needle is within the workings.	true
avatar_ancillaries_descriptions_description_mp_legendary_kawari_kabuto_helm1	\\n Avatar: %+n melee defence. \\n \\n What use a general's brains if they are splashed to the winds?	true
avatar_ancillaries_descriptions_description_mp_anc_ox_carts1	\\n Allows you to field 1 siege engine (Fire Rockets, Mangonel or Cannon) \\n \\n Summer dust and heat, oxen bellow, drivers goad: doom rumbles onward.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_kacchu_mochi_armour_bearer1	\\n Avatar: %+n armour. \\n \\n There is honour in serving well.	true
