key	text	tooltip
#Loc;1;text/db/avatar_ancillaries_to_effects_junctions.loc		
avatar_ancillaries_to_effects_junctions_description_mp_anc_blessed_kote_armoured_sleevesmod_armour	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_legendary_kawari_kabuto_helmmod_melee_defence	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_steppe_horse_studmod_unit_morale	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_shoguns_emissaryenable_unit_selection_great_guard	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_legendary_dragonfly_cutting_spearmod_bonus_vs_cavalry	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_shinobi_informercancel_enemy_ancillary_effect_wizened_monk	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_artisan_sailmakermod_ship_speed	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_sticky_fingered_storemastermod_enemy_ammo_quantity	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_yabusami_mastermod_reload_speed	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_geisha_poisonermod_enemy_avatar_cooldowns	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_bandit_horse_thievesmod_enemy_melee_attack	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_uma_jirushi_nobori_standard_bearermod_unit_morale	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_sake_peddlermod_enemy_marksmanship	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_metsuke_inspectorcancel_enemy_ancillary_effect_shinobi_informer	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_contrary_currentsmod_enemy_ship_turn_rate	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_uma_i_horse_doctormod_unit_speed	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_famous_shipyardmod_ship_turn_rate	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_geisha_poisonercancel_enemy_ancillary_effect_sage_advisor	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_metsuke_inspectorenable_ability_anti_rally	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_mounted_scoutmod_distance_to_spot_enemies	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_famous_armourymod_armour	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_open_basketwork_quiversmod_ammo_quantity	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_gokamon_bodyguardmod_melee_defence	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_hero_worshipping_boymod_avatar_hp	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_legendary_legendary_kabuto_of_ykokmod_armour	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_forage_partiesmod_stamina	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_anc_practice_groundsmod_melee_attack	PLACEHOLDER	true
avatar_ancillaries_to_effects_junctions_description_mp_legendary_masterwork_do_maru_armourmod_armour	PLACEHOLDER	true
