key	text	tooltip
#Loc;1;text/db/avatar_campaign_maps.loc		
avatar_campaign_maps_onscreen_name_9_nagato	Nagato	true
avatar_campaign_maps_onscreen_name_s8_west_kanto_coast_boshin	West Kanto Coast	true
avatar_campaign_maps_onscreen_name_s7_hokuriki_coast	Hokuriku Coast	true
avatar_campaign_maps_onscreen_name_s8_west_kanto_coast	West Kanto Coast	true
avatar_campaign_maps_onscreen_name_s5_eastern_seto_inland_sea_boshin	Eastern Seto Inland Sea	true
avatar_campaign_maps_onscreen_name_2_satsuma_boshin	Satsuma	true
avatar_campaign_maps_onscreen_name_s10_east_kanto_coast	East Kanto Coast	true
avatar_campaign_maps_onscreen_name_s5_eastern_seto_inland_sea	Eastern Seto Inland Sea	true
avatar_campaign_maps_onscreen_name_s2_western_seto_inland_sea_boshin	Western Seto Inland Sea	true
avatar_campaign_maps_onscreen_name_s2_western_seto_inland_sea	Western Seto Inland Sea	true
avatar_campaign_maps_onscreen_name_60_sado_boshin	Sado	true
avatar_campaign_maps_onscreen_name_8_bungo_boshin	Bungo	true
avatar_campaign_maps_onscreen_name_16_bingo	Bingo	true
avatar_campaign_maps_onscreen_name_30_tango	Tango	true
avatar_campaign_maps_onscreen_name_41_mikawa	Mikawa	true
avatar_campaign_maps_onscreen_name_75_aomori_boshin	Aomori	true
avatar_campaign_maps_onscreen_name_47_totomi_boshin	Totomi	true
avatar_campaign_maps_onscreen_name_42_kaga_boshin	Kaga	true
avatar_campaign_maps_onscreen_name_35_omi	Omi	true
avatar_campaign_maps_onscreen_name_26_tajima	Tajima	true
avatar_campaign_maps_onscreen_name_47_totomi	Totomi	true
avatar_campaign_maps_onscreen_name_21_bizen	Bizen	true
avatar_campaign_maps_onscreen_name_56_kazusa	Kazusa	true
avatar_campaign_maps_onscreen_name_s13_goto_island_coast_boshin	Goto Island Coast	true
avatar_campaign_maps_onscreen_name_19_sanuki	Sanuki	true
avatar_campaign_maps_onscreen_name_53_echigo_boshin	Echigo	true
avatar_campaign_maps_onscreen_name_70_oshima_boshin	Oshima	true
avatar_campaign_maps_onscreen_name_24_harima_boshin	Harima	true
avatar_campaign_maps_onscreen_name_23_inaba	Inaba	true
avatar_campaign_maps_onscreen_name_31_tamba	Tamba	true
avatar_campaign_maps_onscreen_name_26_tajima_boshin	Tajima	true
avatar_campaign_maps_onscreen_name_52_sagami	Sagami	true
avatar_campaign_maps_onscreen_name_12_aki	Aki	true
avatar_campaign_maps_onscreen_name_27_kii	Kii	true
avatar_campaign_maps_onscreen_name_36_iga	Iga	true
avatar_campaign_maps_onscreen_name_49_kai	Kai	true
avatar_campaign_maps_onscreen_name_17_hoki_boshin	Hoki	true
avatar_campaign_maps_onscreen_name_14_tosa_boshin	Tosa	true
avatar_campaign_maps_onscreen_name_s15_tanegashima_island_coast_boshin	Tanegashima Island Coast	true
avatar_campaign_maps_onscreen_name_43_hida_boshin	Hida	true
avatar_campaign_maps_onscreen_name_11_iwami	Iwami	true
avatar_campaign_maps_onscreen_name_15_izumo	Izumo	true
avatar_campaign_maps_onscreen_name_s1_china_sea_boshin	China Sea	true
avatar_campaign_maps_onscreen_name_s9_sado_island_coast_boshin	Sado Island Coast	true
avatar_campaign_maps_onscreen_name_34_wakasa_boshin	Wakasa	true
avatar_campaign_maps_onscreen_name_71_hiyama_boshin	Hiyama	true
avatar_campaign_maps_onscreen_name_63_miyagi_boshin	Miyagi	true
avatar_campaign_maps_onscreen_name_25_awaji	Awaji	true
avatar_campaign_maps_onscreen_name_32_yamato_boshin	Yamato	true
avatar_campaign_maps_onscreen_name_41_mikawa_boshin	Mikawa	true
avatar_campaign_maps_onscreen_name_52_sagami_boshin	Sagami	true
avatar_campaign_maps_onscreen_name_73_sapporo_boshin	Sapporo	true
avatar_campaign_maps_onscreen_name_57_shimosa_boshin	Shimosa	true
avatar_campaign_maps_onscreen_name_44_noto_boshin	Noto	true
avatar_campaign_maps_onscreen_name_39_mino_boshin	Mino	true
avatar_campaign_maps_onscreen_name_64_ugo	Ugo	true
avatar_campaign_maps_onscreen_name_5_higo	Higo	true
avatar_campaign_maps_onscreen_name_18_bitchu_boshin	Bitchu	true
avatar_campaign_maps_onscreen_name_45_etchu	Etchu	true
avatar_campaign_maps_onscreen_name_55_musashi_boshin	Musashi	true
avatar_campaign_maps_onscreen_name_66_goto_boshin	Goto	true
avatar_campaign_maps_onscreen_name_50_suruga	Suruga	true
avatar_campaign_maps_onscreen_name_38_echizen_boshin	Echizen	true
avatar_campaign_maps_onscreen_name_s7_hokuriki_coast_boshin	Hokuriku Coast	true
avatar_campaign_maps_onscreen_name_4_tsukushi_boshin	Tsukushi	true
avatar_campaign_maps_onscreen_name_1_hizen	Hizen	true
avatar_campaign_maps_onscreen_name_7_buzen	Buzen	true
avatar_campaign_maps_onscreen_name_3_osumi_boshin	Osumi	true
avatar_campaign_maps_onscreen_name_18_bitchu	Bitchu	true
avatar_campaign_maps_onscreen_name_63_miyagi	Miyagi	true
avatar_campaign_maps_onscreen_name_65_iwate	Iwate	true
avatar_campaign_maps_onscreen_name_6_hyuga	Hyuga	true
avatar_campaign_maps_onscreen_name_8_bungo	Bungo	true
avatar_campaign_maps_onscreen_name_61_fukushima_boshin	Fukushima	true
avatar_campaign_maps_onscreen_name_51_izu	Izu	true
avatar_campaign_maps_onscreen_name_48_north_shinano	North Shinano	true
avatar_campaign_maps_onscreen_name_40_owari	Owari	true
avatar_campaign_maps_onscreen_name_6_hyuga_boshin	Hyuga	true
avatar_campaign_maps_onscreen_name_46_south_shinano	South Shinano	true
avatar_campaign_maps_onscreen_name_13_iyo	Iyo	true
avatar_campaign_maps_onscreen_name_s10_east_kanto_coast_boshin	East Kanto Coast	true
avatar_campaign_maps_onscreen_name_s16_tsugaru_strait_boshin	Tsugaru Strait	true
avatar_campaign_maps_onscreen_name_32_yamato	Yamato	true
avatar_campaign_maps_onscreen_name_2_satsuma	Satsuma	true
avatar_campaign_maps_onscreen_name_33_yamashiro_boshin	Kyoto	true
avatar_campaign_maps_onscreen_name_54_kozuke_boshin	Kozuke	true
avatar_campaign_maps_onscreen_name_50_suruga_boshin	Suruga	true
avatar_campaign_maps_onscreen_name_19_sanuki_boshin	Sanuki	true
avatar_campaign_maps_onscreen_name_56_kazusa_boshin	Kazusa	true
avatar_campaign_maps_onscreen_name_10_suo	Suo	true
avatar_campaign_maps_onscreen_name_29_kawachi_boshin	Kawachi	true
avatar_campaign_maps_onscreen_name_3_osumi	Osumi	true
avatar_campaign_maps_onscreen_name_28_settsu_boshin	Settsu	true
avatar_campaign_maps_onscreen_name_20_awa	Awa	true
avatar_campaign_maps_onscreen_name_53_echigo	Echigo	true
avatar_campaign_maps_onscreen_name_7_buzen_boshin	Buzen	true
avatar_campaign_maps_onscreen_name_62_uzen_boshin	Uzen	true
avatar_campaign_maps_onscreen_name_28_settsu	Settsu	true
avatar_campaign_maps_onscreen_name_59_hitachi_boshin	Hitachi	true
avatar_campaign_maps_onscreen_name_54_kozuke	Kozuke	true
avatar_campaign_maps_onscreen_name_1_hizen_boshin	Hizen	true
avatar_campaign_maps_onscreen_name_37_ise	Ise	true
avatar_campaign_maps_onscreen_name_9_nagato_boshin	Nagato	true
avatar_campaign_maps_onscreen_name_24_harima	Harima	true
avatar_campaign_maps_onscreen_name_34_wakasa	Wakasa	true
avatar_campaign_maps_onscreen_name_22_mimasaka	Mimasaka	true
avatar_campaign_maps_onscreen_name_15_izumo_boshin	Izumo	true
avatar_campaign_maps_onscreen_name_68_nagasaki_boshin	Nagasaki	true
avatar_campaign_maps_onscreen_name_74_iburi_boshin	Iburi	true
avatar_campaign_maps_onscreen_name_s12_eastern_tohuku_sea_boshin	Eastern Tohoku Sea	true
avatar_campaign_maps_onscreen_name_10_suo_boshin	Suo	true
avatar_campaign_maps_onscreen_name_64_ugo_boshin	Ugo	true
avatar_campaign_maps_onscreen_name_29_kawachi	Kawachi	true
avatar_campaign_maps_onscreen_name_s14_tsushima_island_coast_boshin	Tsushima Island Coast	true
avatar_campaign_maps_onscreen_name_59_hitachi	Hitachi	true
avatar_campaign_maps_onscreen_name_38_echizen	Echizen	true
avatar_campaign_maps_onscreen_name_69_tanegashima_boshin	Tanegashima	true
avatar_campaign_maps_onscreen_name_44_noto	Noto	true
avatar_campaign_maps_onscreen_name_21_bizen_boshin	Bizen	true
avatar_campaign_maps_onscreen_name_58_shimotsuke	Shimotsuke	true
avatar_campaign_maps_onscreen_name_14_tosa	Tosa	true
avatar_campaign_maps_onscreen_name_72_shiribeshi_boshin	Shiribeshi	true
avatar_campaign_maps_onscreen_name_s6_tokai_coast_boshin	Tokai Coast	true
avatar_campaign_maps_onscreen_name_s6_tokai_coast	Tokai Coast	true
avatar_campaign_maps_onscreen_name_22_mimasaka_boshin	Mimasaka	true
avatar_campaign_maps_onscreen_name_s1_china_sea	China Sea	true
avatar_campaign_maps_onscreen_name_11_iwami_boshin	Iwami	true
avatar_campaign_maps_onscreen_name_20_awa_boshin	Awa	true
avatar_campaign_maps_onscreen_name_40_owari_boshin	Owari	true
avatar_campaign_maps_onscreen_name_46_south_shinano_boshin	South Shinano	true
avatar_campaign_maps_onscreen_name_12_aki_boshin	Aki	true
avatar_campaign_maps_onscreen_name_s17_northern_japanese_sea_boshin	Northern Japanese Sea	true
avatar_campaign_maps_onscreen_name_57_shimosa	Shimosa	true
avatar_campaign_maps_onscreen_name_23_inaba_boshin	Inaba	true
avatar_campaign_maps_onscreen_name_65_iwate_boshin	Iwate	true
