key	text	tooltip
#Loc;1;text/db/avatar_ranks.loc		
avatar_ranks_onscreen_name_avatar_rank_25	Kashira (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_24	Kashira (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_26	Kashira (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_21	Kashira (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_20	Kashira (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_23	Kashira (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_22	Kashira (Gold)	true
avatar_ranks_onscreen_name_avatar_rank_35	Kumigashira (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_34	Kumigashira (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_36	Kumigashira (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_31	Kumigashira (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_30	Kumigashira (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_33	Kumigashira (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_32	Kumigashira (Gold)	true
avatar_ranks_onscreen_name_avatar_rank_half2	Ashigaru (Gold)	true
avatar_ranks_onscreen_name_avatar_rank_half3	Ashigaru (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_half0	Ashigaru (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_half1	Ashigaru (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_half6	Ashigaru (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_half4	Ashigaru (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_half5	Ashigaru (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_05	Ashigaru (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_04	Ashigaru (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_06	Ashigaru (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_01	Ashigaru (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_00	Ashigaru (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_03	Ashigaru (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_02	Ashigaru (Gold)	true
avatar_ranks_onscreen_name_avatar_rank_15	Kogashira (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_14	Kogashira (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_16	Kogashira (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_11	Kogashira (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_10	Kogashira (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_13	Kogashira (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_12	Kogashira (Gold)	true
avatar_ranks_onscreen_name_avatar_rank_65	Taisho (Ruby)	true
avatar_ranks_onscreen_name_avatar_rank_64	Taisho (Sapphire)	true
avatar_ranks_onscreen_name_avatar_rank_66	Taisho (Diamond)	true
avatar_ranks_onscreen_name_avatar_rank_61	Taisho (Silver)	true
avatar_ranks_onscreen_name_avatar_rank_60	Taisho (Bronze)	true
avatar_ranks_onscreen_name_avatar_rank_63	Taisho (Emerald)	true
avatar_ranks_onscreen_name_avatar_rank_62	Taisho (Gold)	true
