key	text	tooltip
#Loc;1;text/db/avatar_skill_chain_lookups.loc		
avatar_skill_chain_lookups_localised_string_avatar_bow_skills	Bow Mastery	true
avatar_skill_chain_lookups_localised_string_unit_melee_cavalry_skills	Melee Cavalry Skills	true
avatar_skill_chain_lookups_localised_string_unit_spear_skills	Spear Skills	true
avatar_skill_chain_lookups_localised_string_unit_siege_skills	Siege Engine Skills	true
avatar_skill_chain_lookups_localised_string_unit_light_cavalry_skills	Light Cavalry Skills	true
avatar_skill_chain_lookups_localised_string_unit_cooking_pot_firebomb_skills	Firebomb Skills	true
avatar_skill_chain_lookups_localised_string_unit_sword_skills	Sword Skills	true
avatar_skill_chain_lookups_localised_string_unit_bow_ashigaru_skills	Bow Ashigaru Skills	true
avatar_skill_chain_lookups_localised_string_unit_bow_skills	Bow Skills	true
avatar_skill_chain_lookups_localised_string_unit_firearm_cav_skills	Firearm Cavalry Skills	true
avatar_skill_chain_lookups_localised_string_avatar_physical_skills	Physical	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_gunpowder_skills	Gunpowder	true
avatar_skill_chain_lookups_localised_string_avatar_leadership_skills	Leadership	true
avatar_skill_chain_lookups_localised_string_unit_bow_cavalry_skills	Bow Cavalry Skills	true
avatar_skill_chain_lookups_localised_string_unit_stealth_skills	Ninja Skills	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_command_skills	Command	true
avatar_skill_chain_lookups_localised_string_avatar_combat_skills	Melee Combat	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_bushido_skills	Bushido	true
avatar_skill_chain_lookups_localised_string_unit_gatling_skills	Gatling Gun Skills	true
avatar_skill_chain_lookups_localised_string_unit_line_inf_skills	Line Infantry Skills	true
avatar_skill_chain_lookups_localised_string_unit_monk_cav_skills	Warrior Monk Cavalry Skills	true
avatar_skill_chain_lookups_localised_string_unit_light_inf_skills	Light Infantry Skills	true
avatar_skill_chain_lookups_localised_string_unit_firearms_skills	Matchlock Skills	true
