key	text	tooltip
#Loc;1;text/db/avatar_skill_effects_juncs.loc		
avatar_skill_effects_juncs_description_firearms_skill_ammo_quantitymod_ammo_quantity	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_morale_1mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_morale_2mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_inspire_1enable_ability_inspire	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_stand_and_fight_1enable_ability_stand_and_fight	PLACEHOLDER	true
avatar_skill_effects_juncs_description_stealth_skill_melee_attack_3mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_stealth_skill_melee_attack_2mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_stealth_skill_melee_attack_1mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_scare_enemiesenable_ability_scare_enemies	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_snipeenable_ability_snipe	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_guerilla_deploymentenable_ability_guerilla_deployment	PLACEHOLDER	true
avatar_skill_effects_juncs_description_bow_skill_rallyenable_ability_rally	PLACEHOLDER	true
avatar_skill_effects_juncs_description_bow_skill_snipeenable_ability_snipe	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_bodyguard_unit_sizeenable_avatar_increased_bodyguard_unit	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_charge_1mod_charge_bonus	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_charge_2mod_charge_bonus	PLACEHOLDER	true
avatar_skill_effects_juncs_description_stealth_skill_armour_penetrationenable_ability_armour_piercing_melee	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_bamboo_wallenable_ability_bamboo_wall	PLACEHOLDER	true
avatar_skill_effects_juncs_description_siege_skill_morale_1mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_siege_skill_morale_2mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_rangemod_missile_range	PLACEHOLDER	true
avatar_skill_effects_juncs_description_stealth_skill_assassinateenable_ability_assassinate	PLACEHOLDER	true
avatar_skill_effects_juncs_description_sword_skill_morale_1mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_sword_skill_morale_2mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_sword_skill_morale_3mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_spear_skill_morale_1mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_spear_skill_morale_2mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_spear_skill_morale_3mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_morale_1mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_morale_2mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_morale_3mod_unit_morale	PLACEHOLDER	true
avatar_skill_effects_juncs_description_bow_cavalry_skill_cantabrian_circleenable_ability_cantabrian_circle	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_melee_attack_2mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_melee_attack_3mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_melee_attack_1mod_melee_attack	PLACEHOLDER	true
avatar_skill_effects_juncs_description_bow_cavalry_skill_unit_spottingmod_distance_to_spot_enemies	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_marksmanship_2mod_marksmanship	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_marksmanship_3mod_marksmanship	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_fire_by_rankenable_ability_fire_by_rank	PLACEHOLDER	true
avatar_skill_effects_juncs_description_avatar_skill_marksmanship_1mod_marksmanship	PLACEHOLDER	true
avatar_skill_effects_juncs_description_cooking_pot_firebomb_skill_damage_1mod_missile_damage	PLACEHOLDER	true
avatar_skill_effects_juncs_description_cooking_pot_firebomb_skill_damage_2mod_missile_damage	PLACEHOLDER	true
avatar_skill_effects_juncs_description_spear_skill_armourmod_armour	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_rapid_volleyenable_ability_rapid_volley	PLACEHOLDER	true
avatar_skill_effects_juncs_description_firearms_skill_marksmanship_1mod_marksmanship	PLACEHOLDER	true
