key	text	tooltip
#Loc;1;text/db/avatar_skills.loc		
avatar_skills_onscreen_name_boshin_avatar_gunpowder_skills_ganbatte_1	Ganbatte	true
avatar_skills_onscreen_name_boshin_avatar_gunpowder_skills_ganbatte_0	Ganbatte	true
avatar_skills_onscreen_name_light_inf_skill_stamina_2	Fatigue Resistance	true
avatar_skills_onscreen_name_light_inf_skill_stamina_1	Fatigue Resistance	true
avatar_skills_onscreen_name_light_inf_skill_stamina_0	Fatigue Resistance	true
avatar_skills_description_boshin_avatar_command_skills_improve_aura_2	Greatly increased avatar aura radius. \\n \\n Units within the avatar's aura radius receive a morale bonus, with the effect being stronger closer to your avatar.	true
avatar_skills_description_boshin_avatar_command_skills_improve_aura_1	Increased avatar aura radius. \\n \\n Units within the avatar's aura radius receive a morale bonus, with the effect being stronger closer to your avatar.	true
avatar_skills_description_boshin_avatar_command_skills_improve_aura_0	Increased avatar aura radius. \\n \\n Units within the avatar's aura radius receive a morale bonus, with the effect being stronger closer to your avatar.	true
avatar_skills_description_stealth_skill_armour_penetration_1	Armour Penetration. \\n \\n Melee attacks penetrate armour. \\n \\n Unit level requirement: level 9. \\n \\n Requires 20 clan tokens, 8 other skills to have been selected and membership of a sword specialism clan.	true
avatar_skills_description_stealth_skill_armour_penetration_0	Armour Penetration. \\n \\n Melee attacks penetrate armour. \\n \\n Unit level requirement: level 9. \\n \\n Requires 20 clan tokens, 8 other skills to have been selected and membership of a sword specialism clan.	true
avatar_skills_description_avatar_skill_fire_arrows_0	Enable Fire Arrows.  \\n \\n When activated, fire arrows increase the lethality of your avatar and his bodyguard's shots and can also ignite wooden buildings. \\n	true
avatar_skills_description_avatar_skill_fire_arrows_1	Enable Fire Arrows.  \\n \\n When activated, fire arrows increase the lethality of your avatar and his bodyguard's shots and can also ignite wooden buildings. \\n	true
avatar_skills_onscreen_name_line_inf_skill_range_0	Increased Range	true
avatar_skills_onscreen_name_line_inf_skill_range_1	Increased Range	true
avatar_skills_onscreen_name_imp_line_inf_clan_skill_range_1	Increased Range	true
avatar_skills_onscreen_name_imp_line_inf_clan_skill_range_0	Increased Range	true
avatar_skills_onscreen_name_stealth_skill_charge_1	Charge Bonus	true
avatar_skills_onscreen_name_stealth_skill_charge_0	Charge Bonus	true
avatar_skills_onscreen_name_stealth_skill_charge_2	Charge Bonus	true
avatar_skills_description_monk_cav_advanced_skill_armour_0	Improved Armour. \\n \\n Increases defence against both melee and missile attacks. \\n \\n Unit must be level 5 and have learned 4 basic skills. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_monk_cav_advanced_skill_armour_1	Improved Armour. \\n \\n Increases defence against both melee and missile attacks. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_avatar_skill_bodyguard_unit_size_1	Increased Avatar Bodyguard Unit Size. \\n \\n The number of men in your avatar's personal guard is increased. \\n \\n Requires No Penalty Against Spears skill. \\n	true
avatar_skills_onscreen_name_monk_cav_advanced_skill_armour_1	Armour	true
avatar_skills_description_avatar_skill_bodyguard_unit_size_0	Increased Avatar Bodyguard Unit Size. \\n \\n The number of men in your avatar's personal guard is increased. \\n \\n Requires No Penalty Against Spears skill. \\n	true
avatar_skills_onscreen_name_monk_cav_advanced_skill_armour_0	Armour	true
avatar_skills_onscreen_name_bow_skill_snipe_0	Sniping	true
avatar_skills_onscreen_name_bow_skill_snipe_1	Sniping	true
avatar_skills_description_cooking_pot_firebomb_skill_advanced_range_0	Greatly Increased Range. \\n \\n Shot range is increased. \\n \\n Requires 1 point in basic Increased Range. \\n \\n Unit must be level 5 and have learned 4 basic skills. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_cooking_pot_firebomb_skill_advanced_range_1	Greatly Increased Range. \\n \\n Shot range is increased. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_cooking_pot_firebomb_skill_morale_2	Greatly Improved Morale. \\n \\n Units with high morale are less likelt to rout in battle. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_cooking_pot_firebomb_skill_morale_0	Improved Morale. \\n \\n Units with high morale are less likely to rout in battle. \\n \\n Unit must be level 5 and have learned 4 basic skills. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_cooking_pot_firebomb_skill_morale_1	Improved Morale. \\n \\n Units with high morale are less likely to rout in battle. \\n \\n Requires 10 clan tokens.	true
avatar_skills_onscreen_name_bow_skill_ammo_quantity_0	Extra Ammunition	true
avatar_skills_onscreen_name_bow_skill_ammo_quantity_1	Extra Ammunition	true
avatar_skills_description_boshin_avatar_bushido_skills_double_time_infantry_1	Hours of training across all kinds of terrain has resulted in all non-gunpowder infantry units gaining a speed and fatigue resistance bonus. \\n \\n Requires: Second Wind \\n	true
avatar_skills_description_boshin_avatar_bushido_skills_double_time_infantry_0	Hours of training across all kinds of terrain has resulted in all non-gunpowder infantry units gaining a speed and fatigue resistance bonus. \\n \\n Requires: Bushido Command \\n \\n Requires: Speed	true
avatar_skills_description_boshin_avatar_bushido_skills_double_time_infantry_2	Hours of training across all kinds of terrain has resulted in all non-gunpowder infantry units gaining a speed and fatigue resistance bonus. \\n \\n Requires: 1 point in Second Wind \\n	true
avatar_skills_onscreen_name_light_cavalry_morale_0	Morale	true
avatar_skills_onscreen_name_light_cavalry_morale_1	Morale	true
avatar_skills_description_bow_ashigaru_skill_speed_2	Improved Speed. \\n \\n Increases the unit's movement speed.	true
avatar_skills_description_bow_ashigaru_skill_speed_0	Improved Speed. \\n \\n Increases the unit's movement speed.	true
avatar_skills_description_bow_ashigaru_skill_speed_1	Improved Speed. \\n \\n Increases the unit's movement speed.	true
avatar_skills_onscreen_name_avatar_skill_fatigue_resistance_aura_0	Fatigue Resistance Aura	true
avatar_skills_onscreen_name_avatar_skill_fatigue_resistance_aura_1	Fatigue Resistance Aura	true
avatar_skills_onscreen_name_avatar_skill_fatigue_resistance_aura_2	Fatigue Resistance Aura	true
avatar_skills_onscreen_name_avatar_skill_fatigue_resistance_aura_3	Fatigue Resistance Aura	true
avatar_skills_description_avatar_skill_bow_damage_2	Greatly Increased Bow Damage. \\n \\n The amount of damage inflicted by the arrows of your avatar and his bodyguard is increased. \\n	true
avatar_skills_description_avatar_skill_bow_damage_3	Elite Bow Damage. \\n \\n The amount of damage inflicted by the arrows of your avatar and his bodyguard is increased. \\n	true
avatar_skills_description_avatar_skill_bow_damage_0	Increased Bow Damage. \\n \\n The amount of damage inflicted by the arrows of your avatar and his bodyguard is increased. \\n \\n Requires Enable Bow skill. \\n	true
avatar_skills_description_avatar_skill_bow_damage_1	Increased Bow Damage. \\n \\n The amount of damage inflicted by the arrows of your avatar and his bodyguard is increased. \\n \\n Requires Enable Bow skill. \\n	true
avatar_skills_onscreen_name_stealth_skill_stamina_2	Fatigue Resistance	true
avatar_skills_onscreen_name_stealth_skill_stamina_0	Fatigue Resistance	true
avatar_skills_onscreen_name_stealth_skill_stamina_1	Fatigue Resistance	true
avatar_skills_onscreen_name_bow_skill_advanced_marksmanship_0	Accuracy	true
avatar_skills_onscreen_name_bow_skill_advanced_marksmanship_1	Accuracy	true
avatar_skills_onscreen_name_bow_skill_advanced_marksmanship_2	Accuracy	true
avatar_skills_description_avatar_skill_marksmanship_2	Greatly Improved Accuracy. \\n \\n Your avatar and his bodyguard shoot their bows with greater accuracy. \\n	true
avatar_skills_description_avatar_skill_marksmanship_3	Elite Accuracy. \\n \\n Your avatar and his bodyguard shoot their bows with greater accuracy. \\n	true
avatar_skills_description_avatar_skill_marksmanship_0	Improved Accuracy. \\n \\n Your avatar and his bodyguard shoot their bows with greater accuracy. \\n \\n Requires Enable Bow skill. \\n	true
avatar_skills_description_avatar_skill_marksmanship_1	Improved Accuracy. \\n \\n Your avatar and his bodyguard shoot their bows with greater accuracy. \\n \\n Requires Enable Bow skill. \\n	true
avatar_skills_description_boshin_avatar_gunpowder_skills_precision_cavalry_0	Improved accuracy. \\n \\n Your cavalry units shoot their guns with greater accuracy. \\n \\n Requires Gun instructor. \\n \\n	true
avatar_skills_description_light_inf_skill_replenish_unit_0	Replenish Unit Between Battles. \\n \\n Any casualties suffered in a previous battle will be restored before the next battle. \\n \\n Unit must be level 5 and have learned 4 basic skills. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_boshin_avatar_gunpowder_skills_precision_cavalry_1	Improved Cavalry Accuracy. \\n \\n Your cavalry units shoot their guns with greater accuracy. \\n \\n Requires: Accuracy (light infantry) \\n	true
avatar_skills_description_light_inf_skill_replenish_unit_1	Replenish Unit Between Battles. \\n \\n Any casualties suffered in a previous battle will be restored before the next battle. \\n \\n Requires 10 clan tokens.	true
avatar_skills_description_boshin_avatar_gunpowder_skills_precision_cavalry_2	Greatly improved Cavalry Accuracy. \\n \\n Your cavalry units shoot their guns with greater accuracy. \\n \\n Requires: 1 point in Accuracy (cavalry) \\n	true
avatar_skills_description_spear_skill_stand_firm_1	Hold Firm Ability. \\n \\n When active, boosts melee defence of the unit and up to 3 adjacent units and gives them unbreakable morale for a short time. \\n \\n Unit level requirement: level 9. \\n \\n Requires 20 clan tokens, 8 other skills to have been selected and membership of a spear specialism clan.	true
avatar_skills_description_spear_skill_stand_firm_0	Hold Firm Ability. \\n \\n When active, boosts melee defence of the unit and up to 3 adjacent units and gives them unbreakable morale for a short time. \\n \\n Unit level requirement: level 9. \\n \\n Requires 20 clan tokens, 8 other skills to have been selected and membership of a spear specialism clan.	true
avatar_skills_description_light_inf_skill_reload_3	Elite Reload Speed. \\n \\n Increases the rate at which the unit shoots.	true
avatar_skills_onscreen_name_light_inf_skill_replenish_unit_1	Replenish Unit	true
avatar_skills_onscreen_name_light_inf_skill_replenish_unit_0	Replenish Unit	true
avatar_skills_description_cooking_pot_firebomb_skill_ammo_quantity_1	Increased Ammunition. \\n \\n The men of this unit carry significantly more firebombs than usual for this unit type.	true
avatar_skills_onscreen_name_light_inf_skill_reload_3	Reload Speed	true
avatar_skills_description_cooking_pot_firebomb_skill_ammo_quantity_0	Increased Ammunition. \\n \\n The men of this unit carry significantly more firebombs than usual for this unit type.	true
avatar_skills_onscreen_name_spear_skill_stand_firm_0	Hold Firm	true
avatar_skills_onscreen_name_spear_skill_stand_firm_1	Hold Firm	true
avatar_skills_onscreen_name_shog_light_inf_clan_skill_range_1	Increased Range	true
avatar_skills_onscreen_name_shog_light_inf_clan_skill_range_0	Increased Range	true
avatar_skills_onscreen_name_bow_cavalry_skill_marksmanship_1	Accuracy	true
avatar_skills_onscreen_name_bow_cavalry_skill_marksmanship_0	Accuracy	true
avatar_skills_onscreen_name_bow_cavalry_skill_marksmanship_2	Accuracy	true
avatar_skills_description_monk_cav_skill_spotting_0	Improved Enemy Spotting. \\n \\n The range at which this unit spots hidden enemies is increased.	true
avatar_skills_description_monk_cav_skill_spotting_1	Improved Enemy Spotting. \\n \\n The range at which this unit spots hidden enemies is increased.	true
avatar_skills_description_bow_cavalry_skill_marksmanship_2	Greatly Improved Accuracy. \\n \\n The unit shoots with greater accuracy.	true
avatar_skills_description_bow_cavalry_skill_marksmanship_0	Improved Accuracy. \\n \\n The unit shoots with greater accuracy.	true
avatar_skills_description_bow_cavalry_skill_marksmanship_1	Improved Accuracy. \\n \\n The unit shoots with greater accuracy.	true
avatar_skills_onscreen_name_stealth_skill_advanced_spot_distance_0	Enemy Spotting	true
avatar_skills_onscreen_name_stealth_skill_advanced_spot_distance_1	Enemy Spotting	true
