key	text	tooltip
#Loc;1;text/db/battle_script_advice_strings.loc		
battle_script_advice_strings_title_CreativeAssembly.0406h_TUT_Caravel	Caravel	true
battle_script_advice_strings_title_CreativeAssembly.0112_TUT_Assault_Building	No-dachi Samurai	true
battle_script_advice_strings_title_CreativeAssembly.0122_TUT_Yari_Cavalry_Info	Yari Cavalry	true
battle_script_advice_strings_title_CreativeAssembly.0012_TUT_Radar_Map	Radar Map	true
battle_script_advice_strings_title_CreativeAssembly.0311_TUT_Radar_Map	Radar Map	true
battle_script_advice_strings_title_CreativeAssembly.0206b_TUT_Ninja_Info	Kisho Ninja	true
battle_script_advice_strings_title_CreativeAssembly.0027_TUT_Unit_Deselection	Movement Speeds	true
battle_script_advice_strings_string_CreativeAssembly.0318_TUT_New_Course	With the enemy beaten, head out to sea and look for other vessels along the coast. Right-click on the sea to set a new course.	true
battle_script_advice_strings_title_CreativeAssembly.0329_TUT_Boarding	Heavy Bune	true
battle_script_advice_strings_string_CreativeAssembly.0003_TUT_Yari_Ashigaru_Info	Yari ashigaru are useful in any army. They carry spears - yari - and protect valuable units in battle, such as archers and other missile units. They also defend well against cavalry. Click on the tick button to continue.	true
battle_script_advice_strings_title_CreativeAssembly.0324_TUT_Grouping	Groups	true
battle_script_advice_strings_string_CreativeAssembly.0023_TUT_Fire_At_Will	Your samurai archers can use different kinds of arrows. Select the fire arrow button to launch a devastating flaming attack!	true
battle_script_advice_strings_string_CreativeAssembly.0123_TUT_Hill_Advance	Excellent! The enemy matchlocks are no longer a problem! Finish the Sogo now: use the terrain and try to outflank the enemy!	true
battle_script_advice_strings_title_CreativeAssembly.0404_TUT_Sea_Mine	Mines	true
battle_script_advice_strings_string_CreativeAssembly.0316_TUT_Health_Bars	The enemy ship is damaged and it has crew casualties: the sashimono flags above the ship are now tattered and worn. They show the strength of the ship's hull and the damage you have caused.	true
battle_script_advice_strings_title_CreativeAssembly.0318_TUT_New_Course	Movement	true
battle_script_advice_strings_title_CreativeAssembly.0003_TUT_Yari_Ashigaru_Info	Yari Ashigaru	true
battle_script_advice_strings_string_CreativeAssembly.0406a_TUT_Cannon_Bune	The cannon bune is fast-moving for hit-and-run attacks against larger vessels. It should be kept away from medium and large ships to avoid boarding actions. If boarding is likely, a cannon bune can use its "fast rowing" to make a quick escape.	true
battle_script_advice_strings_title_CreativeAssembly.0005_TUT_Walk_To_Run	Movement Speeds	true
battle_script_advice_strings_title_CreativeAssembly.0328_TUT_Enemy_Ships	Combat	true
battle_script_advice_strings_string_CreativeAssembly.0406i_TUT_Set_Sail	So, you have a magnificent fleet! Destroy the approaching Myoshi!	true
battle_script_advice_strings_title_CreativeAssembly.0024_TUT_Ammo_Bar	Missile Resources	true
battle_script_advice_strings_string_CreativeAssembly.0310_TUT_Camera_CV	Finally, to pivot the camera to get a better battle view, use C and V.	true
battle_script_advice_strings_string_CreativeAssembly.0011_TUT_Camera_CV	You can also use the C and V keys to pivot the camera. Again, when you're ready click on the new advice button.	true
battle_script_advice_strings_title_CreativeAssembly.0412_TUT_Boarding	Boarding	true
battle_script_advice_strings_string_CreativeAssembly.0002_TUT_Select_Unit	We will start with the units in your army. Select the yari ashigaru by left-clicking on them or on the flashing unit card at the bottom of the screen.	true
battle_script_advice_strings_string_CreativeAssembly.0302_TUT_Select_Ship	Left click on the bow ship to select it, or click on the flashing ship card at the bottom of the screen.	true
battle_script_advice_strings_string_CreativeAssembly.0403_TUT_Deployables	Now, right-click on the sea where you want your ship to deploy a mine. Once battle starts, mines are not under your control, so position them for maximum destructive effect! When you are happy click on the place mine button.	true
battle_script_advice_strings_string_CreativeAssembly.0402_TUT_Deployables	You can use deployable weapons in naval battles. Mines are small wooden platforms carrying explosives that damage unsuspecting ships. Your fire bomb ship can place mines anywhere during deployment, but not in the enemy deployment zone. Select the fire bomb ship.	true
battle_script_advice_strings_string_CreativeAssembly.0329a_TUT_Boarding	Click on the boarding button and then right-click on one of the enemy ships to issue a boarding attack!	true
battle_script_advice_strings_title_CreativeAssembly.0332_TUT_Enemy_Surrendered	Combat Success	true
battle_script_advice_strings_title_CreativeAssembly.0010_TUT_Camera_QEZX	Camera Controls	true
battle_script_advice_strings_string_CreativeAssembly.0109_TUT_Village_Buildings	Scouting has revealed that the Sogo are in the village. Their troops are using the buildings for cover! Now, select your siege weapon.	true
battle_script_advice_strings_string_CreativeAssembly.0320_TUT_Ship_Added	Good! The stranded ship has joined your fleet, but it is damaged. To repair it, left-click the ship or select the medium bune ship card. 	true
battle_script_advice_strings_title_CreativeAssembly.0309_TUT_Camera_QEZX	Camera Controls	true
battle_script_advice_strings_string_CreativeAssembly.0406_TUT_Ship_Types	Before the fighting starts, we'll look at some of the ships in Total War: Shogun2.	true
battle_script_advice_strings_title_CreativeAssembly.0004_TUT_Move_Yari_Ashigaru	Movement	true
battle_script_advice_strings_title_CreativeAssembly.0110c_TUT_Artillery_Unlimber	Siege Weapons	true
battle_script_advice_strings_title_CreativeAssembly.0408_TUT_Land_Mass	Sea Terrain	true
battle_script_advice_strings_string_CreativeAssembly.0107_TUT_Advance_Army	The Sogo clan are defending the far side of the river. We must control the nearby village, cross the river and attack! Move the army towards the village.	true
battle_script_advice_strings_title_CreativeAssembly.0105_TUT_Generals_Abilities	Generals 	true
battle_script_advice_strings_title_CreativeAssembly.0106_TUT_Generals_Abilities	Generals 	true
battle_script_advice_strings_title_CreativeAssembly.0315_TUT_Fire_Arrows	Abilities	true
battle_script_advice_strings_string_CreativeAssembly.0004_TUT_Move_Yari_Ashigaru	There is a Chosokabe village further down the hillside. Select your yari ashigaru, and move there by right-clicking on the terrain.	true
battle_script_advice_strings_title_CreativeAssembly.0406_TUT_Ship_Types	Ships	true
battle_script_advice_strings_title_CreativeAssembly.0007_TUT_Unit_Halt	Movement	true
battle_script_advice_strings_string_CreativeAssembly.0313_TUT_Firing_Arcs	The coloured circle around your ship is your firing radius. It shows the maximum range of the ship's weapons. Try to position your ship so that the enemy moves into your firing radius. Keep at a safe distance: they could board if they get too close.	true
battle_script_advice_strings_title_CreativeAssembly.0406g_TUT_Nihon_Maru	Nihon Maru	true
battle_script_advice_strings_title_CreativeAssembly.0009_TUT_Camera_WASD	Camera Controls	true
battle_script_advice_strings_title_CreativeAssembly.0308_TUT_Camera_WASD	Camera Controls	true
battle_script_advice_strings_title_CreativeAssembly.0406d_TUT_Siege_Tower_Ship	Siege Tower Ship	true
battle_script_advice_strings_string_CreativeAssembly.0105_TUT_Generals_Abilities	Your general is the focal point of the army: he directs and inspires his men. Your general automatically gives a small morale boost to troops inside his circle of influence. But he also has special abilities with greater effects too. Select your general now to learn more about these abilities.	true
battle_script_advice_strings_string_CreativeAssembly.0106_TUT_Generals_Abilities	Your general has an "Inspire" ability. This will increase a unit's morale, melee skills and missile accuracy, for a short period of time. He can also use the "Rally" ability, to stop troops from fleeing and boost the morale of nearby men. Be careful when you use these abilities: they cannot be used constantly, and you must wait before using them again. Picking the best time is part of being a skilful commander!	true
battle_script_advice_strings_title_CreativeAssembly.0405_TUT_Place_Deployables	Mines	true
