key	text	tooltip
#Loc;1;text/db/battle_script_strings.loc		
battle_script_strings_string_Bos.NoVO.HB.TF_Date_01	January 27th, 1868	true
battle_script_strings_string_Bos.NoVO.HB.TF_Date_02	January 28th, 1868	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_1	Our camp is being attacked! To arms! Alert everyone!	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_3	Nobunaga attacks! Protect Lord Yoshimoto.	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_2	To arms, all! To arms!	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_5	My Lord, beware! The enemy has seen us and is going to the camp for help!	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_4	The gorge is surrounded by Nobunaga’s army! Alert the camp.	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_7	What’s going on? What’s the racket? QUIET!	true
battle_script_strings_string_CreativeAssembly.HB_Okehazama_Extra_6	My Lord, beware! The enemy has found the bodies of their warriors and are going back to their camp for help!	true
battle_script_strings_title_Bos.Aide.HB.Generic_Extra_02	placeholder	true
battle_script_strings_title_Bos.Aide.HB.Generic_Extra_03	placeholder	true
battle_script_strings_title_Bos.Aide.HB.Generic_Extra_01	placeholder	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_09	He has sent a flanking army into the hills to the south. Once the Takeda are defeated at the palisades, the flanking force will be able to relieve the castle.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_08	However, Nobunaga knows that his defensive position is unlikely to save the Nagashino garrison.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Extra_05	The castle is lost my lord! Shame and dishonour are the price we must pay for our failure here!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_05	However, word has now reached Tokugawa Ieyasu that his castle is under attack. The Tokugawa are not without powerful friends.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Extra_04	The castle garrison will surely fall soon! Hurry, and break the siege!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_04	The young Takeda warlord is keen to be successful in his attack on Nagashino after the failure of his raid so far.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_07	Among his army are his many matchlock gunners. Nobunaga means to deploy these gunners behind wooden palisades alongside regular infantry, all to protect them from the Takeda cavalry.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_06	Oda Nobunaga, the foremost warlord in central Japan, has brought his army to relieve the siege.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Extra_01	The Takeda are advancing, soon their horses will be upon us. We must defend the palisades!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_01	It is June, 1575, and Nagashino Castle in Mikawa province is under attack.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Extra_03	The Takeda are storming the castle! Now is the time to aid the garrison!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_03	He can count among his forces the fearsome Takeda cavalry, known to be the finest in Japan.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Extra_02	The relief forces are in position Daimyo! Combine them with your main army and relieve the siege of Nagashino!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_02	After an incursion deep into Tokugawa territory failed, Takeda Katsuyori led his army back into the mountains and now besieges the fortress at Nagashino.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_11	He has positioned his army along the banks of a fordable stream. Crossing the stream will slow the Takeda cavalry's momentum as they come into firing range.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashino_Intro_10	The Oda therefore have two battles to win: they must repel the Takeda cavalry at their defensive line, and also relieve Nagashino Castle before it falls.	true
battle_script_strings_string_CreativeAssembly.HB_Anegawa_Obj2	Objective: Capture Odani castle	true
battle_script_strings_string_CreativeAssembly.HB_Anegawa_Obj1	Objective: Attack the enemy across the river on the left while the Oda attack on the right	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_01	Following the destruction of Osaka castle Shogun Tokugawa Yoshinobu returns to Edo by sea. 	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_03	Support for the Shogunate in central and southern Japan has collapsed. Clans flock to the Emperor’s banner.	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_02	His army is smashed. Japan is in turmoil.	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_05	Tokugawa Yoshinobu, with insufficient manpower to defend Edo, surrenders the city and his position.	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_04	Imperial forces march across central Japan facing only token resistance.	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_07	At Ueno, near Edo, a loyalist army digs in. They must be removed.	true
battle_script_strings_string_Bos.Narr.HB.Frontend_OSUE_06	Some loyalist Shogunate troops, however, refuse to surrender.	true
battle_script_strings_title_CreativeAssembly.HB_Kawanakajima_Extra_1	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Kizugawaguchi_Intro_4	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Kizugawaguchi_Intro_5	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Kizugawaguchi_Intro_2	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Kizugawaguchi_Intro_3	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Kizugawaguchi_Intro_1	placeholder	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_08	The Ikko-Ikki must fight their way out of the castle before they burn to death inside!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Extra_05	Some of your men have become encircled by fire! Their escape is barred, they are lost!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_05	Nagashima is completely surrounded. There is no escape, by either land or sea.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Extra_04	My Lord! Your men are dying in the flames! We must escape before we all burn to death!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_04	Stung by his previous failures to capture the stronghold, the warlord has now brought all his forces to bear against the Ikko-Ikki.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_07	The Oda have set fire to the fortress from the outside. In the strong winds, the fire should take hold quickly.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_06	Nobunaga's plan does not anticipate surrender. Nor does he anticipate survivors.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Extra_01	My Lord! The fortifications are ablaze, and the fire is spreading! This is the moment to break this siege!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_01	It is 1574, and Oda Nobunaga is laying siege to the Ikko-Ikki fortress at Nagashima.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Extra_03	Sir! This cursed inferno is beginning to catch our men! Let them sally forth, and make that dog Nobunaga pay in blood!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_03	Sited in a river delta on the border of Ise and Owari provinces, the fortress has been a thorn in Nobunaga's side for years.	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Extra_02	The cannon! Turn the cannon on our own towers to stop the fire spreading!	true
battle_script_strings_string_CreativeAssembly.HB_Nagashima_Intro_02	This is his third attempt to reduce the island citadel.	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_02	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_03	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_01	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_06	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_07	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_04	placeholder	true
battle_script_strings_title_Bos.Narr.HB.TF_Mid_05	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Sekigahara_Battle_Won	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Anegawa_Battle_Lost	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Anegawa_Extra_10	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Anegawa_Intro_10	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Anegawa_Extra_11	placeholder	true
battle_script_strings_string_CreativeAssembly.HB_Kawagoe_Obj1	Objective: Successfully defend Kawagoe castle against the Uesugi	true
battle_script_strings_string_CreativeAssembly.HB_Kawagoe_Obj2	Objective: Inform relieving forces of the attack without being spotted	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_08	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Extra_04	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_04	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Extra_05	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_05	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_06	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_07	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Extra_01	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_01	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Extra_02	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_02	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Extra_03	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Nagashima_Intro_03	placeholder	true
battle_script_strings_title_CreativeAssembly.HB_Anegawa_Extra_06	placeholder	true
