key	text	tooltip
#Loc;1;text/db/battlefield_building_categories.loc		
battlefield_building_categories_global_effects_description_farmhouse	-1	true
battlefield_building_categories_global_effects_description_coastal_battery	-1	true
battlefield_building_categories_onscreen_name_key_building_farmhouse	Farmhouse	true
battlefield_building_categories_global_effects_description_fort_tower	-1	true
battlefield_building_categories_global_effects_description_fort_wall	-1	true
battlefield_building_categories_global_effects_description_warehouse	-1	true
battlefield_building_categories_local_effects_description_townhall	-1	true
battlefield_building_categories_local_effects_description_command_HQ	-1	true
battlefield_building_categories_onscreen_name_house	House	true
battlefield_building_categories_local_effects_description_barracks	-1	true
battlefield_building_categories_local_effects_description_warehouse	-1	true
battlefield_building_categories_onscreen_name_ruins	Ruins	true
battlefield_building_categories_global_effects_description_command_HQ	-1	true
battlefield_building_categories_global_effects_description_boulder	-1	true
battlefield_building_categories_local_effects_description_windmill	-1	true
battlefield_building_categories_global_effects_description_armoury	-1	true
battlefield_building_categories_local_effects_description_farmhouse	-1	true
battlefield_building_categories_local_effects_description_fort_tower	Rains down fire upon nearby enemy units if captured.	true
battlefield_building_categories_global_effects_description_key_building_sword_dojo	Increases the melee attack and charge of all units.	true
battlefield_building_categories_onscreen_name_fence	Fence	true
battlefield_building_categories_local_effects_description_fort_wall	-1	true
battlefield_building_categories_onscreen_name_rural	Rural	true
battlefield_building_categories_onscreen_name_vaultable_wall	Vaultable Wall	true
battlefield_building_categories_onscreen_name_armoury	Armoury	true
battlefield_building_categories_local_effects_description_key_building_archery_dojo	Restores ammunition supplies to nearby missile units.	true
battlefield_building_categories_global_effects_description_floor_tile	-1	true
battlefield_building_categories_local_effects_description_hut	-1	true
battlefield_building_categories_global_effects_description_barracks	-1	true
battlefield_building_categories_onscreen_name_key_building_sword_dojo	Sword Dojo	true
battlefield_building_categories_global_effects_description_townhall	-1	true
battlefield_building_categories_onscreen_name_church	Church	true
battlefield_building_categories_local_effects_description_incidental	-1	true
battlefield_building_categories_onscreen_name_boulder	Boulder	true
battlefield_building_categories_onscreen_name_bridge	Bridge	true
battlefield_building_categories_local_effects_description_key_building_shrine	-1	true
battlefield_building_categories_global_effects_description_incidental	-1	true
battlefield_building_categories_onscreen_name_key_building_workshop	Workshop	true
battlefield_building_categories_onscreen_name_fort	Fort	true
battlefield_building_categories_global_effects_description_key_building_archery_dojo	Increases the reload rate of all missile units.	true
battlefield_building_categories_onscreen_name_gate	Gate	true
battlefield_building_categories_onscreen_name_coastal_battery	Coastal Battery	true
battlefield_building_categories_global_effects_description_windmill	-1	true
battlefield_building_categories_local_effects_description_floor_tile	-1	true
battlefield_building_categories_local_effects_description_bridge	-1	true
battlefield_building_categories_onscreen_name_key_building_shrine	Shrine	true
battlefield_building_categories_onscreen_name_incidental	Incidental	true
battlefield_building_categories_local_effects_description_church	-1	true
battlefield_building_categories_global_effects_description_gate	-1	true
battlefield_building_categories_onscreen_name_windmill	Windmill	true
battlefield_building_categories_local_effects_description_coastal_battery	-1	true
battlefield_building_categories_local_effects_description_vaultable_wall	-1	true
battlefield_building_categories_global_effects_description_fort	-1	true
battlefield_building_categories_local_effects_description_key_building_workshop	-1	true
battlefield_building_categories_local_effects_description_armoury	-1	true
battlefield_building_categories_global_effects_description_vaultable_wall	-1	true
battlefield_building_categories_onscreen_name_barracks	Barracks	true
battlefield_building_categories_onscreen_name_floor_tile	Floor	true
battlefield_building_categories_onscreen_name_townhall	Tenshu	true
battlefield_building_categories_onscreen_name_hut	Hut	true
battlefield_building_categories_local_effects_description_key_building_sword_dojo	-1	true
battlefield_building_categories_global_effects_description_key_building_workshop	Increases the armour and melee defence of all units.	true
battlefield_building_categories_global_effects_description_church	-1	true
battlefield_building_categories_onscreen_name_key_building_archery_dojo	Archery Dojo	true
battlefield_building_categories_local_effects_description_boulder	-1	true
battlefield_building_categories_global_effects_description_bridge	-1	true
battlefield_building_categories_onscreen_name_farmhouse	Farmhouse	true
battlefield_building_categories_onscreen_name_command_HQ	Command HQ	true
battlefield_building_categories_local_effects_description_gate	Allows access to friendly units if captured.	true
battlefield_building_categories_local_effects_description_fence	-1	true
battlefield_building_categories_local_effects_description_fort	-1	true
battlefield_building_categories_onscreen_name_fort_wall	Fort Wall	true
battlefield_building_categories_local_effects_description_rural	-1	true
battlefield_building_categories_onscreen_name_warehouse	Warehouse	true
battlefield_building_categories_local_effects_description_ruins	-1	true
battlefield_building_categories_local_effects_description_key_building_farmhouse	-1	true
battlefield_building_categories_global_effects_description_house	-1	true
battlefield_building_categories_global_effects_description_hut	-1	true
battlefield_building_categories_global_effects_description_ruins	-1	true
battlefield_building_categories_local_effects_description_house	-1	true
battlefield_building_categories_global_effects_description_key_building_farmhouse	Increases the stamina and movement speed of all units.	true
battlefield_building_categories_onscreen_name_fort_tower	Fort Tower	true
battlefield_building_categories_global_effects_description_fence	-1	true
battlefield_building_categories_global_effects_description_key_building_shrine	Increases the morale of all units.	true
battlefield_building_categories_global_effects_description_rural	-1	true
