key	text	tooltip
#Loc;1;text/db/battlefield_buildings.loc		
battlefield_buildings_onscreen_name_override_tower_wood_03_level_01	Archery Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_03_level_02	Matchlock Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_03_level_03	Gatling Gun Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_03_level_04	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_03_level_05	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_01_level_01	Archery Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_01_level_02	Matchlock Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_01_level_03	Gatling Gun Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_01_level_04	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_wood_01_level_05	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_02_level_04	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_02_level_05	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_02_level_02	Matchlock Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_02_level_03	Gatling Gun Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_02_level_01	Archery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_03_level_04	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_03_level_05	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_03_level_02	Matchlock Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_03_level_03	Gatling Gun Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_03_level_01	Archery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_01_level_04	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_01_level_05	Battery Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_01_level_02	Matchlock Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_01_level_03	Gatling Gun Tower	true
battlefield_buildings_onscreen_name_override_tower_stone_01_level_01	Archery Tower	true
