key	text	tooltip
#Loc;1;text/db/building_chains.loc		
building_chains_chain_tooltip_bos_artillery	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Holy_Site	REPLACE_ME_141355	true
building_chains_chain_tooltip_bos_defences	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_traditional	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_criminal	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_smugglers	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Craftwork	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialtea	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_holy_site	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Ikko_Temple	REPLACE_ME_150125	true
building_chains_chain_tooltip_SHO_Christian	REPLACE_ME_115326	true
building_chains_chain_tooltip_GEM_Region_Specialty_Holy_Site	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_industry	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_smithing	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Craftwork	REPLACE_ME_140958	true
building_chains_chain_tooltip_bos_region_specialty_railroad	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_foundation	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Buddhist	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Portuguese	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Buddhist	REPLACE_ME_091816	true
building_chains_chain_tooltip_GEM_Government	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Smithing	REPLACE_ME_160551	true
building_chains_chain_tooltip_GEM_Region_Specialty_Smithing	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_propaganda	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Economy	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Iron_Mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Farming	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Intellectual	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_castle	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Iron_Mining	REPLACE_ME_160412	true
building_chains_chain_tooltip_SHO_Stealth	REPLACE_ME_114904	true
building_chains_chain_tooltip_SHO_Archery	REPLACE_ME_121136	true
building_chains_chain_tooltip_bos_region_specialty_coal_mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_gold_mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Infrastructure	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Castle	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Farming	REPLACE_ME_152703	true
building_chains_chain_tooltip_GEM_Port	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Economy	REPLACE_ME_135944	true
building_chains_chain_tooltip_GEM_Intellectual	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Yari	REPLACE_ME_121827	true
building_chains_chain_tooltip_SHO_Port	REPLACE_ME_140600	true
building_chains_chain_tooltip_SHO_Cavalry	REPLACE_ME_091939	true
building_chains_chain_tooltip_SHO_Infrastructure	REPLACE_ME_141119	true
building_chains_chain_tooltip_SHO_Castle	REPLACE_ME_115403	true
building_chains_chain_tooltip_bos_modern	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Intellectual_Centre	REPLACE_ME_155443	true
building_chains_chain_tooltip_GEM_Buff	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Buff	REPLACE_ME_151248	true
building_chains_chain_tooltip_GEM_Region_Specialty_Gold_Mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Silk	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_iron_mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Gold_Mining	REPLACE_ME_155658	true
building_chains_chain_tooltip_GEM_Clan	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Koryu	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Stone	REPLACE_ME_160834	true
building_chains_chain_tooltip_bos_buff	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Ninja	REPLACE_ME_161157	true
building_chains_chain_tooltip_bos_region_specialty_silver_mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Sword	REPLACE_ME_122755	true
building_chains_chain_tooltip_bos_farming	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Horses	REPLACE_ME_160121	true
building_chains_chain_tooltip_SHO_Region_Specialty_Naval	REPLACE_ME_151319	true
building_chains_chain_tooltip_bos_infrastucture	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_copper_mining	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Region_Specialty_Timber	REPLACE_ME_160537	true
building_chains_chain_tooltip_bos_region_specialty_clay	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_port	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Ninja	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Bushi	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_GEM_Region_Specialty_Naval	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_SHO_Siege	REPLACE_ME_145812	true
building_chains_chain_tooltip_GEM_Region_Specialty_Timber	"PLACEHOLDER Tooltip"	true
building_chains_chain_tooltip_bos_region_specialty_silk	"PLACEHOLDER Tooltip"	true
