key	text	tooltip
#Loc;1;text/db/building_culture_variants.loc		
building_culture_variants_name_SHO_Yari_1_Drill_Yardjapanese	Yari Drill Yard	true
building_culture_variants_name_bos_defenses_3_matchlock_towersjapanese	Matchlock Towers	true
building_culture_variants_name_SHO_Archery_1_Archery_Dojojapanese	Archery Dojo	true
building_culture_variants_name_GEM_Castle_1_Townjapanese	Town	true
building_culture_variants_name_SHO_Region_Specialty_Ninja_2_Ninjutsu_Schooljapanese	Ninjutsu School	true
building_culture_variants_name_SHO_Region_Specialty_Naval_1_Merchant_Colonyjapanese	Merchant Colony	true
building_culture_variants_name_GEM_Economy_3_Granaryjapanese	Granary	true
building_culture_variants_name_SHO_Infrastructure_3_Imperial_Roadsjapanese	Imperial Roads and Towers	true
building_culture_variants_name_SHO_Castle_1_Fortjapanese	Fort	true
building_culture_variants_name_SHO_Region_Specialty_Iron_Mining_2_Deep_Minejapanese	Deep Iron Mine	true
building_culture_variants_name_bos_propaganda_4_shinsengumi_headquartersjapanese	Shinsengumi Headquarters	true
building_culture_variants_name_bos_propaganda_4_mainichi_shimbunjapanese	Daily News	true
building_culture_variants_name_bos_castle_6_star_fortjapanese	Star Fort	true
building_culture_variants_name_GEM_Economy_2_Marketjapanese	Market	true
building_culture_variants_name_GEM_Region_Specialty_Gold_Mining_2_Gold_Lodesjapanese	Gold Lodes	true
building_culture_variants_name_SHO_Region_Specialty_Smithing_2_Weaponsmithjapanese	Weaponsmith	true
building_culture_variants_name_GEM_Castle_3_Fortjapanese	Fort	true
building_culture_variants_name_bos_region_spec_iron_mining_2_deep_iron_minejapanese	Deep-seam Iron Mine	true
building_culture_variants_name_SHO_Region_Specialty_Stone_2_Quarryjapanese	Stonemason	true
building_culture_variants_name_SHO_Crafts_3_Merchant_Guildjapanese	Merchant Guild	true
building_culture_variants_name_bos_industry_4_silk_manufactoryjapanese	Silk Manufactory	true
building_culture_variants_name_bos_region_specialtea_3_sayama_corporation_depotjapanese	Tea Exporter	true
building_culture_variants_name_GEM_Economy_1_Barterjapanese	Barter Exchange	true
building_culture_variants_name_SHO_Buddhist_4_Legendary_Templejapanese	Famous Temple	true
building_culture_variants_name_GEM_Region_Specialty_Holy_Site_2_Shinto_Sanctuaryjapanese	Shinto Sanctuary	true
building_culture_variants_name_bos_region_spec_smithing_3_riflemakersjapanese	Gunsmith	true
building_culture_variants_name_GEM_Region_Specialty_Iron_Mining_1_Iron_Sandsjapanese	Iron Sands	true
building_culture_variants_name_bos_buff_2_drill_schooljapanese	Drill School	true
building_culture_variants_name_bos_farming_2_tenant_fieldsjapanese	Tenant Fields	true
building_culture_variants_name_GEM_Farming_3_Rice_Paddiesjapanese	Rice Paddies	true
building_culture_variants_name_GEM_Region_Specialty_Ninja_2_Senmin_Villagejapanese	Senmin Village	true
building_culture_variants_name_GEM_Region_Specialty_Smithing_2_Weaponsmithjapanese	Weaponsmith	true
building_culture_variants_name_GEM_Region_Specialty_Ninja_1_Isolated_Hamletjapanese	Isolated Hamlet	true
building_culture_variants_name_bos_defenses_5_wall_guns_and_gatling_gun_towersjapanese	Gun Batteries	true
building_culture_variants_name_bos_buff_2_jujutsu_halljapanese	Jujutsu Hall	true
building_culture_variants_name_bos_buff_2_headquartersjapanese	General Staff Headquarters	true
building_culture_variants_name_GEM_Region_Specialty_Gold_Mining_3_Gold_Minejapanese	Gold Mine	true
building_culture_variants_name_GEM_Farming_1_Fieldsjapanese	Fields	true
building_culture_variants_name_GEM_Intellectual_3_Provincial_Academyjapanese	Provincial Academy	true
building_culture_variants_name_GEM_Clan_2_Mandokorojapanese	Shinden	true
building_culture_variants_name_SHO_Ikko_Temple_3_Jodo_Shinshu_Fortified_Monasteryjapanese	Jodo Shinshu Sanctuary	true
building_culture_variants_name_GEM_Gov_1_Tadokorojapanese	Tadokoro	true
building_culture_variants_name_GEM_Clan_4_Taira_Palacejapanese	Taira Palace	true
building_culture_variants_name_bos_port_3_trading_portjapanese	Trading Port	true
