key	text	tooltip
#Loc;1;text/db/campaign_ground_types.loc		
campaign_ground_types_onscreen_name_hills_cold_att	Hills	true
campaign_ground_types_onscreen_name_sea_coast	Coastal Water	true
campaign_ground_types_onscreen_name_tundra	Tundra	true
campaign_ground_types_onscreen_name_jungle	Jungle	true
campaign_ground_types_onscreen_name_Plains_cold_att	Plains	true
campaign_ground_types_onscreen_name_plains	Plains	true
campaign_ground_types_onscreen_name_Tundra_cold_att	Tundra	true
campaign_ground_types_onscreen_name_sea_ocean	Ocean	true
campaign_ground_types_onscreen_name_desert	Desert	true
campaign_ground_types_onscreen_name_Swamp_cold_att	Swamp	true
campaign_ground_types_onscreen_name_Marsh_cold_att	Marsh	true
campaign_ground_types_onscreen_name_grassland	Grassland	true
campaign_ground_types_onscreen_name_light_forest_cold_att	Light Forest	true
campaign_ground_types_onscreen_name_hilly_light_forest_cold_att	Hilly Light Forest	true
campaign_ground_types_onscreen_name_hills	Hills	true
campaign_ground_types_onscreen_name_swamp	Swamp	true
campaign_ground_types_onscreen_name_marsh	Marsh	true
campaign_ground_types_onscreen_name_dense_forest	Dense Forest	true
campaign_ground_types_onscreen_name_grassland_cold_att	Grassland	true
campaign_ground_types_onscreen_name_light_forest	Light Forest	true
campaign_ground_types_onscreen_name_hilly_light_forest	Hilly Light Forest	true
