key	text	tooltip
#Loc;1;text/db/campaign_map_settlements.loc		
campaign_map_settlements_default_onscreen_name_settlement:bos_bungo:funai	Funai	true
campaign_map_settlements_default_onscreen_name_settlement:jap_sanuki:takamatsu	Takamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_sanuki:takamatsu	Takamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:gem_echigo:nagaoka	Nagaoka	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tsushima:tsushima	Tsushima	true
campaign_map_settlements_default_onscreen_name_settlement:gem_totomi:hamamatsu	Hamamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_settsu:amagasaki	Amagasaki	true
campaign_map_settlements_default_onscreen_name_settlement:bos_echigo:nagaoka	Nagaoka	true
campaign_map_settlements_default_onscreen_name_settlement:bos_sagami:odawara	Odawara	true
campaign_map_settlements_default_onscreen_name_settlement:gem_bungo:funai	Fu'nai	true
campaign_map_settlements_default_onscreen_name_settlement:bos_nagasaki:nagasaki	Nagasaki	true
campaign_map_settlements_default_onscreen_name_settlement:jap_sagami:odawara	Odawara	true
campaign_map_settlements_default_onscreen_name_settlement:jap_echigo:nagaoka	Nagaoka	true
campaign_map_settlements_default_onscreen_name_settlement:jap_bungo:funai	Fu'nai	true
campaign_map_settlements_default_onscreen_name_settlement:jap_awaji:minamiawaji	Minamiawaji	true
campaign_map_settlements_default_onscreen_name_settlement:bos_awaji:minamiawaji	Minamiawaji	true
campaign_map_settlements_default_onscreen_name_settlement:gem_awaji:minamiawaji	Minamiawaji	true
campaign_map_settlements_default_onscreen_name_settlement:gem_mikawa:okazaki	Okazaki	true
campaign_map_settlements_default_onscreen_name_settlement:gem_hyuga:saito	Saito	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tajima:toyooka	Toyooka	true
campaign_map_settlements_default_onscreen_name_settlement:bos_mikawa:okazaki	Okazaki	true
campaign_map_settlements_default_onscreen_name_settlement:bos_bingo:fuchu	Fuchu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tamba:kameyaka	Kameyaka	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_settsu:osaka	Osaka	true
campaign_map_settlements_default_onscreen_name_settlement:jap_hyuga:saito	Saito	true
campaign_map_settlements_default_onscreen_name_settlement:bos_totomi:hamamatsu	Hamamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:gem_tamba:kameyaka	Kameyaka	true
campaign_map_settlements_default_onscreen_name_settlement:bos_hyuga:saito	Saito	true
campaign_map_settlements_default_onscreen_name_settlement:jap_totomi:hamamatsu	Hamamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_bingo:fuchu	Fuchu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_mikawa:okazaki	Okazaki	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tamba:kameyaka	Kameyaka	true
campaign_map_settlements_default_onscreen_name_settlement:gem_sanuki:yashima	Yashima	true
campaign_map_settlements_default_onscreen_name_settlement:gem_bingo:fuchu	Fuchu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_ise:tsu	Tsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tosa:kochi	Kochi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_etchu:toyama	Toyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_oshima:hakodate	Hakodate	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_bitchu:soja	Soja	true
campaign_map_settlements_default_onscreen_name_settlement:gem_tango:miyazu	Miyazu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_kozuke:takasaki	Takasaki	true
campaign_map_settlements_default_onscreen_name_settlement:gem_ise:tsu	Tsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_buzen:kokura	Kokura	true
campaign_map_settlements_default_onscreen_name_settlement:gem_osumi:kokubu	Kokubu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_buzen:kokura	Kokura	true
campaign_map_settlements_default_onscreen_name_settlement:jap_kii:wakayama	Wakayama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tosa:kochi	Kochi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_echizen:fukui	Fukui	true
campaign_map_settlements_default_onscreen_name_settlement:bos_echizen:fukui	Fukui	true
campaign_map_settlements_default_onscreen_name_settlement:jap_echizen:fukui	Fukui	true
campaign_map_settlements_default_onscreen_name_settlement:bos_iwami:hamada	Hamada	true
campaign_map_settlements_default_onscreen_name_settlement:bos_izumo:matsue	Matsue	true
campaign_map_settlements_default_onscreen_name_settlement:jap_kozuke:takasaki	Takasaki	true
campaign_map_settlements_default_onscreen_name_settlement:jap_iwami:hamada	Hamada	true
campaign_map_settlements_default_onscreen_name_settlement:jap_izumo:matsue	Matsue	true
campaign_map_settlements_default_onscreen_name_settlement:bos_iyo:matsuyama	Matsuyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_kii:wakayama	Wakayama	true
campaign_map_settlements_default_onscreen_name_settlement:gem_aki:koriyama	Koriyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_awa:tokushima	Tokushima	true
campaign_map_settlements_default_onscreen_name_settlement:gem_awa:tokushima	Tokushima	true
campaign_map_settlements_default_onscreen_name_settlement:gem_settsu:fukuhara	Fukuhara	true
campaign_map_settlements_default_onscreen_name_settlement:jap_awa:tokushima	Tokushima	true
campaign_map_settlements_default_onscreen_name_settlement:bos_hitachi:mito	Mito	true
campaign_map_settlements_default_onscreen_name_settlement:gem_tosa:kochi	Kochi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_kozuke:takasaki	Takasaki	true
campaign_map_settlements_default_onscreen_name_settlement:jap_hitachi:mito	Mito	true
campaign_map_settlements_default_onscreen_name_settlement:bos_ise:tsu	Tsu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_france_base:france_base	France Base	true
campaign_map_settlements_default_onscreen_name_settlement:bos_sapporo:sapporo	Sapporo	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_harima:akashi	Akashi	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_yamato:joroku	Joroku	true
campaign_map_settlements_default_onscreen_name_settlement:jap_aki:koriyama	Koriyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_aki:koriyama	Koriyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_owari:nagoya	Nagoya	true
campaign_map_settlements_default_onscreen_name_settlement:gem_sagami:kamakura	Odawara	true
campaign_map_settlements_default_onscreen_name_settlement:gem_hitachi:mito	Mito	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_iyo:imabari	Imabari	true
campaign_map_settlements_default_onscreen_name_settlement:jap_noto:nanao	Nanao	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_bizen:okayama	Okayama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_kazusa:ichihara	Ichihara	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_kawachi:fujidera	Fujidera	true
campaign_map_settlements_default_onscreen_name_settlement:gem_kii:wakayama	Wakayama	true
campaign_map_settlements_default_onscreen_name_settlement:gem_waco_base:waco_base_settlement	Waco Base	true
campaign_map_settlements_default_onscreen_name_settlement:gem_iwami:hamada	Hamada	true
campaign_map_settlements_default_onscreen_name_settlement:gem_izumo:matsue	Matsue	true
campaign_map_settlements_default_onscreen_name_settlement:bos_osumi:kokubu	Kokubu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_waco_base:waco_base_settlement	Waco Base	true
campaign_map_settlements_default_onscreen_name_settlement:gem_buzen:kokura	Kokura	true
campaign_map_settlements_default_onscreen_name_settlement:jap_shimosa:chiba	Chiba	true
campaign_map_settlements_default_onscreen_name_settlement:bos_shimosa:chiba	Chiba	true
campaign_map_settlements_default_onscreen_name_settlement:gem_shimosa:chiba	Chiba	true
campaign_map_settlements_default_onscreen_name_settlement:jap_kazusa:ichihara	Ichihara	true
campaign_map_settlements_default_onscreen_name_settlement:bos_noto:nanao	Nanao	true
campaign_map_settlements_default_onscreen_name_settlement:jap_osumi:kokubu	Kokubu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_suo:yamaguchi	Yamaguchi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_suo:yamaguchi	Yamaguchi	true
campaign_map_settlements_default_onscreen_name_settlement:jap_suo:yamaguchi	Yamaguchi	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tango:miyazu	Miyazu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_etchu:toyama	Toyama	true
campaign_map_settlements_default_onscreen_name_settlement:gem_kazusa:ichihara	Ichihara	true
campaign_map_settlements_default_onscreen_name_settlement:gem_noto:nanao	Nanao	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tango:miyazu	Miyazu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_etchu:toyama	Toyama	true
campaign_map_settlements_default_onscreen_name_settlement:bos_kawachi:osaka	Osaka	true
campaign_map_settlements_default_onscreen_name_settlement:gem_omi:otsu	Otsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_kawachi:fujidera	Fujidera	true
campaign_map_settlements_default_onscreen_name_settlement:bos_ugo:akita	Kubota	true
campaign_map_settlements_default_onscreen_name_settlement:gem_mimasaka:tsuyama	Tsuyama	true
campaign_map_settlements_default_onscreen_name_settlement:gem_iyo:imabari	Imabari	true
campaign_map_settlements_default_onscreen_name_settlement:jap_north_shinano:matsumoto	Matsumoto	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tsukushi:fukuoka	Fukuoka	true
campaign_map_settlements_default_onscreen_name_settlement:jap_satsuma:kagoshima	Kagoshima	true
campaign_map_settlements_default_onscreen_name_settlement:bos_satsuma:kagoshima	Kagoshima	true
campaign_map_settlements_default_onscreen_name_settlement:gem_satsuma:kagoshima	Kagoshima	true
campaign_map_settlements_default_onscreen_name_settlement:jap_iyo:imabari	Imabari	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tsukushi:fukuoka	Fukuoka	true
campaign_map_settlements_default_onscreen_name_settlement:gem_north_shinano:matsumoto	Matsumoto	true
campaign_map_settlements_default_onscreen_name_settlement:bos_nagato:hagi	Hagi	true
campaign_map_settlements_default_onscreen_name_settlement:jap_iga:ueno	Ueno	true
campaign_map_settlements_default_onscreen_name_settlement:jap_kai:kofu	Kofu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_nagato:hagi	Hagi	true
campaign_map_settlements_default_onscreen_name_settlement:bos_iga:ueno	Ueno	true
campaign_map_settlements_default_onscreen_name_settlement:bos_kai:kofu	Kofu	true
campaign_map_settlements_default_onscreen_name_settlement:bos_north_shinano:matsumoto	Matsumoto	true
campaign_map_settlements_default_onscreen_name_settlement:gem_nagato:hagi	Hagi	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_awaji:minamiawaji	Minamiawaji	true
campaign_map_settlements_default_onscreen_name_settlement:gem_hoki:kurayoshi	Kurayoshi	true
campaign_map_settlements_default_onscreen_name_settlement:bos_izu:mishima	Mishima	true
campaign_map_settlements_default_onscreen_name_settlement:bos_tanegashima:nishinoomote	Nishinoomote	true
campaign_map_settlements_default_onscreen_name_settlement:bos_suruga:fuji	Fuji	true
campaign_map_settlements_default_onscreen_name_settlement:bos_yamato:nara	Nara	true
campaign_map_settlements_default_onscreen_name_settlement:gem_bitchu:soja	Soja	true
campaign_map_settlements_default_onscreen_name_settlement:gem_sado:aikawa	Aikawa	true
campaign_map_settlements_default_onscreen_name_settlement:bos_goto_island:goto	Goto	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_tosa:kochi	Kochi	true
campaign_map_settlements_default_onscreen_name_settlement:bos_hoki:kurayoshi	Kurayoshi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_iga:ueno	Ueno	true
campaign_map_settlements_default_onscreen_name_settlement:gem_kai:kofu	Kofu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_bitchu:soja	Soja	true
campaign_map_settlements_default_onscreen_name_settlement:bos_musashi:edo	Edo	true
campaign_map_settlements_default_onscreen_name_settlement:jap_sado:aikawa	Aikawa	true
campaign_map_settlements_default_onscreen_name_settlement:bos_bitchu:soja	Soja	true
campaign_map_settlements_default_onscreen_name_settlement:gem_tsukushi:fukuoka	Fukuoka	true
campaign_map_settlements_default_onscreen_name_settlement:jap_musashi:edo	Edo	true
campaign_map_settlements_default_onscreen_name_settlement:bos_sado:aikawa	Aikawa	true
campaign_map_settlements_default_onscreen_name_settlement:gem_izu:mishima	Mishima	true
campaign_map_settlements_default_onscreen_name_settlement:bos_mimasaka:tsuyama	Tsuyama	true
campaign_map_settlements_default_onscreen_name_settlement:gem_kawachi:fujidera	Fujidera	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_kii:wakayama	Wakayama	true
campaign_map_settlements_default_onscreen_name_settlement:jap_hoki:kurayoshi	Kurayoshi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_musashi:edo	Edo	true
campaign_map_settlements_default_onscreen_name_settlement:jap_omi:otsu	Otsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_izu:mishima	Mishima	true
campaign_map_settlements_default_onscreen_name_settlement:bos_omi:otsu	Otsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_mimasaka:tsuyama	Tsuyama	true
campaign_map_settlements_default_onscreen_name_settlement:jap_fukushima:aizuwakamatsu	Aizuwakamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_tut_tamba:kameyaka	Kameyaka	true
campaign_map_settlements_default_onscreen_name_settlement:gem_ugo:kubota	Kubota	true
campaign_map_settlements_default_onscreen_name_settlement:gem_suruga:sunpu	Sunpu	true
campaign_map_settlements_default_onscreen_name_settlement:jap_settsu:osaka	Osaka	true
campaign_map_settlements_default_onscreen_name_settlement:bos_hiyama:esashi	Esashi	true
campaign_map_settlements_default_onscreen_name_settlement:gem_yamashiro:kyoto	Kyoto	true
campaign_map_settlements_default_onscreen_name_settlement:gem_owari:inazawa	Inazawa	true
campaign_map_settlements_default_onscreen_name_settlement:jap_owari:inazawa	Inazawa	true
campaign_map_settlements_default_onscreen_name_settlement:gem_fukushima:aizuwakamatsu	Aizuwakamatsu	true
campaign_map_settlements_default_onscreen_name_settlement:gem_south_shinano:kiso	Kiso	true
campaign_map_settlements_default_onscreen_name_settlement:gem_iwate:hiraizumi	Hiraizumi	true
