key	text	tooltip
#Loc;1;text/db/campaign_map_slots.loc		
campaign_map_slots_onscreen_rice:jap_izu:farm	Izu Fields	true
campaign_map_slots_onscreen_rice:jap_tut_harima:farm	Harima Fields	true
campaign_map_slots_onscreen_rice:gem_aki:farm	Aki Fields	true
campaign_map_slots_onscreen_rice:gem_kai:farm	Kai Fields	true
campaign_map_slots_onscreen_rice:gem_kii:farm	Kii Fields	true
campaign_map_slots_onscreen_rice:gem_omi:farm	Omi Fields	true
campaign_map_slots_onscreen_rice:bos_shimotsuke:farm	Shimotsuke Fields	true
campaign_map_slots_onscreen_rice:bos_izu:farm	Izu Fields	true
campaign_map_slots_onscreen_rice:gem_iyo:farm	Iyo Fields	true
campaign_map_slots_onscreen_rice:gem_suo:farm	Suo Fields	true
campaign_map_slots_onscreen_rice:gem_ugo:farm	Ugo Fields	true
campaign_map_slots_onscreen_rice:gem_shimotsuke:farm	Shimotsuke Fields	true
campaign_map_slots_onscreen_rice:jap_tut_sanuki:farm	Sanuki Fields	true
campaign_map_slots_onscreen_rice:gem_awa:farm	Awa Fields	true
campaign_map_slots_onscreen_rice:gem_iga:farm	Iga Fields	true
campaign_map_slots_onscreen_rice:bos_tanegashima:farm	Tanegashima Fields	true
campaign_map_slots_onscreen_rice:jap_shimotsuke:farm	Shimotsuke Fields	true
campaign_map_slots_onscreen_rice:gem_ise:farm	Ise Fields	true
campaign_map_slots_onscreen_rice:jap_tut_yamato:farm	Yamato Fields	true
campaign_map_slots_onscreen_rice:jap_ise:farm	Ise Fields	true
campaign_map_slots_onscreen_rice:jap_tut_settsu:farm	Settsu Fields	true
campaign_map_slots_onscreen_rice:gem_waco_base:farm	Waco Base Fields	true
campaign_map_slots_onscreen_rice:bos_ise:farm	Ise Fields	true
campaign_map_slots_onscreen_rice:jap_awa:farm	Awa Fields	true
campaign_map_slots_onscreen_rice:jap_iga:farm	Iga Fields	true
campaign_map_slots_onscreen_rice:bos_goto_island:farm	Goto Island Fields	true
campaign_map_slots_onscreen_rice:bos_awa:farm	Awa Fields	true
campaign_map_slots_onscreen_rice:bos_iga:farm	Iga Fields	true
campaign_map_slots_onscreen_rice:bos_shiribeshi:farm	Shiribeshi Fields	true
campaign_map_slots_onscreen_rice:bos_iyo:farm	Iyo Fields	true
campaign_map_slots_onscreen_rice:bos_suo:farm	Suo Fields	true
campaign_map_slots_onscreen_rice:bos_ugo:farm	Ugo Fields	true
campaign_map_slots_onscreen_rice:jap_iyo:farm	Iyo Fields	true
campaign_map_slots_onscreen_rice:jap_suo:farm	Suo Fields	true
campaign_map_slots_onscreen_rice:jap_ugo:farm	Ugo Fields	true
campaign_map_slots_onscreen_rice:jap_aki:farm	Aki Fields	true
campaign_map_slots_onscreen_rice:jap_kai:farm	Kai Fields	true
campaign_map_slots_onscreen_rice:jap_kii:farm	Kii Fields	true
campaign_map_slots_onscreen_rice:jap_omi:farm	Omi Fields	true
campaign_map_slots_onscreen_rice:jap_tut_bitchu:farm	Bitchu Fields	true
campaign_map_slots_onscreen_rice:gem_izu:farm	Izu Fields	true
campaign_map_slots_onscreen_rice:jap_waco_base:farm	Waco Base Fields	true
campaign_map_slots_onscreen_rice:jap_tut_kawachi:farm	Kawachi Fields	true
campaign_map_slots_onscreen_rice:bos_aki:farm	Aki Fields	true
campaign_map_slots_onscreen_rice:bos_kai:farm	Kai Fields	true
campaign_map_slots_onscreen_rice:bos_kii:farm	Kii Fields	true
campaign_map_slots_onscreen_rice:bos_omi:farm	Omi Fields	true
campaign_map_slots_onscreen_rice:jap_hoki:farm	Hoki Fields	true
campaign_map_slots_onscreen_rice:gem_hoki:farm	Hoki Fields	true
campaign_map_slots_onscreen_rice:bos_hoki:farm	Hoki Fields	true
campaign_map_slots_onscreen_rice:jap_nanban_base:farm	Nanban Base Fields	true
campaign_map_slots_onscreen_rice:jap_noto:farm	Noto Fields	true
campaign_map_slots_onscreen_rice:jap_mino:farm	Mino Fields	true
campaign_map_slots_onscreen_rice:jap_higo:farm	Higo Fields	true
campaign_map_slots_onscreen_rice:bos_noto:farm	Noto Fields	true
campaign_map_slots_onscreen_rice:bos_mino:farm	Mino Fields	true
campaign_map_slots_onscreen_rice:gem_higo:farm	Higo Fields	true
campaign_map_slots_onscreen_rice:gem_noto:farm	Noto Fields	true
campaign_map_slots_onscreen_rice:bos_higo:farm	Higo Fields	true
campaign_map_slots_onscreen_rice:gem_mino:farm	Mino Fields	true
campaign_map_slots_onscreen_rice:gem_sado:farm	Sado Fields	true
campaign_map_slots_onscreen_rice:bos_sado:farm	Sado Fields	true
campaign_map_slots_onscreen_rice:jap_sado:farm	Sado Fields	true
campaign_map_slots_onscreen_rice:bos_uzen:farm	Uzen Fields	true
campaign_map_slots_onscreen_rice:gem_uzen:farm	Uzen Fields	true
campaign_map_slots_onscreen_rice:jap_uzen:farm	Uzen Fields	true
campaign_map_slots_onscreen_rice:jap_fukushima:farm	Fukushima Fields	true
campaign_map_slots_onscreen_rice:jap_kaga:farm	Kaga Fields	true
campaign_map_slots_onscreen_rice:jap_hida:farm	Hida Fields	true
campaign_map_slots_onscreen_rice:gem_kaga:farm	Kaga Fields	true
campaign_map_slots_onscreen_rice:gem_hida:farm	Hida Fields	true
campaign_map_slots_onscreen_rice:bos_kaga:farm	Kaga Fields	true
campaign_map_slots_onscreen_rice:bos_hida:farm	Hida Fields	true
campaign_map_slots_onscreen_rice:bos_tosa:farm	Tosa Fields	true
campaign_map_slots_onscreen_rice:gem_tosa:farm	Tosa Fields	true
campaign_map_slots_onscreen_rice:jap_tosa:farm	Tosa Fields	true
campaign_map_slots_onscreen_rice:gem_fukushima:farm	Fukushima Fields	true
campaign_map_slots_onscreen_rice:jap_tut_bingo:farm	Bingo Fields	true
campaign_map_slots_onscreen_rice:jap_tut_bizen:farm	Bizen Fields	true
campaign_map_slots_onscreen_rice:jap_tut_awaji:farm	Awaji Fields	true
campaign_map_slots_onscreen_rice:bos_fukushima:farm	Fukushima Fields	true
campaign_map_slots_onscreen_rice:jap_tut_tamba:farm	Tamba Fields	true
campaign_map_slots_onscreen_rice:jap_yamashiro:farm	Yamashiro Fields	true
campaign_map_slots_onscreen_rice:gem_yamashiro:farm	Yamashiro Fields	true
campaign_map_slots_onscreen_rice:gem_nanban_base:farm	Nanban Base Fields	true
campaign_map_slots_onscreen_rice:bos_yamashiro:farm	Yamashiro Fields	true
campaign_map_slots_onscreen_rice:bos_tango:farm	Tango Fields	true
campaign_map_slots_onscreen_rice:bos_nagasaki:farm	Nagasaki Fields	true
campaign_map_slots_onscreen_rice:gem_south_shinano:farm	South Shinano Fields	true
campaign_map_slots_onscreen_rice:jap_etchu:farm	Etchu Fields	true
campaign_map_slots_onscreen_rice:gem_tango:farm	Tango Fields	true
campaign_map_slots_onscreen_rice:bos_south_shinano:farm	South Shinano Fields	true
campaign_map_slots_onscreen_rice:jap_tamba:farm	Tamba Fields	true
campaign_map_slots_onscreen_rice:jap_tango:farm	Tango Fields	true
campaign_map_slots_onscreen_rice:jap_mimasaka:farm	Mimasaka Fields	true
campaign_map_slots_onscreen_rice:bos_mimasaka:farm	Mimasaka Fields	true
campaign_map_slots_onscreen_rice:gem_mimasaka:farm	Mimasaka Fields	true
campaign_map_slots_onscreen_rice:gem_tamba:farm	Tamba Fields	true
