key	text	tooltip
#Loc;1;text/db/campaign_map_towns_and_ports.loc		
campaign_map_towns_and_ports_onscreen_name_port:jap_suruga:shimizu	Shimizu	true
campaign_map_towns_and_ports_onscreen_name_port:bos_tosa:kochi_port	Kochi Port	true
campaign_map_towns_and_ports_onscreen_name_port:bos_kii:wakayama_port	Wakayama Port	true
campaign_map_towns_and_ports_onscreen_name_town:bos_suruga:station	Suruga Station	true
campaign_map_towns_and_ports_onscreen_name_port:gem_sagami:koshigoe	Kamakura	true
campaign_map_towns_and_ports_onscreen_name_port:jap_osumi:shibushi	Shibushi	true
campaign_map_towns_and_ports_onscreen_name_port:gem_hizen:nagasaki	Nagasaki	true
campaign_map_towns_and_ports_onscreen_name_port:gem_higo:yatsushiro	Yatsushiro	true
campaign_map_towns_and_ports_onscreen_name_town:jap_kaga:region_specialty	Komatsu	true
campaign_map_towns_and_ports_onscreen_name_town:jap_hida:region_specialty	Takayama	true
campaign_map_towns_and_ports_onscreen_name_town:gem_kaga:region_specialty	Komatsu	true
campaign_map_towns_and_ports_onscreen_name_town:gem_hida:region_specialty	Takayama	true
campaign_map_towns_and_ports_onscreen_name_town:bos_kaga:region_specialty	Kaga Blacksmith	true
campaign_map_towns_and_ports_onscreen_name_town:gem_tosa:region_specialty	Shimanto	true
campaign_map_towns_and_ports_onscreen_name_town:jap_tosa:region_specialty	Shimanto	true
campaign_map_towns_and_ports_onscreen_name_port:jap_echizen:tsuruga	Tsuruga	true
campaign_map_towns_and_ports_onscreen_name_port:bos_tsukushi:hakata	Hakata	true
campaign_map_towns_and_ports_onscreen_name_port:bos_satsuma:kagoshima_port	Kagoshima Port	true
campaign_map_towns_and_ports_onscreen_name_port:bos_noto:nanao_port	Nanao Port	true
campaign_map_towns_and_ports_onscreen_name_port:gem_izumo:izumo_port	Izumo Port	true
campaign_map_towns_and_ports_onscreen_name_port:jap_aki:kure	Kure	true
campaign_map_towns_and_ports_onscreen_name_port:gem_musashi:edo_port	Edo Port	true
campaign_map_towns_and_ports_onscreen_name_town:bos_aomori:station	Aomori Station	true
campaign_map_towns_and_ports_onscreen_name_port:jap_higo:yatsushiro	Yatsushiro	true
campaign_map_towns_and_ports_onscreen_name_port:gem_satsuma:kagoshima_port	Kagoshima Port	true
campaign_map_towns_and_ports_onscreen_name_port:jap_sagami:kamakura	Kamakura	true
campaign_map_towns_and_ports_onscreen_name_port:gem_echizen:tsuruga	Tsuruga	true
campaign_map_towns_and_ports_onscreen_name_port:bos_aki:kure	Kure	true
campaign_map_towns_and_ports_onscreen_name_port:jap_tut_awa:tokushima_port	Tokushima Port	true
campaign_map_towns_and_ports_onscreen_name_port:bos_sagami:kamakura	Kamakura	true
campaign_map_towns_and_ports_onscreen_name_port:gem_tsukushi:hakata	Hakata	true
campaign_map_towns_and_ports_onscreen_name_port:bos_ugo:akita_port	Akita Port	true
campaign_map_towns_and_ports_onscreen_name_port:bos_osumi:shibushi	Shibushi	true
campaign_map_towns_and_ports_onscreen_name_port:bos_suruga:shizuoka	Shizuoka	true
campaign_map_towns_and_ports_onscreen_name_town:jap_hoki:region_specialty	Saihaku	true
campaign_map_towns_and_ports_onscreen_name_town:gem_hoki:region_specialty	Saihaku	true
campaign_map_towns_and_ports_onscreen_name_town:bos_hoki:region_specialty	Hoki Clay Pit	true
campaign_map_towns_and_ports_onscreen_name_port:jap_satsuma:kagoshima_port	Kagoshima Port	true
campaign_map_towns_and_ports_onscreen_name_port:jap_tut_bizen:tamano	Tamano	true
campaign_map_towns_and_ports_onscreen_name_town:bos_totomi:station	Totomi Station	true
campaign_map_towns_and_ports_onscreen_name_town:jap_noto:region_specialty	Suzu	true
campaign_map_towns_and_ports_onscreen_name_town:jap_mino:region_specialty	Minokamo	true
campaign_map_towns_and_ports_onscreen_name_town:jap_higo:region_specialty	Aso	true
campaign_map_towns_and_ports_onscreen_name_town:bos_noto:region_specialty	Noto Silver Mine	true
campaign_map_towns_and_ports_onscreen_name_town:bos_higo:region_specialty	Higo Iron Mine	true
campaign_map_towns_and_ports_onscreen_name_town:gem_mino:region_specialty	Minokamo	true
campaign_map_towns_and_ports_onscreen_name_port:gem_osumi:shibushi	Shibushi	true
campaign_map_towns_and_ports_onscreen_name_town:gem_sado:region_specialty	Sado Ginzan	true
campaign_map_towns_and_ports_onscreen_name_port:jap_hizen:nagasaki	Nagasaki	true
campaign_map_towns_and_ports_onscreen_name_town:bos_sado:region_specialty	Sado Gold Mine	true
campaign_map_towns_and_ports_onscreen_name_town:jap_sado:region_specialty	Sado Ginzan	true
campaign_map_towns_and_ports_onscreen_name_port:gem_suruga:shimizu	Shimizu	true
campaign_map_towns_and_ports_onscreen_name_port:jap_tsukushi:hakata	Hakata	true
campaign_map_towns_and_ports_onscreen_name_town:bos_uzen:region_specialty	Uzen Holy Site	true
campaign_map_towns_and_ports_onscreen_name_town:gem_uzen:region_specialty	Dewa Sanzan	true
campaign_map_towns_and_ports_onscreen_name_town:jap_uzen:region_specialty	Dewa Sanzan	true
campaign_map_towns_and_ports_onscreen_name_port:jap_tut_awaji:sumoto	Sumoto	true
campaign_map_towns_and_ports_onscreen_name_town:bos_harima:station	Harima Station	true
campaign_map_towns_and_ports_onscreen_name_port:bos_izu:ito	Ito	true
campaign_map_towns_and_ports_onscreen_name_port:gem_miyagi:shiogama	Shiogama	true
campaign_map_towns_and_ports_onscreen_name_port:jap_tut_tosa:nankoku	Nankoku	true
campaign_map_towns_and_ports_onscreen_name_port:gem_echigo:niigata	Niigata	true
campaign_map_towns_and_ports_onscreen_name_town:bos_kozuke:station	Kozuke Station	true
campaign_map_towns_and_ports_onscreen_name_port:jap_miyagi:shiogama	Shiogama	true
campaign_map_towns_and_ports_onscreen_name_town:bos_echigo:station	Echigo Station	true
campaign_map_towns_and_ports_onscreen_name_port:jap_musashi:edo_port	Edo Port	true
campaign_map_towns_and_ports_onscreen_name_port:jap_kazusa:kisarazu	Kisarazu	true
campaign_map_towns_and_ports_onscreen_name_port:jap_echigo:niigata	Niigata	true
