key	text	tooltip
#Loc;1;text/db/character_skill_node_sets.loc		
character_skill_node_sets_enc_title_bos_geisha_skills	Geisha Skills (FotS)	true
character_skill_node_sets_enc_title_gem_monk_skills	Sou Skills	true
character_skill_node_sets_enc_title_bos_ishinshishi_skills	Ishin-shishi Skills	true
character_skill_node_sets_enc_title_bos_shinsengumi_skills	Shinsengumi Skills	true
character_skill_node_sets_enc_title_gem_spy_skills	Monomi Skills	true
character_skill_node_sets_enc_title_general_skills	General Skills	true
character_skill_node_sets_enc_title_gem_dancer_skills	Shirabyoshi Skills	true
character_skill_node_sets_enc_title_metsuke_skills	Metsuke Skills	true
character_skill_node_sets_enc_title_ikko_monk_skills	Ikko Monk Skills	true
character_skill_node_sets_enc_title_missionary_skills	Missionary Skills	true
character_skill_node_sets_enc_title_geisha_skills	Geisha Skills	true
character_skill_node_sets_enc_title_gem_inspector_skills	Junsatsushi Skills	true
character_skill_node_sets_enc_title_ninja_skills	Ninja Skills	true
character_skill_node_sets_enc_title_bos_veteran_skills	Foreign Veteran Skills	true
character_skill_node_sets_enc_title_monk_skills	Monk Skills	true
character_skill_node_sets_enc_title_gem_general_skills	Gempei General Skills	true
character_skill_node_sets_enc_title_bos_general_skills	General Skills (FotS)	true
character_skill_node_sets_enc_title_ikko_general_skills	Ikko General Skills	true
character_skill_node_sets_enc_title_bos_shinobi_skills	Shinobi Skills	true
