key	text	tooltip
#Loc;1;text/db/character_trait_levels.loc		
character_trait_levels_colour_text_S2_boshin_ishin_shishi_superpatriot_01	Japan must be strong, no matter the cost.	true
character_trait_levels_colour_text_S2_boshin_ishin_shishi_superpatriot_03	The Emperor's whims, in human form.	true
character_trait_levels_colour_text_S2_boshin_ishin_shishi_superpatriot_02	The Imperial Throne: right or wrong.	true
character_trait_levels_colour_text_S2_boshin_wife_moneylover_1	"But that is so beautiful! I must have it!"	true
character_trait_levels_onscreen_name_S2_trait_general_ambition_3	Over-wheening Ambition	true
character_trait_levels_onscreen_name_S2_trait_general_ambition_2	Ambitious	true
character_trait_levels_onscreen_name_S2_trait_general_ambition_1	Self-centred	true
character_trait_levels_colour_text_S2_boshin_wife_ambition_1	"My love, we can do so much better…"	true
character_trait_levels_colour_text_S2_trait_metsuke_corrupt_1	A little wealth can stick to a man's fingers.	true
character_trait_levels_colour_text_S2_trait_metsuke_corrupt_2	A man who swims in secrets and money should put a few of both in his net.	true
character_trait_levels_colour_text_S2_trait_metsuke_corrupt_3	Money is money. A tool to be used, by those who control it.	true
character_trait_levels_colour_text_S2_trait_general_coward_1	This man's ancestors must be disappointed.	true
character_trait_levels_colour_text_S2_trait_general_coward_2	Whispers about this man's bravery follow him everywhere.	true
character_trait_levels_colour_text_S2_trait_general_coward_3	No shrine will be erected for a coward.	true
character_trait_levels_colour_text_S2_boshin_ishin_shishi_chip_02	Traitors are everywhere. Absolutely everywhere.	true
character_trait_levels_colour_text_S2_boshin_ishin_shishi_chip_03	Sometimes loyalty goes unmarked.	true
character_trait_levels_colour_text_S2_boshin_ishin_shishi_chip_01	"I serve the Imperial Throne! Nothing more!"	true
character_trait_levels_colour_text_S2_boshin_shinsengumi_cruel_01	The blade always feels cruel to the neck.	true
character_trait_levels_colour_text_S2_boshin_shinsengumi_cruel_02	As long as the Shogun is served...	true
character_trait_levels_colour_text_S2_boshin_shinsengumi_cruel_03	Anything can be contemplated in the Shogun's name.	true
character_trait_levels_colour_text_S2_boshin_veteran_drunkard_02	A dram steadies the hand and stiffens the sinew.	true
character_trait_levels_colour_text_S2_boshin_veteran_drunkard_03	"Bloody bottle's empty!"	true
character_trait_levels_colour_text_S2_boshin_veteran_drunkard_01	"Aye, there's sake, but champagne's more fun!"	true
character_trait_levels_onscreen_name_S2_boshin_general_seasick_1	Seasick	true
character_trait_levels_onscreen_name_S2_boshin_general_seasick_3	Hatred of Boats	true
character_trait_levels_onscreen_name_S2_boshin_general_seasick_2	Violently Seasick	true
character_trait_levels_colour_text_S2_boshin_general_coward_1	This man's ancestors must be disappointed.	true
character_trait_levels_colour_text_S2_boshin_general_coward_2	Whispers about this man's bravery follow him everywhere.	true
character_trait_levels_colour_text_S2_boshin_general_coward_3	No shrine will be erected for a coward.	true
character_trait_levels_onscreen_name_S2_boshin_ishin_shishi_persuasive_01	Witty	true
character_trait_levels_onscreen_name_S2_boshin_ishin_shishi_persuasive_03	Utterly Plausible	true
character_trait_levels_onscreen_name_S2_boshin_ishin_shishi_persuasive_02	Smooth-tongued	true
character_trait_levels_explanation_text_S2_boshin_all_blokes_maimed_2	 	true
character_trait_levels_colour_text_S2_boshin_veteran_teetotal_01	"Not for me, thank you."	true
character_trait_levels_colour_text_S2_boshin_veteran_teetotal_03	"I have an inspiring book on the subject..."	true
