key	text	tooltip
#Loc;1;text/db/effects.loc		
effects_description_mod_character_xp_ninja	%+n to subterfuge for newly-recruited ninja	true
effects_description_recruitment_cost_mod_category_artillery	%+n%% to the cost of recruiting siege weapons in this province	true
effects_description_gem_mod_unit_recruit_time_bushi	%+n to recruitment time of bushi units	true
effects_description_mod_unit_ability_cooldown	%+n%% to special ability cooldown time for all units under this man's command	true
effects_description_gem_commodity_prod_crafts	%+n chests of luxury goods	true
effects_description_bos_naval_support_time_to_hit_mod	Naval fire support time-to-impact: %+n seconds	true
effects_description_bos_clan_trait_tsu_conversion_mod	Persuasion (%+n%% to allegiance conversion)	true
effects_description_research_points_bonus_all	Improves the rate at which all arts are mastered: +%n%	true
effects_description_general_bodyguard_attack_bonus	%+n melee attack for this general and his bodyguard	true
effects_description_bos_tech_building_farm_cost_mod	%+n%% to the cost of constructing farms across all provinces	true
effects_description_bos_clan_trait_choshu_loot_mod	Marauding (%+n%% to income from looting)	true
effects_description_shogun_null_effect_great_guard	Enables recruitment of the Great Guard	true
effects_description_commodity_prod_bos_coal	%+n tonnes of coal	true
effects_description_mod_unit_upkeep_all_local	%+n%% to the upkeep cost of all units under this man's command	true
effects_description_mod_unit_recruit_cost_imported_matchlock	%+n%% to the cost of imported matchlock ashigaru	true
effects_description_repression_events_local	%+n to repression in this province	true
effects_description_tw_growth_roads	%+n per turn to town growth from infrastructure within this province	true
effects_description_bos_building_construction_time_mod_all	%+n%% to construction times in this province	true
effects_description_agent_XP_mod_missionary	%+n rank(s) for missionaries recruited in this province	true
effects_description_naval_attrition	%+n%% to attrition at sea	true
effects_description_bos_agent_action_cost_mod	%+n%% to the cost of this agent's actions	true
effects_description_happy_religion_catholic	%+n happiness for the Christian population	true
effects_description_general_bodyguard_morale_bonus	%+n morale for this general and his bodyguard	true
effects_description_mod_unit_accuracy_bow_samurai_infantry	%+n accuracy for bow samurai under this man's command	true
effects_description_gem_conversion_clan_male	Spreads influence in provinces where this man is present (%+n influence)	true
effects_description_bos_building_legendary	Legendary building (unique)	true
effects_description_bos_clan_trait_jozai_battle_movement_mod	Conditioning (%+n%% to the movement speed of all units)	true
effects_description_bos_tech_regional_happiness_mod	%+n to clan-wide happiness	true
effects_description_bos_agent_attribute_veteran_single_combat	%+n to resolve when engaging in single combat	true
effects_description_bos_event_building_cost_mod_civil	%+n%% to the cost of constructing civil buildings	true
effects_description_mod_unit_armour_all_local	%+n armour for all units recruited in this province	true
effects_description_null_effect_christian_building	Enables construction of Christian buildings and the Nanban Quarter	true
effects_description_research_points_bonus_military	Improves the rate at which bushido arts are mastered: +%n%	true
effects_description_tech_agent_action_cost_mod_monk	%+n%% cost for monk actions	true
effects_description_gem_agent_dancer_happiness_bonus	%+n happiness in provinces where this lady is present	true
effects_description_mod_unit_recruit_time_imported_matchlock	%+n to imported matchlock ashigaru recruitment times	true
effects_description_agent_attribute_cunning_bribery	%+n to cunning when bribing	true
effects_description_bos_clan_trait_tsu_defence_mod	Fortitude (%+n to unit melee defence)	true
effects_description_clan_trait_tokugawa_superior_battlefield_ninja	Can recruit superior kisho ninja	true
effects_description_bos_modernisation	%+n to modernisation (clan development)	true
effects_description_gem_clan_trait_fujiwara_kubota_levy_cost_increase	Bureaucratic (%+n%% to recruitment cost for levy and attendant units)	true
effects_description_bos_geisha_mod_action_cost_global	%+n%% to the cost of geisha actions clan-wide	true
effects_description_region_turns_to_surrender	%+n to the minimum number of turns a castle town can hold out when besieged	true
effects_description_gem_tech_agent_inspector_success	%+n%% to the success chance of junsatsushi actions	true
effects_description_mod_infantry_movement_campaign	%+n%% movement range for infantry on campaign map	true
effects_description_mod_unit_melee_attack_naginata_samurai	%+n melee attack for naginata samurai	true
effects_description_regional_happiness_mod	%+n to provincial happiness	true
effects_description_bos_tech_unit_cavalry_cost_mod	%+n%% to the cost of cavalry units	true
effects_description_bos_tech_agent_shinsengumi_success_mod	%+n%% to the chances of successful shinsengumi actions	true
effects_description_tw_growth_taxes_modifier	%+n%% to town growth due to taxation	true
effects_description_bos_unit_modern_cost_mod_local	%+n%% to the cost of modern units in this province	true
effects_description_bos_ancillary_reload_mod_rifles	%+n%% to the reloading skill of rifle-armed troops in the army in which this man is embedded.	true
effects_description_gdp_mod_population_local	%+n%% wealth generated in this province	true
effects_description_bos_agent_maximum_cap_shinsengumi	%+n to the maximum number of shinsengumi that may be fielded	true
effects_description_bos_enable_night_battles	Enables night battles.	true
effects_description_food_provision	Provides food: %n	true
effects_description_tw_growth_visible_tax_effect_low	Slightly reduces town growth across all provinces	true
effects_description_mod_unit_morale_global	%+n morale for all units	true
effects_description_clan_trait_uesugi_superior_warrior_monks	Can recruit superior warrior monks	true
effects_description_mod_unit_charge_all_local	%+n charge bonus for all units recruited in this province	true
effects_description_hide_enable_snipe	Allows the unit to snipe, remaining hidden while firing	true
effects_description_bos_agent_attribute_geisha_distract_army	%+n to charm when distracting armies	true
effects_description_bos_ancillary_charge_bonus_mod_cavalry	%+n to the charge bonus of all cavalry under this man’s command	true
effects_description_recruitment_points_bonus	%+n recruitment slots across all provinces	true
