key	text	tooltip
#Loc;1;text/db/encyclopedia_blocks.loc		
encyclopedia_blocks_content_enc_text_manual_battle_conflict_controls_compass	The manoeuvre compass is used for fine-tuning orders on the battlefield. The three arrows within its top half can be used to direct a unit or group straight ahead, or turn left or right. The button in the centre of the lower half causes the selected unit to step backwards. Holding down this button will make them turn and walk backwards. Clicking and holding down the rank and file buttons on either side change the depth of a unit's formation by increasing or decreasing the number of rows the troops stand in.	true
encyclopedia_blocks_content_enc_text_manual_actions_campaign_construction_demolish	Buildings can be demolished if you want to construct something else in their place (or leave nothing of value to an invader if you are about to lose a [[url="encyclopedia/how_to_play/002b_enc_glossary.html#enc_glossary_province"]]province[[/url]] to them) by use of the demolish button that appears in the bottom left-hand corner of the screen when a castle town or settlement (in Fall of the Samurai) is selected. Castles, [[url="encyclopedia/how_to_play/018e_enc_manual_actions_campaign_construction.html#enc_text_manual_actions_campaign_construction_infrastructure_ports"]]ports[[/url]], [[url="encyclopedia/how_to_play/018e_enc_manual_actions_campaign_construction.html#enc_text_manual_actions_campaign_construction_infrastructure"]]roads[[/url]] and [[url="encyclopedia/how_to_play/018e_enc_manual_actions_campaign_construction.html#enc_text_manual_actions_campaign_construction_speciality"]]province speciality buildings[[/url]] cannot be demolished at their base levels.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_formations_naval_snake	Extended Snake	true
encyclopedia_blocks_content_enc_text_manual_hud_diplomacy_options_war_declare	The declare war option is used to officially open armed hostilities with another [[url="encyclopedia/how_to_play/002b_enc_glossary.html#enc_glossary_clan"]]clan[[/url]], as opposed to simply marching into their territory to stake your claim. Never declare war without first considering the consequences, as an ill-prepared assault could have consequences resulting in your reduction to [[url="encyclopedia/how_to_play/015e_enc_manual_hud_diplomacy_options_vassals.html"]]vassal[[/url]] status or worse, the annihilation of your clan. Note that when making your declaration the check box asking [[url="encyclopedia/how_to_play/015c_enc_manual_hud_diplomacy_options_alliance.html"]]allies[[/url]] to join you is defaulted to yes. Your allies will assess the situation and may agree to declare war, but might just as easily break off your alliance, leaving you to fend for yourself.	true
encyclopedia_blocks_heading_enc_glossary_fugu	Fugu	true
encyclopedia_blocks_heading_enc_text_manual_multiplayer_avatar_screen	The Avatar Screen	true
encyclopedia_blocks_content_enc_glossary_biwa	A Japanese instrument similar to a lute.	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_12	<TABLE><TR><TH>No. of Dojos owned    </TH><TH>Unit/Ship/Retainer Name</TH><TR><TD> </TD><TD> </TD><TR><TD>1</TD><TD>Ironclad – L’Ocean class</TD><TR><TD>2</TD><TD>[[url="encyclopedia/units/boshin_ironclad_uss_roanoke_mp.html"]]Ironclad – Roanoke class[[/url]]</TD><TR><TD>3</TD><TD>[[url="encyclopedia/units/boshin_ironclad_hms_warrior_mp.html"]]Ironclad – Warrior class[[/url]]</TD></TABLE>	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_13	 	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_10	<TABLE><TR><TH>No. of Dojos owned    </TH><TH>Unit/Ship/Retainer Name</TH><TR><TD> </TD><TD> </TD><TR><TD>1</TD><TD>[[url="encyclopedia/units/boshin_inf_elite_infanterie_de_marine_mp.html"]]Infanterie de Marine[[/url]]</TD><TR><TD>2</TD><TD>[[url="encyclopedia/units/boshin_inf_elite_united_states_marines_mp.html"]]United States Marines[[/url]]</TD><TR><TD>3</TD><TD>[[url="encyclopedia/units/boshin_inf_elite_royal_marines_mp.html"]]Royal Marines[[/url]]</TD></TABLE>	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_11	 	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_16	<TABLE><TR><TH>No. of Dojos owned    </TH><TH>Unit/Ship/Retainer Name</TH><TR><TD> </TD><TD> </TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_inf_spear_levy_mp.html"]]Spear Levy[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_inf_missile_bow_kachi_mp.html"]]Bow Kachi[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_inf_sword_katana_kachi_mp.html"]]Katana Kachi[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_inf_spear_yari_kachi_mp.html"]]Yari Kachi[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_inf_missile_matchlock_kachi_mp.html"]]Matchlock Kachi[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_cav_spear_yari_ki_mp.html"]]Yari Ki[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_corvette_kaiten_mp.html"]]Wooden Corvette - Kaiten class[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_corvette_kanko_maru_mp.html"]]Wooden Corvette – Kanko Maru class[[/url]]</TD><TR><TD>N/A</TD><TD>[[url="encyclopedia/units/boshin_gun_boat_chiyodagata_mp.html"]]Gun boat - Chiyodagata class[[/url]]</TD></TABLE>	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_14	<TABLE><TR><TH>No. of Dojos owned</TH><TH>Unit/Ship/Retainer Name</TH><TR><TD> </TD><TD> </TD><TR><TD>1</TD><TD>[[url="encyclopedia/units/boshin_inf_line_white_tiger_force_mp.html"]]White Tiger Force[[/url]]</TD><TR><TD>2</TD><TD>[[url="encyclopedia/units/boshin_inf_line_black_tortoise_force_mp.html"]]Black Tortoise Force[[/url]]</TD><TR><TD>3</TD><TD>[[url="encyclopedia/units/boshin_inf_line_azure_dragon_force_mp.html"]]Azure Dragon Force[[/url]]</TD><TR><TD>4</TD><TD>[[url="encyclopedia/units/boshin_inf_line_vermilion_bird_force_mp.html"]]Vermilion Bird Force[[/url]]</TD><TR><TD>5</TD><TD>[[url="encyclopedia/units/boshin_inf_line_shogunate_infantry_mp.html"]]Shogunate Infantry[[/url]]</TD><TR><TD>6</TD><TD>[[url="encyclopedia/units/boshin_inf_light_sharpshooters_mp.html"]]Sharpshooters[[/url]]</TD><TR><TD>7</TD><TD>[[url="encyclopedia/units/boshin_cav_missile_revolver_cavalry_mp.html"]]Revolver Cavalry[[/url]]</TD><TR><TD>8</TD><TD>[[url="encyclopedia/units/boshin_inf_light_yugekitai_mp.html"]]Yugekitai[[/url]]</TD><TR><TD>9</TD><TD>[[url="encyclopedia/units/boshin_inf_elite_shogunate_guard_infantry_mp.html"]]Shogunate Guard Infantry[[/url]]</TD><TR><TD>10</TD><TD>[[url="encyclopedia/units/boshin_cav_spear_shogunate_guard_cavalry_mp.html"]]Shogunate Guard Cavalry[[/url]]</TD></TABLE>	true
encyclopedia_blocks_content_enc_text_manual_multiplayer_rosters_boshin_15	 	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_abilities_banzai	Banzai! (Land)	true
encyclopedia_blocks_content_enc_text_manual_hud_management_adoptions	All male family members automatically become generals as soon as they come of age. In addition, new generals will be periodically offered for adoption into your clan as individuals distinguish themselves in battle or volunteer to lead your armies.	true
encyclopedia_blocks_heading_enc_text_manual_battle_conflict_crossings_attack	Attacking a River Crossing	true
encyclopedia_blocks_content_enc_text_manual_fleet_access_on	Board a fleet at a coast by left-clicking to select your army or agent and right-clicking to move onto it. Note that it is not possible for a boarded fleet to leave port until the beginning of the following turn.	true
encyclopedia_blocks_content_enc_text_manual_agents_religious	Shogun 2 deals with the important religions in Japan during the [[url="encyclopedia/how_to_play/002b_enc_glossary.html#enc_glossary_sengoku_jidai"]]Sengoku Jidai[[/url]]: [[url="encyclopedia/how_to_play/002b_enc_glossary.html#enc_glossary_shinto"]]Shinto[[/url]]-Buddhism, Christianity and radical Jodo Shinshu Buddhism - as practiced by the Ikko Ikki extremists. Japan has long felt the influence of Buddhism from the mainland; but now, with the arrival of European traders, the "new" religion of Christianity is slowly gaining a foothold, clan by clan, as ships arrive bringing goods from the west. Whereas [[url="encyclopedia/how_to_play/002b_enc_glossary.html#enc_glossary_buddhism"]]Buddhist[[/url]] clans use [[url="encyclopedia/how_to_play/045_enc_manual_agents_religious.html#enc_text_manual_agents_religious_monks"]]monks[[/url]] to propagate enlightened thought, those clans that have converted to Christianity field [[url="encyclopedia/how_to_play/045_enc_manual_agents_religious.html#enc_text_manual_agents_religious_missionaries"]]missionaries[[/url]] instead to spread the word of God throughout the country. Both agents are able to convert both populations and individual characters to their religions. An agent’s rank – represented by the stars at the top of his [[url="encyclopedia/how_to_play/045b_enc_manual_ui_character.html"]]character details panel[[/url]] - in combination with other bonuses inferred by skills, retainers or traits, enhance his ability to carry out the various [[url="encyclopedia/how_to_play/045a_enc_manual_agent_actions_religious.html"]]actions[[/url]] he is capable of and withstand the hostile actions of enemy agents. When there are monks or missionaries embedded inside castle towns the effects provided by their presence gradually diminish - so a second agent provides a further 50% of the effects of the first, and a third provides a further 25%. The maximum number of agents that can be embedded is three.	true
encyclopedia_blocks_heading_enc_text_manual_agents_subterfuge_boshin_shinobi	Shinobi	true
