key	text	tooltip
#Loc;1;text/db/encyclopedia_pages.loc		
encyclopedia_pages_title_060_enc_manual_battle_conflict_abilities	Abilities	true
encyclopedia_pages_title_050b_enc_manual_battle_conflict_formations_naval	Naval Battle Group Formations	true
encyclopedia_pages_title_005_enc_tut_help	Gameplay Tutorials	true
encyclopedia_pages_title_044a_enc_manual_agent_actions_subterfuge	Subterfuge Actions	true
encyclopedia_pages_title_bosh_enc_mp_promote_avatars	Promoting Avatars	true
encyclopedia_pages_title_053_enc_manual_battle_conflict_fatigue	Fatigue	true
encyclopedia_pages_title_060f_enc_manual_battle_conflict_abilities_burn	Burning Buildings	true
encyclopedia_pages_title_054_enc_manual_battle_conflict_buildings	Key Buildings	true
encyclopedia_pages_title_061f_enc_manual_multiplayer_province_exploration	Exploration of Provinces	true
encyclopedia_pages_title_bosh_enc_abilities_suppression_fire	Suppression Fire	true
encyclopedia_pages_title_bosh_enc_allegiance	Allegiance	true
encyclopedia_pages_title_049_enc_manual_battle_conflict_controls	The Battle Interface	true
encyclopedia_pages_title_056_enc_manual_battle_conflict_forests	Woods & Forests	true
encyclopedia_pages_title_bosh_enc_abilities_ganbatte	Ganbatte	true
encyclopedia_pages_title_015h_enc_manual_hud_diplomacy_options_marriage	Marriage	true
encyclopedia_pages_title_060m_enc_manual_battle_conflict_abilities_inspire_land	Inspire (Land)	true
encyclopedia_pages_title_015g_enc_manual_hud_diplomacy_options_hostages	Hostages	true
encyclopedia_pages_title_009_enc_manual_hud_lists	Lists	true
encyclopedia_pages_title_015i_enc_manual_hud_diplomacy_options_threaten	Counter-offers & Threats	true
encyclopedia_pages_title_bosh_enc_broadsides	Broadsides	true
encyclopedia_pages_title_058_enc_manual_battle_naval_topography	Seascape Topography	true
encyclopedia_pages_title_047_enc_manual_battle_conflict	The Conflict Phase	true
encyclopedia_pages_title_027_enc_manual_army_moves	Generals & Armies	true
encyclopedia_pages_title_060o_enc_manual_battle_conflict_abilities_kisho	Kisho Training	true
encyclopedia_pages_title_001_enc_enc_help	Using the Encyclopaedia	true
encyclopedia_pages_title_custom_battle_script	Battle List	true
encyclopedia_pages_title_060s_enc_manual_battle_conflict_abilities_rally	Regroup Position	true
encyclopedia_pages_title_061h_enc_manual_multiplayer_recruitment_veterans	Veterans	true
encyclopedia_pages_title_018k_enc_manual_religion	Religion	true
encyclopedia_pages_title_060z_enc_manual_battle_conflict_abilities_stand	Stand & Fight	true
encyclopedia_pages_title_015c_enc_manual_hud_diplomacy_options_alliance	Military Alliance	true
encyclopedia_pages_title_045_enc_manual_agents_religious	Religious Agents	true
encyclopedia_pages_title_060w_enc_manual_battle_conflict_abilities_wind	Second Wind	true
encyclopedia_pages_title_055_enc_manual_battle_conflict_crossings	River Crossings	true
encyclopedia_pages_title_solo_setup	Match-made Battles	true
encyclopedia_pages_title_enc_building_index	Building Index	true
encyclopedia_pages_title_enc_tutorial_index	Tutorial Index	true
encyclopedia_pages_title_060a_enc_manual_battle_conflict_abilities_assassination	Stealth	true
encyclopedia_pages_title_bosh_enc_abilities_kill_zone	Kill Zone	true
