key	text	tooltip
#Loc;1;text/db/encyclopedia_tutorial_video_section_titles.loc		
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_19	Ship Formations	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_18	Repairs	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_15	Armour-piercing Shells	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_14	Explosive Shells	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_17	Ship Damage	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_16	Crew Morale	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_11	Preparing Broadsides	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_10	Broadsides	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_13	Shell Types	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_12	Firing Broadsides	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_21	Construction	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_20	Province Development	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_23	Military Buildings	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_22	Garrison Units	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_09	Fire-at-Will	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_08	Engagement	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_24	The Path to Victory	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_05	Starting Battles	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_04	Ship Orientation	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_07	Ship Movement	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_01	Introduction	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_03	Deployment	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_battle_naval_02	Camera Controls	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_11	Unit Experience	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_10	Battle Options	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_13	Sieges	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_12	Attacking Provinces	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_15	Province Details	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_14	Capturing Provinces	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_17	Taxation	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_16	Public Order	true
encyclopedia_tutorial_video_section_titles_title_s2_bosh_tut_camp_essentials_19	Rebellions	true
