key	text	tooltip
#Loc;1;text/db/encyclopedia_tutorial_video_subtitle_texts.loc		
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_02a	Our armies are crucial to our success – we'll use them<br />to defend our lands, defeat our enemies and capture provinces.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_12a	The enemy have a city nearby that looks relatively undefended, if we can seize it,<br />we'll gain a valuable province. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_22a	Finances improved, we now need to build up our forces.<br />We have armed citizenry in the city, but they'll 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_02c	so we need to keep them busy to justify their upkeep.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_02b	An army is made up of individual units of troops<br />that we recruit. They cost money to build and maintain,	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_22b	only provide limited protection and can't be used to help us conquer new lands.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_03a	Let's add some more units to our army.<br />We can recruit and reinforce armies from any of our cities. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_13a	Right-clicking on the enemy city presents us with some<br />pre-battle options. A siege offers a new choice: 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_23a	Improving military buildings will enable us to recruit more advanced<br />units. We need to remember that, as our armies are reinforced,	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_03c	Left-clicking a unit type, adds it to our recruitment queue.<br />It may take a number of turns before the unit becomes available.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_13c	But we’ll choose to put our enemy out of their misery here;<br />let’s auto-resolve.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_03b	The buildings present in a city decide the type and<br />quality of units available and can include cavalry, artillery and infantry.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_13b	we can look to starve out the population, maintaining the siege<br />for a number of turns until we gain a peaceful surrender. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_23b	they become more expensive to maintain. We need to balance<br />economic growth with military expansion, whilst also keeping public order in check.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_10a	We’ve got several options here. We can choose to command our<br />forces on the 3D battlemap, withdraw our army and regroup, 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_20a	There's more we can do more to improve public order.<br />We can construct buildings that offer services to keep	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_10b	or fight out this encounter using the auto-resolve function.<br />We’ll choose the latter.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_20b	the population appeased. We also need to consider developing our<br />city to bolster our coffers and advance our armies.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_01a	The objective in the campaign is to banish our enemies<br />from the map by defeating their forces and capturing their lands.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_11a	The enemy are crushed and here we’re presented with the<br />full glory of our victory. This panel shows our	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_21a	Building an Inn will help earn us more income and<br />boost growth in the province. Selecting the Inn 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_01c	turn-based, with each turn the equivalent of two weeks in<br />the game. When we’ve made all our moves, we click	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_11c	be more effective in the field. Experienced units should be nurtured.<br />They will become precious as our campaign develops. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_21c	before the building is available.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_01b	To achieve this, we'll need to manage our provinces wisely,<br />build our economy and recruit powerful armies.  The campaign is	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_11b	casualties and the enemy's losses. Notice that, having survived<br />the battle, our units have gained experience; they will now 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_21b	from the building panel, let's issue the construction order. Like<br />recruitment, we may have to wait a number of turns 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_01d	the End Turn button to progress.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_06a	An enemy army has formed nearby. We must protect our<br />provinces from any threat; if all our regions should fall,	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_16a	When we capture a province, particularly if we choose to loot it's wealth,<br />we will often need to calm the dissent created by our arrival	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_06b	our campaign comes to an end. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_16b	before we can reap the rewards.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_07a	Let’s push them back with the General’s army.<br />Notice that when we mouse over, a circular border is drawn	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_17a	Money talks. If we choose to exempt this province from taxation,<br />its people will soon forgive their new masters and public order	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_07c	That’s useful to remember when selecting strategic locations on the map.	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_07b	out on the map; this is the army’s “zone of control”.<br />Enemies are unable to enter this zone without first attacking our army. 	true
encyclopedia_tutorial_video_subtitle_texts_text_s2_bosh_tut_camp_essentials_sub_17b	will be restored – at least for now.	true
