key	text	tooltip
#Loc;1;text/db/encyclopedia_tutorial_videos.loc		
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_controls	Camera Controls	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_economy	Province Development	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_recruit	Military Buildings	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_economy	Trade	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_units_abilities	Engagement	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_repairs	Ship Damage	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_movement	Battle Begins	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_siege_assault	Assault	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_avatar_xp	Ranking up	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_agents	Agents	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_matchmade	Match-made Battles	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_controls	Starting Battles	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_army	Armies	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_introduction	Introduction	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_shells	Shell Types	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_veterans	Unlocking Units	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_diplomacy	Diplomacy	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_conquest	Avatar Conquest Map	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_siege	Attacking Provinces	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_navies	Campaign Navies	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_groups	Ship Formations	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_family	Clan Management	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_clans	The Clan Competition	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_projectiles	Ranged Attacks	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_introduction	Introduction	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_army	Army Management	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_introduction	Introduction	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_deployment	Camera Controls	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_naval_broadsides	Broadsides	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_conflict	Campaign Battles	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_siege_units	Preparation	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_siege_introduction	Introduction	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_avatar	The Avatar	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_development	Modernisation	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_essentials_occupation	Public Order	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_multiplayer_battles	Finding a Battle	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_introduction	Introduction	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_land_groups	Groups & Formations	true
encyclopedia_tutorial_videos_title_s2_bosh_tut_camp_advanced_introduction	Introduction	true
