key	text	tooltip
#Loc;1;text/db/event_log_descriptions.loc		
event_log_descriptions_event_title_bos_allegiance_player_emperor_to_shogunjap_boshin	For the Shogun!	true
event_log_descriptions_event_title_bos_allegiance_player_emperor_to_shogun	For the Shogun!	true
event_log_descriptions_event_title_char_dies_assassin	Assassinated!	true
event_log_descriptions_event_content_diplo_marriage_retainer_theirsjap_boshin	%S %S    -     Married to a retainer from this clan: %S	true
event_log_descriptions_event_content_char_succession	%S %S     -      Succeeding: %S %S	true
event_log_descriptions_event_title_bos_realm_divide_emperorjap_boshin	The Imperial Army	true
event_log_descriptions_event_content_battle_foughtjap_boshin	Versus: %S     Outcome: %S	true
event_log_descriptions_event_content_bos_railway_NPC_first	Established by clan: %S     -     Between: %S     -     %S	true
event_log_descriptions_event_title_diplo_hostage_theirs_releasedjap_boshin	Hostage Released	true
event_log_descriptions_event_title_campaign_lostjap_boshin	Campaign Lost!	true
event_log_descriptions_event_title_diplo_hostage_theirs_executedjap_boshin	Rival Hostage Executed	true
event_log_descriptions_event_title_bos_character_NPC_killedjap_boshin	Rival Killed!	true
event_log_descriptions_event_title_diplo_marriage_retainer_theirsjap_boshin	Diplomatic Marriage	true
event_log_descriptions_event_content_clan_fame_imperial_recognition	Word of your achievements has reached the imperial court.	true
event_log_descriptions_event_title_char_dies_battlejap_boshin	Struck Down in Battle!	true
event_log_descriptions_event_content_clan_destroyed	Clan: %S	true
event_log_descriptions_event_content_clan_emergesjap_boshin	Clan: %S     -     Province: %S	true
event_log_descriptions_event_title_bos_bombardment_player_VS_enemyjap_boshin	Bombarding the Enemy	true
event_log_descriptions_event_title_rel_christianity_renounced	Christianity Renounced	true
event_log_descriptions_event_title_diplo_clan_encounteredjap_boshin	Clan Encountered!	true
event_log_descriptions_event_title_bos_realm_divide_shogunjap_boshin	The Shogunate Army	true
event_log_descriptions_event_content_diplo_hostage_theirs_releasedjap_boshin	%S %S    -     Clan: %S	true
event_log_descriptions_event_title_bos_character_NPC_killed	Rival Killed!	true
event_log_descriptions_event_title_diplo_hostage_yours_given	Hostage Given	true
