key	text	tooltip
#Loc;1;text/db/experience_triggers.loc		
experience_triggers_localised_description_C_2nd_General_Victory_Experience_2_Trigger	n	true
experience_triggers_localised_description_C_Ninja_Sabotage_Experience_Trigger	n	true
experience_triggers_localised_description_C_Ninja_Army_Sabotage_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Defeat_Experience_2_Trigger	n	true
experience_triggers_localised_description_C_General_Bombardment_Experience_Trigger	n	true
experience_triggers_localised_description_C_General_Victory_Experience_AI_2_Trigger	n	true
experience_triggers_localised_description_C_Agent_Assassination_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Convert_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_General_Defeat_Experience_AI_2_Trigger	n	true
experience_triggers_localised_description_C_General_Bombardment_Experience_AI_Trigger	n	true
experience_triggers_localised_description_C_Agent_Friendly_Action_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Incite_Revolt_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Defeat_Experience_AI_Trigger	n	true
experience_triggers_localised_description_C_Agent_Convert_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Defeat_Experience_AI_2_Trigger	n	true
experience_triggers_localised_description_C_Agent_Incite_Revolt_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_General_Defeat_Experience_Trigger	n	true
experience_triggers_localised_description_C_Ninja_Sabotage_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_Ninja_Army_Sabotage_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Victory_Experience_AI_Trigger	n	true
experience_triggers_localised_description_C_Agent_Assassination_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Seduction_Experience_Trigger	n	true
experience_triggers_localised_description_C_Metsuke_Hunt_Down_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_General_Defeat_Experience_AI_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Victory_Experience_Trigger	n	true
experience_triggers_localised_description_C_Metsuke_Army_Bribe_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Demoralise_Experience_Trigger	n	true
experience_triggers_localised_description_C_Geisha_Distract_Garrison_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Demoralise_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_Metsuke_Army_Bribe_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Victory_Experience_AI_2_Trigger	n	true
experience_triggers_localised_description_C_General_Victory_Experience_AI_Trigger	n	true
experience_triggers_localised_description_C_General_Victory_Experience_2_Trigger	n	true
experience_triggers_localised_description_C_General_Defeat_Experience_2_Trigger	n	true
experience_triggers_localised_description_C_Geisha_Distract_Garrison_Experience_Trigger	n	true
experience_triggers_localised_description_C_2nd_General_Defeat_Experience_Trigger	n	true
experience_triggers_localised_description_C_Metsuke_Hunt_Down_Experience_Trigger	n	true
experience_triggers_localised_description_C_Agent_Seduction_Failure_Experience_Trigger	n	true
experience_triggers_localised_description_C_General_Victory_Experience_Trigger	n	true
