key	text	tooltip
#Loc;1;text/db/famous_battle_pools.loc		
famous_battle_pools_battle_name_1009	Battle of Fombio	true
famous_battle_pools_battle_name_3009	Battle of Leipzig	true
famous_battle_pools_battle_name_3019	Battle of Aspern-Essling	true
famous_battle_pools_battle_name_4009	Battle of Orthez	true
famous_battle_pools_battle_name_1008	Battle of Castiglione	true
famous_battle_pools_battle_name_2008	Battle of Alexandria	true
famous_battle_pools_battle_name_3008	Battle of Lützen	true
famous_battle_pools_battle_name_3018	Battle of Berezina	true
famous_battle_pools_battle_name_4008	Battle of Alcañiz	true
famous_battle_pools_battle_name_1005	Battle of Rovereto	true
famous_battle_pools_battle_name_2005	Battle of the Pyramids	true
famous_battle_pools_battle_name_3005	Battle of Austerlitz	true
famous_battle_pools_battle_name_3015	Battle of Eylau	true
famous_battle_pools_battle_name_4005	Battle of Fuentes de Oñoro	true
famous_battle_pools_battle_name_1004	Battle of Arcole	true
famous_battle_pools_battle_name_2004	Battle of Acre	true
famous_battle_pools_battle_name_3004	Battle of Ligny	true
famous_battle_pools_battle_name_3014	Battle of Salamanca	true
famous_battle_pools_battle_name_4004	Battle of Salamanca	true
famous_battle_pools_battle_name_1007	Battle of Lodi	true
famous_battle_pools_battle_name_2007	Battle of El Arish	true
famous_battle_pools_battle_name_3007	Battle of Dresden	true
famous_battle_pools_battle_name_3017	Battle of Landshut	true
famous_battle_pools_battle_name_4007	Battle of Burgos	true
famous_battle_pools_battle_name_1006	Battle of Bassano	true
famous_battle_pools_battle_name_2006	Battle of Heliopolis	true
famous_battle_pools_battle_name_3006	Battle of Wagram	true
famous_battle_pools_battle_name_3016	Battle of Eckmühl	true
famous_battle_pools_battle_name_4006	Battle of Vitoria	true
famous_battle_pools_battle_name_2	Battle of Sussex	true
famous_battle_pools_battle_name_1001	Battle of Mondovi	true
famous_battle_pools_battle_name_2001	Battle of Mount Tabor	true
famous_battle_pools_battle_name_3001	Battle of Waterloo	true
famous_battle_pools_battle_name_3011	Battle of Jena	true
famous_battle_pools_battle_name_3021	Battle of Vauchamps	true
famous_battle_pools_battle_name_4001	Battle of Alba de Tormes	true
famous_battle_pools_battle_name_3	Spanish Battle	true
famous_battle_pools_battle_name_1010	Battle of the Tagliamento	true
famous_battle_pools_battle_name_3010	Battle of Smolensk	true
famous_battle_pools_battle_name_3020	Battle of Abensberg	true
famous_battle_pools_battle_name_1003	Battle of Rivoli	true
famous_battle_pools_battle_name_2003	Battle of Jaffa	true
famous_battle_pools_battle_name_3003	Battle of Friedland	true
famous_battle_pools_battle_name_3013	Battle of Novi	true
famous_battle_pools_battle_name_4003	Battle of Badajoz	true
famous_battle_pools_battle_name_1	Battle Of Edinburgh	true
famous_battle_pools_battle_name_1002	Battle of Montenotte	true
famous_battle_pools_battle_name_2002	Battle of Abukir	true
famous_battle_pools_battle_name_3002	Battle of Borodino	true
famous_battle_pools_battle_name_3012	Battle of Marengo	true
famous_battle_pools_battle_name_3022	Battle of Ulm	true
famous_battle_pools_battle_name_4002	Battle of Talavera	true
