key	text	tooltip
#Loc;1;text/db/historical_characters.loc		
historical_characters_on_screen_name_jap_chosokabe_moritaka	Chosokabe Moritaka	true
historical_characters_on_screen_name_jap_mogami_yoshitoshi	Mogami Yoshitoshi	true
historical_characters_on_screen_name_jap_otomo_shioichimaru	Otomo Shioichimaru	true
historical_characters_on_screen_name_jap_murakami_kunikiyo	Murakami Kunikiyo	true
historical_characters_on_screen_name_jap_hojo_ujihide	Hojo Ujihide	true
historical_characters_on_screen_name_jap_hojo_ujisada	Hojo Ujisada	true
historical_characters_on_screen_name_jap_chosokabe_kuniyasu	Chosokabe Kuniyasu	true
historical_characters_on_screen_name_jap_ogigayatsu_norimori	Ogigayatsu Norimori	true
historical_characters_on_screen_name_jap_kitabatake_tomofuji	Kitabatake Tomofuji	true
historical_characters_on_screen_name_jap_oda_nobutada	Oda Nobutada	true
historical_characters_on_screen_name_jap_ogigayatsu_tomooki	Ogigayatsu Tomooki	true
historical_characters_on_screen_name_jap_chosokabe_morinobu	Chosokabe Morinobu	true
historical_characters_on_screen_name_jap_oda_nobutaka	Oda Nobutaka	true
historical_characters_on_screen_name_jap_hatakeyama_masayori	Hatakeyama Masayori	true
historical_characters_on_screen_name_jap_kaisen_joki	Kaisen Joki	true
historical_characters_on_screen_name_jap_satomi_shigeyoshi	Satomi Shigeyoshi	true
historical_characters_on_screen_name_jap_satomi_yoshimichi	Satomi Yoshimichi	true
historical_characters_on_screen_name_jap_oda_nobuoki	Oda Nobuoki	true
historical_characters_on_screen_name_jap_oda_nobukane	Oda Nobukane	true
historical_characters_on_screen_name_jap_oda_nobuzumi	Oda Nobuzumi	true
historical_characters_on_screen_name_jap_asai_naotane	Asai Naotane	true
historical_characters_on_screen_name_jap_ogigayatsu_tomosada	Ogigayatsu Tomosada	true
historical_characters_on_screen_name_jap_tokugawa_hidetada	Tokugawa Hidetada	true
historical_characters_on_screen_name_jap_ito_suketaka	Ito Suketaka	true
historical_characters_on_screen_name_jap_hatakeyama_takamasa	Hatakeyama Takamasa	true
historical_characters_on_screen_name_jap_oda_nobufusa	Oda Nobufusa	true
historical_characters_on_screen_name_jap_oda_nobumasu	Oda Nobumasu	true
historical_characters_on_screen_name_jap_oda_nobunari	Oda Nobunari	true
historical_characters_on_screen_name_jap_oda_nobuhiro	Oda Nobuhiro	true
historical_characters_on_screen_name_jap_oda_nobuharu	Oda Nobuharu	true
historical_characters_on_screen_name_jap_oda_nobmoto	Oda Nobmoto	true
historical_characters_on_screen_name_jap_hojo_ujimori	Hojo Ujimori	true
historical_characters_on_screen_name_jap_hojo_ujinori	Hojo Ujinori	true
historical_characters_on_screen_name_jap_hojo_ujifusa	Hojo Ujifusa	true
historical_characters_on_screen_name_jap_kennyo_kosa	Kennyo Kosa	true
historical_characters_on_screen_name_jap_hatakeyama_masakuni	Hatakeyama Masakuni	true
historical_characters_on_screen_name_jap_oda_nagamasu	Oda Nagamasu	true
historical_characters_on_screen_name_jap_hojo_ujinao	Hojo Ujinao	true
historical_characters_on_screen_name_jap_oda_tadamasa	Oda Tadamasa	true
historical_characters_on_screen_name_jap_mori_motoaki	Mori Motoaki	true
historical_characters_on_screen_name_jap_oda_nobumoto	Oda Nobumoto	true
historical_characters_on_screen_name_jap_oda_hidenari	Oda Hidenari	true
historical_characters_on_screen_name_jap_miyoshi_yoshitsugu	Miyoshi Yoshitsugu	true
historical_characters_on_screen_name_jap_chosokabe_moriyasu	Chosokabe Moriyasu	true
historical_characters_on_screen_name_jap_asai_akimasa	Asai Akimasa	true
historical_characters_on_screen_name_jap_kitabatake_kanematu	Kitabatake Kanematu	true
historical_characters_on_screen_name_jap_oda_nobukiyo	Oda Nobukiyo	true
historical_characters_on_screen_name_jap_murakami_yoshiakira	Murakami Yoshiakira	true
historical_characters_on_screen_name_jap_tokugawa_nobuyasu	Tokugawa Nobuyasu	true
historical_characters_on_screen_name_jap_kitabatake_tomofusa	Kitabatake Tomofusa	true
historical_characters_on_screen_name_jap_oda_kotoji	Oda Kotoji	true
historical_characters_on_screen_name_jap_hatakeyama_akitaka	Hatakeyama Akitaka	true
historical_characters_on_screen_name_jap_kitabatake_tomonori	Kitabatake Tomonori	true
historical_characters_on_screen_name_jap_hatakeyama_sadamasa	Hatakeyama Sadamasa	true
historical_characters_on_screen_name_jap_chosokabe_chikakazu	Chosokabe Chikakazu	true
historical_characters_on_screen_name_jap_shimazu_tadatoshi	Shimazu Tadatoshi	true
historical_characters_on_screen_name_jap_ashikaga_yoshizumi	Ashikaga Yoshizumi	true
historical_characters_on_screen_name_jap_tsutsui_sadagatsu	Tsutsui Sadagatsu	true
historical_characters_on_screen_name_jap_ashikaga_yoshitane	Ashikaga Yoshitane	true
