key	text	tooltip
#Loc;1;text/db/honour_factors.loc		
honour_factors_localised_positive_name_base	Personal honour	true
honour_factors_localised_negative_name_dishonouring_alliance	Betrayed alliances	true
honour_factors_localised_positive_name_dishonouring_alliance	[Placeholder]	true
honour_factors_localised_positive_name_looting_city	[Placeholder]	true
honour_factors_localised_positive_name_bonus_values	Arts, Skills, Traits and Retainers	true
honour_factors_localised_negative_name_looting_city	Looting	true
honour_factors_localised_negative_name_bonus_values	Arts, Skills, Traits and Retainers	true
honour_factors_localised_negative_name_assassination_attempt	Discovered assassination attempts	true
honour_factors_localised_positive_name_assassination_attempt	[Placeholder]	true
honour_factors_localised_negative_name_base	Personal honour	true
honour_factors_localised_positive_name_threatening_with_empty_words	[Placeholder]	true
honour_factors_localised_negative_name_threatening_with_empty_words	Empty threats	true
honour_factors_localised_positive_name_bankruptcy	[Placeholder]	true
honour_factors_localised_negative_name_bankruptcy	Descent into bankruptcy	true
honour_factors_localised_positive_name_being_christian	[Placeholder]	true
honour_factors_localised_negative_name_being_christian	Christian	true
honour_factors_localised_positive_name_acquired_vassal	Vassals established	true
honour_factors_localised_positive_name_battles	Great victories	true
honour_factors_localised_positive_name_payload	Past events	true
honour_factors_localised_negative_name_acquired_vassal	[Placeholder]	true
honour_factors_localised_negative_name_battles	Terrible losses	true
honour_factors_localised_positive_name_becoming_christian	[Placeholder]	true
honour_factors_localised_negative_name_payload	Past events	true
honour_factors_localised_negative_name_becoming_christian	Converted to Christianity	true
