key	text	tooltip
#Loc;1;text/db/loyalty_factors.loc		
loyalty_factors_localised_positive_name_lost_office_shortly_after_being_granted_it	f	true
loyalty_factors_localised_positive_name_heir	Declared heir	true
loyalty_factors_localised_positive_name_upstart_sons	x	true
loyalty_factors_localised_positive_name_daimyo_honour	Daimyo's honour	true
loyalty_factors_localised_negative_name_epic_failure	Terrible defeats	true
loyalty_factors_localised_negative_name_bonus_values	Arts, Skills, Traits and Retainers	true
loyalty_factors_localised_negative_name_lower_level_character_granted_office	Commission given to subordinate	true
loyalty_factors_localised_negative_name_daimyo_honour	Dishonourable daimyo	true
loyalty_factors_localised_negative_name_lost_office_shortly_after_being_granted_it	Prematurely stripped of commission	true
loyalty_factors_localised_positive_name_bonus_values	Arts, Skills, Traits and Retainers	true
loyalty_factors_localised_positive_name_lower_level_character_granted_office	g	true
loyalty_factors_localised_positive_name_epic_failure	b	true
loyalty_factors_localised_positive_name_extraordinary_success	Great victories	true
loyalty_factors_localised_negative_name_removed_from_office	Stripped of commission	true
loyalty_factors_localised_negative_name_heir	Disinherited	true
loyalty_factors_localised_negative_name_upstart_sons	Upstart sons	true
loyalty_factors_localised_positive_name_removed_from_office	Assigned a commission	true
loyalty_factors_localised_negative_name_extraordinary_success	[Placeholder]	true
loyalty_factors_localised_positive_name_greater_than_his_lord	e	true
loyalty_factors_localised_negative_name_non_family_general	Blood thicker than water	true
loyalty_factors_localised_negative_name_greater_than_his_lord	Delusions of grandeur	true
loyalty_factors_localised_positive_name_non_family_general	Grateful to serve	true
loyalty_factors_localised_negative_name_family_success	[Placeholder]	true
loyalty_factors_localised_positive_name_family_failure	c	true
loyalty_factors_localised_negative_name_changed_office	Relegated commission	true
loyalty_factors_localised_positive_name_granted_office	Assigned a commission	true
loyalty_factors_localised_positive_name_destroyed_clan	a	true
loyalty_factors_localised_negative_name_bribed	Disloyal tendencies	true
loyalty_factors_localised_positive_name_changed_office	Relegated commission	true
loyalty_factors_localised_negative_name_granted_office	Stripped of commission	true
loyalty_factors_localised_positive_name_family_success	d	true
loyalty_factors_localised_negative_name_family_failure	[Placeholder]	true
loyalty_factors_localised_negative_name_destroyed_clan	[Placeholder]	true
loyalty_factors_localised_positive_name_bribed	Allegiant	true
loyalty_factors_localised_positive_name_personal_loyalty	Personal loyalty	true
loyalty_factors_localised_negative_name_metsuke	x	true
loyalty_factors_localised_positive_name_married_daughter	Married into family	true
loyalty_factors_localised_positive_name_upstart_generals	h	true
loyalty_factors_localised_positive_name_metsuke	Overseen by agent	true
loyalty_factors_localised_positive_name_adoption	Adopted into family	true
loyalty_factors_localised_negative_name_adoption	x	true
loyalty_factors_localised_negative_name_upstart_generals	Upstart generals	true
loyalty_factors_localised_negative_name_married_daughter	[Placeholder]	true
loyalty_factors_localised_negative_name_personal_loyalty	x	true
