key	text	tooltip
#Loc;1;text/db/message_event_strings.loc		
message_event_strings_title_gem_agent_shi_enemy_seduce_critical_failjapanese	Enemy Shirabyoshi Executed!	true
message_event_strings_title_military_tech_advancejap_boshinjapanese	Technology Researched	true
message_event_strings_title_bos_agent_enemy_ishin_assassin_successjap_boshinjapanese	Wounded!	true
message_event_strings_title_clan_character_defectsjapanese	Defection!	true
message_event_strings_title_agent_mon_yours_persuasion_critical_failjapanese	Monk Executed!	true
message_event_strings_title_trade_route_establishedjapanese	Trade Route Established	true
message_event_strings_title_agent_mis_yours_persuasion_critical_failjapanese	Missionary Executed!	true
message_event_strings_title_clan_marriage_daughterjapanese	Marriage	true
message_event_strings_title_gem_campmap_prestige_threshold_threejap_gempeijapanese	Fear	true
message_event_strings_title_your_spy_detected_escape_army_sabotagejapanese	Sabotage Failed!	true
message_event_strings_title_agent_killed_with_navyjapanese	Agent Killed	true
message_event_strings_title_your_region_capturedjap_boshinjapanese	Province Lost!	true
message_event_strings_title_trade_agreement_cancelledjapanese	Trade Agreement Broken	true
message_event_strings_title_gem_agent_jun_enemy_payoff_critical_failjapanese	Enemy Junsatsushi Executed!	true
message_event_strings_title_agent_kun_yours_assassin_fail_detectedjapanese	Assassination Failed!	true
message_event_strings_title_clan_character_commits_seppukujapanese	General Commits Seppuku	true
message_event_strings_title_your_bankruptcy_no_cashjap_boshinjapanese	Bankrupt!	true
message_event_strings_title_bos_agent_yours_veteran_duel_successjap_boshinjapanese	Enemy Wounded in Single Combat!	true
message_event_strings_title_campmap_faction_encountered_youjap_boshinjapanese	Clan Encountered	true
message_event_strings_title_campaign_wonjap_boshinjapanese	Campaign Won	true
message_event_strings_title_region_upper_rebellion_generaljapanese	Rebellion!	true
message_event_strings_title_bos_agent_yours_geisha_distract_garrison_failjap_boshinjapanese	Garrison Distraction Failed	true
message_event_strings_title_bos_campmap_minor_clan_joins_imperialjap_boshinjapanese	Clan Joins the Imperial Cause!	true
message_event_strings_title_gem_agent_sou_yours_demoralisation_critical_failjapanese	Sou Executed!	true
message_event_strings_title_bos_agent_enemy_shinobi_sabotage_army_critical_successjap_boshinjapanese	Army Sabotaged!	true
message_event_strings_title_unit_recruitedjapanese	Warriors Recruited	true
message_event_strings_title_campmap_resource_acquired_goodsjapanese	Craft Goods Acquired	true
message_event_strings_title_faction_destroyed_minorjap_boshinjapanese	Clan Destroyed	true
message_event_strings_title_faction_allied_unfriendlyjapanese	Diplomatic Relations	true
message_event_strings_title_clan_other_daimyo_diesjapanese	Death of a Daimyo	true
message_event_strings_title_agent_kun_yours_assassin_critical_failjapanese	Geisha Executed!	true
message_event_strings_title_character_dies_natural_causesjap_boshinjapanese	Natural Causes	true
message_event_strings_title_campmap_ashikaga_become_shogunjapanese	Ashikaga Shogunate Restored	true
message_event_strings_title_building_your_legendary_built_not_firstjapanese	Great Accomplishment	true
message_event_strings_title_summary_diplomacyjapanese	Diplomatic Report	true
message_event_strings_title_trade_agreement_cancelled_embargojapanese	Trade Agreement Broken	true
message_event_strings_title_war_declared_your_allyjapanese	War Declared on Ally!	true
message_event_strings_title_gem_agent_shi_yours_stall_critical_failjapanese	Shirabyoshi Executed!	true
message_event_strings_title_alliance_declared_yoursjapanese	Alliance Forged!	true
message_event_strings_title_bos_campmap_resource_lost_teajap_boshinjapanese	Tea Lost	true
message_event_strings_title_ambusher_discovered_yoursjapanese	Our Concealed Army Discovered!	true
message_event_strings_title_bos_campmap_resource_acquired_cottonjap_boshinjapanese	Cotton Acquired	true
message_event_strings_title_your_capital_captured_during_revolutionjapanese	Capital Lost	true
message_event_strings_title_battlemap_allied_general_killedjapanese	Allied General Killed!	true
message_event_strings_title_clan_your_daimyo_killedjapanese	Our Noble Lord Has Fallen!	true
message_event_strings_title_campmap_you_lost_kyotojapanese	Kyoto Lost!	true
message_event_strings_title_campmap_resource_lost_warhorsesjapanese	Superior Warhorses Lost	true
message_event_strings_title_bos_agent_yours_ishin_assassin_critical_successjap_boshinjapanese	Enemy Assassinated!	true
message_event_strings_title_gem_agent_jun_yours_request_ally_critical_failjapanese	Junsatsushi Executed!	true
message_event_strings_title_bos_agent_yours_shinobi_assassin_failjap_boshinjapanese	Assassination Failed	true
message_event_strings_title_bos_agent_enemy_ishin_assassin_critical_successjap_boshinjapanese	Assassinated!	true
