key	text	tooltip
#Loc;1;text/db/movie_event_strings.loc		
movie_event_strings_title_faction_loss_morijapanese	Fall of the Mori	true
movie_event_strings_title_faction_defeat_ikko_ikkijapanese	Fall of the Ikko Ikki	true
movie_event_strings_title_unit_ashigaru_yarijapanese	Yari Ashigaru	true
movie_event_strings_title_faction_loss_datejapanese	Fall of the Date	true
movie_event_strings_title_ship_medium_siegejapanese	Siege Tower Bune	true
movie_event_strings_title_unit_kisho_ninjajapanese	Kisho Ninja	true
movie_event_strings_title_ship_medium_cannonjapanese	Cannon Bune	true
movie_event_strings_title_faction_defeat_gem_taira_fukuharajapanese	Fall of the Fukuhara	true
movie_event_strings_title_bos_allegiance_win_shogunjapanese	Victory!	true
movie_event_strings_title_faction_loss_gem_fujiwara_hiraizumijapanese	Fall of the Hiraizumi	true
movie_event_strings_title_bos_allegiance_loss_selfjapanese	Fall of the Samurai	true
movie_event_strings_title_ship_heavy_nihonjapanese	Nihon Maru	true
movie_event_strings_title_unit_artillery_mangonelsjapanese	Fire Projecting Mangonels	true
movie_event_strings_title_hero_naginata_monkjapanese	Naginata Warrior Monk Hero	true
movie_event_strings_title_unit_monk_naginatajapanese	Naginata Warrior Monks	true
movie_event_strings_title_faction_win_gem_minamoto_kamakurajapanese	Victory!	true
movie_event_strings_title_faction_win_tut_chosokabejapanese	Victory!	true
movie_event_strings_title_bos_defeat_enemyjapanese	Clan Defeated	true
movie_event_strings_title_unit_monk_matchlockjapanese	Matchlock Warrior Monks	true
movie_event_strings_title_faction_defeat_chosokabejapanese	Fall of the Chosokabe	true
movie_event_strings_title_unit_cavalry_great_guardjapanese	Great Guard	true
movie_event_strings_title_ship_heavy_heavyjapanese	Heavy Bune	true
movie_event_strings_title_agent_ninjajapanese	Ninja	true
movie_event_strings_title_faction_loss_hojojapanese	Fall of the Hojo	true
movie_event_strings_title_faction_win_gem_fujiwara_hiraizumijapanese	Victory!	true
movie_event_strings_title_ship_medium_mediumjapanese	Medium Bune	true
movie_event_strings_title_ship_merchant_tradejapanese	Trade Ship	true
movie_event_strings_title_unit_katana_roninjapanese	Katana Ronin	true
movie_event_strings_title_unit_cavalry_yarijapanese	Yari Cavalry	true
movie_event_strings_title_agent_missionaryjapanese	Missionary	true
movie_event_strings_title_unit_cavalry_naginata_warrior_monk_cavalryjapanese	Naginata Warrior Monk Cavalry	true
