key	text	tooltip
#Loc;1;text/db/multiplayer_faction_descriptions.loc		
multiplayer_faction_descriptions_naval_description_iga_ninja	Standard ships.	true
multiplayer_faction_descriptions_land_description_gem_minamoto_kiso	Standard land units.	true
multiplayer_faction_descriptions_land_description_gem_taira_yashima	Standard land units.	true
multiplayer_faction_descriptions_land_description_iga_ninja	Superior kisho ninja units.\\n\\nAshigaru and samurai can deploy outside of deployment area.	true
multiplayer_faction_descriptions_naval_description_shimazu	Standard ships.	true
multiplayer_faction_descriptions_naval_description_gem_taira_yashima	Standard ships.	true
multiplayer_faction_descriptions_land_description_tokugawa	Superior kisho ninja units.	true
multiplayer_faction_descriptions_naval_description_gem_minamoto_kiso	Standard ships.	true
multiplayer_faction_descriptions_land_description_ikko_ikki	Unique unit naginata warrior monk cavalry.\\n\\nAshigaru have superior morale but lower melee and ranged stats.\\n\\nNo samurai units.	true
multiplayer_faction_descriptions_naval_description_chosokabe	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_tosa	Imperial supporting faction.	true
multiplayer_faction_descriptions_land_description_bos_cb_aizu	Shogunate supporting faction with lots of unique units.	true
multiplayer_faction_descriptions_naval_description_tokugawa	Standard ships.	true
multiplayer_faction_descriptions_naval_description_ikko_ikki	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_saga	Imperial supporting faction.	true
multiplayer_faction_descriptions_land_description_gem_taira_fukuhara	Standard land units.	true
multiplayer_faction_descriptions_land_description_chosokabe	Superior bow infantry.	true
multiplayer_faction_descriptions_naval_description_gem_taira_fukuhara	Standard ships.	true
multiplayer_faction_descriptions_land_description_gem_fujiwara_kubota	Standard land units.	true
multiplayer_faction_descriptions_land_description_bos_cb_ueno	Imperial supporting faction.	true
multiplayer_faction_descriptions_land_description_oda	Superior ashigaru.	true
multiplayer_faction_descriptions_naval_description_mori	Superior ships.	true
multiplayer_faction_descriptions_naval_description_date	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_jozai	Shogunate supporting faction.	true
multiplayer_faction_descriptions_land_description_otomo	Superior Matchlock units.	true
multiplayer_faction_descriptions_land_description_shimazu	Superior katana samurai.\\n\\nSuperior katana heroes.	true
multiplayer_faction_descriptions_land_description_bos_cb_obama	Shogunate supporting faction.	true
multiplayer_faction_descriptions_naval_description_takeda	Standard ships.	true
multiplayer_faction_descriptions_land_description_takeda	Superior cavalry.	true
multiplayer_faction_descriptions_naval_description_uesugi	Standard ships.	true
multiplayer_faction_descriptions_land_description_uesugi	Superior warrior monks.	true
multiplayer_faction_descriptions_naval_description_bos_cb_satsuma	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_satsuma	Imperial supporting faction.	true
multiplayer_faction_descriptions_naval_description_bos_imperial	Standard ships.	true
multiplayer_faction_descriptions_naval_description_bos_cb_nagaoka	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_nagaoka	Shogunate supporting faction.	true
multiplayer_faction_descriptions_naval_description_otomo	Superior matchlock kobaya.	true
multiplayer_faction_descriptions_naval_description_hojo	Standard ships.	true
multiplayer_faction_descriptions_land_description_hojo	Superior siege weapons.	true
multiplayer_faction_descriptions_naval_description_bos_cb_choshu	Standard ships.	true
multiplayer_faction_descriptions_naval_description_bos_cb_ueno	Standard ships.	true
multiplayer_faction_descriptions_naval_description_oda	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_imperial	Imperial supporting faction.	true
multiplayer_faction_descriptions_land_description_gem_minamoto_kamakura	Standard land units.	true
multiplayer_faction_descriptions_land_description_bos_cb_sendai	Shogunate supporting faction.	true
multiplayer_faction_descriptions_land_description_bos_shogunate	Shogunate supporting faction.	true
multiplayer_faction_descriptions_naval_description_bos_cb_saga	Standard ships.	true
multiplayer_faction_descriptions_naval_description_gem_fujiwara_kubota	Standard ships.	true
multiplayer_faction_descriptions_naval_description_bos_cb_obama	Standard ships.	true
multiplayer_faction_descriptions_land_description_bos_cb_choshu	Imperial supporting faction.	true
multiplayer_faction_descriptions_naval_description_bos_cb_aizu	Standard ships.	true
multiplayer_faction_descriptions_naval_description_gem_fujiwara_hiraizumi	Standard ships.	true
multiplayer_faction_descriptions_naval_description_bos_cb_sendai	Standard ships.	true
multiplayer_faction_descriptions_land_description_mori	Standard land units.	true
multiplayer_faction_descriptions_land_description_gem_fujiwara_hiraizumi	Standard land units.	true
multiplayer_faction_descriptions_naval_description_bos_shogunate	Standard ships.	true
multiplayer_faction_descriptions_naval_description_gem_minamoto_kamakura	Standard ships.	true
multiplayer_faction_descriptions_land_description_date	Superior no-dachi samurai.	true
multiplayer_faction_descriptions_naval_description_bos_cb_jozai	Standard ships.	true
multiplayer_faction_descriptions_naval_description_bos_cb_tosa	Standard ships.	true
