key	text	tooltip
#Loc;1;text/db/names.loc		
names_name_names_boshinIjuin	Ijuin	true
names_name_names_boshinIshin	Ishin	true
names_name_names_portugueseBarrios	Barrios	true
names_name_names_portugueseXadreque	Xadreque	true
names_name_names_portugueseGuterres	Guterres	true
names_name_names_boshin_frenchMarc	Marc	true
names_name_names_takedaSuwa	Suwa	true
names_name_names_portugueseAntunnez	Antunnez	true
names_name_names_portugueseSoveral	Soveral	true
names_name_names_boshin_britishHume	Hume	true
names_name_names_boshin_frenchBart	Bart	true
names_name_names_portugueseSacadura	Sacadura	true
names_name_names_boshinTorii	Torii	true
names_name_names_boshin_frenchde_Blancmesnil	de Blancmesnil	true
names_name_names_japaneseNaritsura	Naritsura	true
names_name_names_japaneseNobutsuna	Nobutsuna	true
names_name_names_odaNobukane	Nobukane	true
names_name_names_japaneseMoritsura	Moritsura	true
names_name_names_tairaTaira	Taira	true
names_name_names_japaneseToshimasa	Toshimasa	true
names_name_names_japaneseMichiatsu	Michiatsu	true
names_name_names_japaneseMichimasu	Michimasu	true
names_name_names_japaneseMochimasu	Mochimasu	true
names_name_names_japaneseYoshifusa	Yoshifusa	true
names_name_names_japaneseYoshihisa	Yoshihisa	true
names_name_names_japaneseYoshimasa	Yoshimasa	true
names_name_names_japaneseTokiakira	Tokiakira	true
names_name_names_minamotoMitsunobu	Mitsunobu	true
names_name_names_japaneseToshiyasu	Toshiyasu	true
names_name_names_japaneseYasutsune	Yasutsune	true
names_name_names_japaneseMoriakira	Moriakira	true
names_name_names_japaneseYasutsuna	Yasutsuna	true
names_name_names_japaneseTokitsura	Tokitsura	true
names_name_names_japaneseMichihisa	Michihisa	true
names_name_names_japaneseMichimasa	Michimasa	true
names_name_names_japaneseMochifusa	Mochifusa	true
names_name_names_japaneseMochimasa	Mochimasa	true
names_name_names_japaneseYoshiatsu	Yoshiatsu	true
names_name_names_japaneseYoshiyasu	Yoshiyasu	true
names_name_names_boshin_frenchle_Blon	le Blon	true
names_name_names_takedaHiroko	Hiroko	true
names_name_names_portuguesePerestrelo	Perestrelo	true
names_name_names_boshin_frenchMortier	Mortier	true
names_name_names_boshin_frenchFouquet	Fouquet	true
names_name_names_boshin_frenchBossuet	Bossuet	true
names_name_names_boshin_frenchJeannot	Jeannot	true
names_name_names_portugueseMartinz	Martinz	true
names_name_names_portugueseCaetano	Caetano	true
names_name_names_boshinKumu	Kumu	true
names_name_names_boshinOuchi	Ouchi	true
names_name_names_boshin_americanCole	Cole	true
names_name_names_boshin_americanHale	Hale	true
names_name_names_boshin_britishScantlebury	Scantlebury	true
names_name_names_portugueseMartins	Martins	true
names_name_names_boshinTsuginosuke	Tsuginosuke	true
names_name_names_boshin_frenchCase	Case	true
names_name_names_boshin_americanBell	Bell	true
names_name_names_boshin_americanBull	Bull	true
names_name_names_boshin_americanDell	Dell	true
names_name_names_boshin_americanHall	Hall	true
names_name_names_boshin_americanHill	Hill	true
names_name_names_boshin_americanMill	Mill	true
names_name_names_boshinSoma	Soma	true
names_name_names_portuguesePaulino	Paulino	true
names_name_names_boshin_britishDale	Dale	true
names_name_names_boshinKishu	Kishu	true
names_name_names_japaneseYoshimori	Yoshimori	true
names_name_names_japaneseYoshinari	Yoshinari	true
names_name_names_japaneseYoshiyori	Yoshiyori	true
names_name_names_boshin_britishErwin	Erwin	true
names_name_names_japaneseYoshihiro	Yoshihiro	true
names_name_names_japaneseTsunemoto	Tsunemoto	true
names_name_names_boshin_britishBasil	Basil	true
names_name_names_boshin_britishCecil	Cecil	true
names_name_names_boshin_britishJamie	Jamie	true
names_name_names_japaneseToshihira	Toshihira	true
names_name_names_boshin_britishDavid	David	true
names_name_names_japaneseKunimitsu	Kunimitsu	true
names_name_names_boshin_britishLewin	Lewin	true
names_name_names_japaneseMichiharu	Michiharu	true
names_name_names_japaneseMochiharu	Mochiharu	true
names_name_names_japaneseYoshihira	Yoshihira	true
names_name_names_japaneseYoshimura	Yoshimura	true
names_name_names_japaneseNorikatsu	Norikatsu	true
names_name_names_boshin_britishCraig	Craig	true
names_name_names_japaneseNorimitsu	Norimitsu	true
names_name_names_boshin_britishElric	Elric	true
names_name_names_japaneseMorimitsu	Morimitsu	true
names_name_names_japaneseToshinari	Toshinari	true
names_name_names_japaneseToshiyori	Toshiyori	true
names_name_names_chosokabeChikasada	Chikasada	true
names_name_names_chosokabeChikatada	Chikatada	true
names_name_names_japaneseMichihiro	Michihiro	true
names_name_names_boshin_britishTobin	Tobin	true
names_name_names_japaneseIma	Ima	true
names_name_names_japaneseUma	Uma	true
names_name_names_boshin_britishRobin	Robin	true
names_name_names_boshin_britishFelix	Felix	true
names_name_names_japaneseMichimori	Michimori	true
names_name_names_japaneseMichinari	Michinari	true
names_name_names_japaneseMichinori	Michinori	true
names_name_names_japaneseMichiyori	Michiyori	true
names_name_names_japaneseMochimori	Mochimori	true
names_name_names_japaneseMochinori	Mochinori	true
names_name_names_japaneseMochiyori	Mochiyori	true
names_name_names_boshin_britishBlair	Blair	true
names_name_names_boshin_britishBevis	Bevis	true
names_name_names_japaneseYorimitsu	Yorimitsu	true
names_name_names_japaneseYukimitsu	Yukimitsu	true
names_name_names_japaneseMichihira	Michihira	true
names_name_names_japaneseYoshiharu	Yoshiharu	true
names_name_names_japaneseYoshiteru	Yoshiteru	true
names_name_names_boshin_frenchle_Rond	le Rond	true
names_name_names_boshin_frenchRolande	Rolande	true
names_name_names_boshin_frenchLejeune	Lejeune	true
names_name_names_boshin_frenchLeblanc	Leblanc	true
names_name_names_boshin_frenchFerrant	Ferrant	true
names_name_names_boshin_frenchLefranc	Lefranc	true
names_name_names_boshin_frenchBelmont	Belmont	true
names_name_names_boshin_frenchFernand	Fernand	true
names_name_names_boshin_frenchFerrand	Ferrand	true
names_name_names_boshinNaoko	Naoko	true
names_name_names_boshin_americanHood	Hood	true
names_name_names_boshin_americanWood	Wood	true
names_name_names_portugueseCardenas	Cardenas	true
names_name_names_portugueseRemigio	Remigio	true
names_name_names_portugueseTimoteo	Timoteo	true
names_name_names_boshinAmako	Amako	true
names_name_names_portugueseBorreco	Borreco	true
names_name_names_igaSakgami	Sakgami	true
names_name_names_boshinTani	Tani	true
names_name_names_boshin_americanKnox	Knox	true
names_name_names_portugueseMaximiano	Maximiano	true
names_name_names_boshin_britishCook	Cook	true
names_name_names_portugueseFrederico	Frederico	true
names_name_names_portugueseFeliciano	Feliciano	true
names_name_names_boshinKono	Kono	true
names_name_names_boshinSano	Sano	true
names_name_names_boshin_britishLeon	Leon	true
names_name_names_boshin_frenchRapp	Rapp	true
names_name_names_portuguesede_Gois	de Gois	true
names_name_names_japaneseMitsufuji	Mitsufuji	true
names_name_names_japaneseChikaharu	Chikaharu	true
names_name_names_japaneseChikamori	Chikamori	true
names_name_names_japaneseChikanari	Chikanari	true
names_name_names_japaneseChikanori	Chikanori	true
names_name_names_japaneseAne	Ane	true
names_name_names_japaneseChikahiro	Chikahiro	true
names_name_names_portugueseda_Gama	da Gama	true
names_name_names_japaneseChikahira	Chikahira	true
names_name_names_portugueseBernardino	Bernardino	true
names_name_names_boshin_frenchNicolas	Nicolas	true
names_name_names_boshin_frenchAmadieu	Amadieu	true
names_name_names_boshin_americanLaw	Law	true
names_name_names_portuguesed’Allmeida	d’Allmeida	true
names_name_names_boshinHonjo	Honjo	true
names_name_names_boshin_americanLind	Lind	true
names_name_names_boshin_britishDent	Dent	true
names_name_names_boshin_americanVane	Vane	true
names_name_names_portugueseRicardo	Ricardo	true
names_name_names_tairaSeno	Seno	true
names_name_names_boshin_americanJay	Jay	true
names_name_names_boshin_americanBenn	Benn	true
names_name_names_boshin_americanPenn	Penn	true
names_name_names_portugueseRivaldo	Rivaldo	true
names_name_names_boshinNaoe	Naoe	true
names_name_names_boshin_britishBond	Bond	true
names_name_names_portugueseGiraldo	Giraldo	true
names_name_names_portugueseMarcelo	Marcelo	true
names_name_names_boshinOta	Ota	true
names_name_names_boshin_britishLane	Lane	true
names_name_names_boshinShiji	Shiji	true
names_name_names_portugueseParrela	Parrela	true
names_name_names_boshinIto	Ito	true
names_name_names_boshin_britishScarisbrook	Scarisbrook	true
names_name_names_boshin_britishLeake	Leake	true
names_name_names_japaneseMitsunaka	Mitsunaka	true
names_name_names_japaneseMitsutaka	Mitsutaka	true
names_name_names_boshin_britishHooke	Hooke	true
names_name_names_japaneseMitsusuke	Mitsusuke	true
names_name_names_minamotoNagamitsu	Nagamitsu	true
names_name_names_japaneseMitsutoki	Mitsutoki	true
names_name_names_japaneseMitsuyuki	Mitsuyuki	true
names_name_names_japaneseMitsuhiko	Mitsuhiko	true
names_name_names_odaNobuzumi	Nobuzumi	true
names_name_names_boshin_britishBlake	Blake	true
names_name_names_boshin_britishBurke	Burke	true
names_name_names_boshin_britishYorke	Yorke	true
names_name_names_japaneseChikafusa	Chikafusa	true
names_name_names_japaneseChikamasa	Chikamasa	true
names_name_names_boshin_frenchHoque	Hoque	true
names_name_names_hojoUjikuni	Ujikuni	true
names_name_names_japaneseAoi	Aoi	true
names_name_names_japaneseDoi	Doi	true
names_name_names_boshin_britishRooke	Rooke	true
names_name_names_moriMotoaki	Motoaki	true
names_name_names_boshinMatsui	Matsui	true
names_name_names_boshinSasaki	Sasaki	true
names_name_names_boshinMitsuo	Mitsuo	true
names_name_names_boshinSatake	Satake	true
names_name_names_takedaKanako	Kanako	true
names_name_names_takedaKosaka	Kosaka	true
names_name_names_boshin_frenchOlivier	Olivier	true
names_name_names_boshin_frenchReubell	Reubell	true
names_name_names_boshin_frenchDeville	Deville	true
names_name_names_boshin_frenchNeville	Neville	true
names_name_names_boshin_frenchHercule	Hercule	true
names_name_names_boshin_frenchde_Neufchâteau	de Neufchâteau	true
names_name_names_boshin_frenchAndré	André	true
names_name_names_portugueseSpinoza	Spinoza	true
names_name_names_igaKataoka	Kataoka	true
names_name_names_boshinOtomo	Otomo	true
names_name_names_portugueseAndrade	Andrade	true
names_name_names_portugueseFiguiera	Figuiera	true
names_name_names_boshinHonma	Honma	true
names_name_names_boshinRyoma	Ryoma	true
names_name_names_boshin_americanOtis	Otis	true
names_name_names_boshin_britishEric	Eric	true
names_name_names_portugueseAdriano	Adriano	true
names_name_names_boshin_britishWilberforce	Wilberforce	true
names_name_names_portugueseGuilherme	Guilherme	true
names_name_names_boshin_britishIain	Iain	true
names_name_names_portugueseDomngez	Domngez	true
names_name_names_boshin_frenchEmery	Emery	true
names_name_names_boshin_britishBoyle	Boyle	true
names_name_names_boshin_frenchBerry	Berry	true
names_name_names_boshin_frenchClare	Clare	true
names_name_names_japaneseIha	Iha	true
names_name_names_boshin_frenchHenri	Henri	true
names_name_names_japaneseChikamoto	Chikamoto	true
names_name_names_boshin_britishKelly	Kelly	true
names_name_names_boshinTakako	Takako	true
names_name_names_boshin_frenchJourdan	Jourdan	true
