key	text	tooltip
#Loc;1;text/db/pdlc.loc		
pdlc_description_TWS2_PDLC_1	A brand new downloadable pack including the Ikko Ikki as a playable clan, plus new multi-player units, retainers and an Ikko Ikki armour set.	true
pdlc_description_TWS2_PDLC_2	A brand new downloadable pack featuring 11 new units for use in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_3	A brand new downloadable pack set during the explosive Gempei War, featuring new units, agents, and retainers. Available in both single and multi-player modes.	true
pdlc_description_TWS2_PDLC_4	A brand new downloadable pack adding blood and gore effects to Total War: SHOGUN 2 and Rise of the Samurai.	true
pdlc_description_TWS2_PDLC_5	A brand new downloadable pack including the Hattori as a playable clan, plus a series of custom units for use in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_6	A brand new downloadable pack featuring a cycle of 6 historical battles from the Boshin War era to complete. Already available in Fall of the Samurai!	true
pdlc_description_TWS2_PDLC_7	Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_8	Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_9	Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes.	true
pdlc_description_TWS2	The award-winning Total War: SHOGUN 2 places you at the centre of the action during Japan's Sengoku Jidai, the brutal civil war to end all others.	true
pdlc_description_TWS2_EXP_1	A brand new full-scale expansion set during the 19th Century Boshin War, featuring naval bombardment, railways, and an improved multi-player mode.	true
pdlc_description_TWS2_PDLC_10	Four new faction packs for use in Fall of the Samurai are now available for purchase through Steam. The Saga, Tsu, Sendai and Obama clans can be used in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_11	A brand new downloadable pack featuring 9 new hero units for use in both single and multiplayer modes.	true
pdlc_description_TWS2_PDLC_12	A brand new downloadable pack for Total War: SHOGUN 2 is now available to purchase through Steam, featuring the Otomo as a playable clan in single player mode.	true
