key	text	tooltip
#Loc;1;text/db/pre_battle_speeches.loc		
pre_battle_speeches_text_S2_PBS_Ending_Stock_50	And now set aside all thoughts save duty. Your loved ones will mourn if you die, but not if you fail! Let us have victory!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_10	Men of the Date clan, our enemies are yonder! Allow them a moment to cleanse their souls, then send them all to heaven!	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Hojo_Here_Token_03	I imagine our enemies are most unhappy to see so few of their Hojo allies in the field. But so what? Hojo honour is satisfied.	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Mori_Near_Maybe_02	Our foes are waiting for a Mori army to appear and, I presume, save them. Let them wait for ten thousand years!	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Hojo_Here_Token_02	The Hojo, I see, are satisfying their honour, but little else. They have sent only a few men to support our foes!	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Mori_Near_Maybe_03	Our foes hope to see a Mori army come marching to their support, if the Mori can stop their thievery for long enough to help.	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Hojo_Here_Token_01	The Hojo, I see, support our foes. But they do so half-heartedly, with few men, as though ashamed of their friends.	true
pre_battle_speeches_text_S2_PBS_Allies_Enemy_Mori_Near_Maybe_01	I hear that the Mori are marching to aid our foes. Perhaps they will get here, unless their thieving ways slow them!	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Archers_Too_Many_01	The enemy army is unbalanced, I think. There are many, many archers in the ranks. Too many for my taste, and it weakens the whole.	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Archers_Too_Many_02	The enemy have some trick in mind. They have many archers: too many, in some ways. They have a cunning plan, or they are foolish.	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Archers_Too_Many_03	Our foes have been foolish, for their army is not harmonious. They have too many archers in their ranks. This is not strength, but weakness!	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Samurai_Too_Many_01	I see the enemy have great faith in their samurai. Good for them! I am a practical man, and think their army unbalanced because of it!	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Samurai_Too_Many_02	Our foes have many samurai in their ranks. They are worthy indeed, but our enemies are weakened by too many of them!	true
pre_battle_speeches_text_S2_PBS_Army_Enemy_Samurai_Too_Many_03	A masterful commander does not rely on one sort of warriors. He masters the uses of all. My opponent has too many samurai in his force!	true
pre_battle_speeches_text_S2_PBS_Reinforce_Clan_Maybe_In_Time_02	There is another reason to be cheerful. Another army approaches, and may yet get here to help with our victory! That is good news!	true
pre_battle_speeches_text_S2_PBS_Reinforce_Clan_Maybe_In_Time_03	And there is good news! Our daimyo is wise: another army marches to us! If they arrive, I will gladly share glory with them.	true
pre_battle_speeches_text_S2_PBS_Reinforce_Clan_Maybe_In_Time_01	Even though our clan brothers are coming, fight as though we alone must win the day! When they arrive, they will be amazed by our courage!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_40	And when we are done here, the sobs of their widows will rise to the heavens and even the Moon will weep in sympathy!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_41	And now, remember that honour is at stake! If we lose our honour by fighting shamefully, that is too high a price for victory!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_42	And now, let us go forward! Our names will live for a thousand years! Raise the banners!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_43	And now, raise the banners, and cheer! Show the foe that we are coming, and that they should run, if they value their lives!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_44	And now there is one thing more to do! We are ready, our banners are bright upon the breeze, and the day looks well for us!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_45	And now, I pray that your ancestors will be proud of your efforts! You are dutiful sons of the clan. There is no finer boast!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_46	And now comes the test that all wariors must face: open battle. Do not be afraid! You are under my command, and no man here is unworthy!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_47	And now, I ask the spirits to keep our foes befuddled by their own foolishness. Our wits must be, will be, as sharp as our swords!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_48	And now, as surely as Mount Fuji touches the clouds, we will have a victory! Good fortune to you all!	true
pre_battle_speeches_text_S2_PBS_Ending_Stock_49	And now, to the enemy! It is impolite to keep them waiting for death any longer! I will enjoy counting their heads afterwards!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_01	Our enemies are ruled by fear! Warriors, we need only advance beneath our banners, and they will run! Draw your swords! And obey orders!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_02	Obedience without question is our strength! Fear of our clan, the great Date, is their weakness! Knowing these simple truths, we will triumph today!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_03	Today's enemies are not be feared, or considered fit opponents for you. They are not Date clan, and that is enough to condemn them as worthless! Now, prepare!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_04	Our reputation is enough to unman our enemies! They see our Date banners, and they tremble! How many blows will it take to despatch such cowards?	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_05	Stand proud, sons of the Date! Our enemies shake at the sight of us! Now, let duty be your watchword, and show them why they fear us!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_06	Sons of the Date! Let us treat our foes with all due respect. That is: none at all! Cut them down like so many beasts!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_07	Let their widows weep for a thousand years after we are done! Any enemy who thinks of this day should tremble when they think of our rage!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_08	We of the Date clan march below a proud banner! Our enemies rightly fear us, and that fear works for us! Now, forwards!	true
pre_battle_speeches_text_S2_PBS_Quip_Clan_Date_09	Even now, fear does its work in the souls of our enemies. They are right to fear us, for we march beneath the Date banner!	true
pre_battle_speeches_text_S2_PBS_Intro_Trait_Skill_Legendary_01	I have seen many battles! And now I prepare for one more. This is good, for I would have a purpose in my life, and in yours!	true
pre_battle_speeches_text_S2_PBS_Intro_Trait_Skill_Legendary_02	I have spoken many times before battle. It is important that we all understand what is to happen, and work as one. So: listen!	true
pre_battle_speeches_text_S2_PBS_Intro_Trait_Skill_Legendary_03	Once again, I face battle, and in the company of good, honest soldiers. No matter what happens next, I treasure that thought.	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Hattori_Hated_10	Over there, beneath that ugly rag they call a banner, is a Hattori general. Even now, he is lying to his men and telling them you are weak: chickens to their foxes.	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_01	The Shimazu yonder think themselves better than other men, that their bloodline is more than ours. I say they are wrong! And we will prove it!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_03	The Shimazu are no better than grave-robbers, stealing glory from their long-dead ancestors. Once they were noble, but now? Bah!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_02	The Shimazu account themselves noble, better than lesser men. I think they are misguided; that dung wrapped in a silk kimono is still dung!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_05	Let us consider our Shimazu foes for a moment. They are a sorry collection of ne'er-do-wells and ruffians, the worthless heirs to a worthless clan!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_04	Our Shimazu enemies have a high opinion of themselves, and their ancestors. It must irk them constantly that everyone else thinks differently!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_07	These Shimazu spoil what would otherwise be a pleasing view. Despite their pretensions, they lack any appreciation of beauty. They deserve death a thousand times over.	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_06	Over there the Shimazu are waiting. They are long bred to evil and corruption, for that is their heritage. Their banners are marks of dishonour!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_09	The Shimazu have a long history. It is a history befouled by tales of friends betrayed, women violated, and unspeakable sin! And we face them today!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Clan_Shimazu_Hated_08	Over there, the Shimazu general is reminding his men of their lineage: a long tale of thievery and deceit, of which he will say nothing. Bah!	true
pre_battle_speeches_text_S2_PBS_ID_Enemy_Rebel_Buddhists_Hated_05	I despise our enemies! They talk of faith, and duty, and enlightenment, but all the time their hearts are full of anger and resentment.	true
