key	text	tooltip
#Loc;1;text/db/quotes_people.loc		
quotes_people_quote_person_onscreen_tanuma_okitsugu	Tanuma Okitsugu (1719 - 1788)	true
quotes_people_quote_person_onscreen_sun_tzu	Extract from The Art of War, Sun Tzu (544 BC - 496 BC)	true
quotes_people_quote_person_onscreen_takeda_nobushige	Takeda Nobushige (1525 - 1561)	true
quotes_people_quote_person_onscreen_herman_melville	Extract from Moby Dick, Herman Melville (1819 - 1891)	true
quotes_people_quote_person_onscreen_hojo_shigetoki	Hojo Shigetoki (1198 - 1261)	true
quotes_people_quote_person_onscreen_townsend_harris	Townsend Harris, US Consul General to Japan (1804 - 1878)	true
quotes_people_quote_person_onscreen_kuroda_nagamasa	Kuroda Nagamasa (1568 - 1623)	true
quotes_people_quote_person_onscreen_uejima_onitsura	Uejima Onitsura (1660 - 1738)	true
quotes_people_quote_person_onscreen_sakamoto_ryoma	Sakamoto Ryoma, Imperialist samurai (1836 - 1867)	true
quotes_people_quote_person_onscreen_sun_bin	Extract from The Art of War, Sun Bin (308 BC - 316 BC)	true
quotes_people_quote_person_onscreen_chinese_proverb	Chinese proverb	true
quotes_people_quote_person_onscreen_unknown	Unknown	true
quotes_people_quote_person_onscreen_tokugawa_ieyasu	Tokugawa Ieyasu (1543 - 1616)	true
quotes_people_quote_person_onscreen_shigeru_yoshida	Shigeru Yoshida, Japanese politician (1878 - 1967)	true
quotes_people_quote_person_onscreen_kondo_death_poem	Kondo Isami's death poem	true
quotes_people_quote_person_onscreen_shiba_yoshimasa	Shiba Yoshimasa (1350 - 1410)	true
quotes_people_quote_person_onscreen_iwamizudera_monogatari	Proverb mentioned in Iwamizudera Monogatari, Takeda Shingen (1521 - 1573)	true
quotes_people_quote_person_onscreen_takeda_shingen	Takeda Shingen (1521 - 1573)	true
quotes_people_quote_person_onscreen_sonno_joi	Imperialist maxim	true
quotes_people_quote_person_onscreen_honda_masanobu	Masanobu Honda (1538 - 1616)	true
quotes_people_quote_person_onscreen_japanese_proverb	Japanese proverb	true
quotes_people_quote_person_onscreen_ogasawara_dzusho	Missive of Ogasawara Dzusho no Kami, June 24th 1863	true
quotes_people_quote_person_onscreen_hijikata_toshizo	Hijikata Toshizo, vice-commander of the Shinsengumi (1835 - 1869)	true
quotes_people_quote_person_onscreen_asakura_soteki	Asakura Soteki (1474 - 1555)	true
quotes_people_quote_person_onscreen_millard_fillmore	Millard Fillmore, 13th President of the United States (1800 - 1874)	true
quotes_people_quote_person_onscreen_torii_mototada	Torii Mototada (1539 - 1600)	true
quotes_people_quote_person_onscreen_buddha	Buddha (563 BC - 483 BC)	true
quotes_people_quote_person_onscreen_miyamoto_musashi	Extract from The Book of Five Rings, Miyamoto Musashi (1584 - 1645)	true
quotes_people_quote_person_onscreen_bismarck	Otto von Bismarck, Minister-President of the Kingdom of Prussia (1815 - 1898)	true
quotes_people_quote_person_onscreen_kondo_mistress	Kondo Isami's mistress	true
