key	text	tooltip
#Loc;1;text/db/region_unit_resources.loc		
region_unit_resources_string_libya	Libya	true
region_unit_resources_string_lombardy	Lombardy	true
region_unit_resources_string_scotland	Scotland	true
region_unit_resources_string_poland	Poland	true
region_unit_resources_string_kyoto	Kyoto	true
region_unit_resources_string_silesia	Silesia	true
region_unit_resources_string_modena	French Modena	true
region_unit_resources_string_cossacks	Cossacks	true
region_unit_resources_string_global	Worldwide	true
region_unit_resources_string_tyrol	Tyrol	true
region_unit_resources_string_hungary	Hungary	true
region_unit_resources_string_france	France	true
region_unit_resources_string_milan	French Milan	true
region_unit_resources_string_bedouin	Bedouin	true
region_unit_resources_string_camels	Camels	true
region_unit_resources_string_norway	Norway	true
region_unit_resources_string_balkans	Balkans	true
region_unit_resources_string_horses	Horses	true
region_unit_resources_string_armed_citizenry	Armed Citizenry	true
region_unit_resources_string_ottoman_elite	Ottoman Elite	true
region_unit_resources_string_switzerland	Switzerland	true
region_unit_resources_string_palestine	Palestine	true
