key	text	tooltip
#Loc;1;text/db/regions_sea.loc		
regions_sea_onscreen_name_jap_korea_strait	Korea Strait	true
regions_sea_onscreen_name_bos_east_china_sea	East China Sea	true
regions_sea_onscreen_name_jap_ford_nanao_bay	Nanao Bay	true
regions_sea_onscreen_name_jap_izu_peninsula	Izu Peninsula	true
regions_sea_onscreen_name_bos_izu_peninsula	Izu Peninsula	true
regions_sea_onscreen_name_jap_bozo_peninsula	Bozo Peninsula	true
regions_sea_onscreen_name_bos_korea_strait	Korea Strait	true
regions_sea_onscreen_name_bos_kitan_strait	Kitan Strait	true
regions_sea_onscreen_name_bos_noto_peninsula	Noto Peninsula	true
regions_sea_onscreen_name_jap_kitan_strait	Kitan Strait	true
regions_sea_onscreen_name_bos_western_hokkaido_coast	Western Hokkaido Coast	true
regions_sea_onscreen_name_bos_eastern_hokuriku_coast	Eastern Hokuriku Coast	true
regions_sea_onscreen_name_jap_east_china_sea	East China Sea	true
regions_sea_onscreen_name_bos_bozo_peninsula	Bozo Peninsula	true
regions_sea_onscreen_name_jap_noto_peninsula	Noto Peninsula	true
regions_sea_onscreen_name_jap_pacific_ocean	Pacific Ocean	true
regions_sea_onscreen_name_bos_pacific_ocean	Pacific Ocean	true
regions_sea_onscreen_name_jap_ford_eastern_seto_inland_sea	Eastern Seto Inland Sea	true
regions_sea_onscreen_name_jap_eastern_hokuriku_coast	Eastern Hokuriku Coast	true
regions_sea_onscreen_name_jap_ford_omura_bay	Omura Bay	true
regions_sea_onscreen_name_bos_western_hokuriku_coast	Western Hokuriku Coast	true
regions_sea_onscreen_name_jap_ford_tokyo_bay	Tokyo Bay	true
regions_sea_onscreen_name_jap_western_hokuriku_coast	Western Hokuriku Coast	true
regions_sea_onscreen_name_jap_osumi_islands	Osumi Islands	true
regions_sea_onscreen_name_bos_eastern_seto_inland_sea	Eastern Seto Inland Sea	true
regions_sea_onscreen_name_jap_ford_aomori_bay	Aomori Bay	true
regions_sea_onscreen_name_bos_ise_bay	Ise Bay	true
regions_sea_onscreen_name_bos_western_seto_inland_sea	Western Seto Inland Sea	true
regions_sea_onscreen_name_jap_western_seto_inland_sea	Western Seto Inland Sea	true
regions_sea_onscreen_name_jap_philippine_sea	Philippine Sea	true
regions_sea_onscreen_name_jap_ise_bay	Ise Bay	true
regions_sea_onscreen_name_jap_kanmon_strait	Kanmon Strait	true
regions_sea_onscreen_name_bos_kanmon_strait	Kanmon Strait	true
regions_sea_onscreen_name_jap_eastern_seto_inland_sea	Eastern Seto Inland Sea	true
regions_sea_onscreen_name_jap_bungo_channel	Bungo Channel	true
regions_sea_onscreen_name_bos_bungo_channel	Bungo Channel	true
regions_sea_onscreen_name_jap_sea_of_hyuga	Sea of Hyuga	true
regions_sea_onscreen_name_bos_sea_of_hyuga	Sea of Hyuga	true
regions_sea_onscreen_name_bos_edo_bay	Edo Bay	true
regions_sea_onscreen_name_bos_akashi_strait	Akashi Strait	true
regions_sea_onscreen_name_jap_akashi_strait	Akashi Strait	true
regions_sea_onscreen_name_bos_sea_of_japan	Sea of Japan	true
regions_sea_onscreen_name_bos_naruto_strait	Naruto Strait	true
regions_sea_onscreen_name_jap_naruto_strait	Naruto Strait	true
regions_sea_onscreen_name_jap_tsugaru_strait	Tsugaru Strait	true
