key	text	tooltip
#Loc;1;text/db/slots_gdp_values.loc		
slots_gdp_values_onscreen_name_port4	Port	true
slots_gdp_values_onscreen_name_port5	Port	true
slots_gdp_values_onscreen_name_port0	Port	true
slots_gdp_values_onscreen_name_port1	Port	true
slots_gdp_values_onscreen_name_port2	Port	true
slots_gdp_values_onscreen_name_port3	Port	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing4	Smithing	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing5	Smithing	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing0	Smithing	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing1	Smithing	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing2	Smithing	true
slots_gdp_values_onscreen_name_bos_region_specialty_smithing3	Smithing	true
slots_gdp_values_onscreen_name_settlement4	Town	true
slots_gdp_values_onscreen_name_settlement5	Town	true
slots_gdp_values_onscreen_name_settlement2	Town	true
slots_gdp_values_onscreen_name_settlement3	Town	true
slots_gdp_values_onscreen_name_settlement1	Town	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining4	Silver	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining5	Silver	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining2	Silver	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining3	Silver	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining0	Silver	true
slots_gdp_values_onscreen_name_bos_region_specialty_silver_mining1	Silver	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses5	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses4	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses3	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses2	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses1	Horses	true
slots_gdp_values_onscreen_name_SHO_region_specialty_horses0	Horses	true
slots_gdp_values_onscreen_name_rice4	Fertile Soil	true
slots_gdp_values_onscreen_name_rice5	Very Fertile Soil	true
slots_gdp_values_onscreen_name_rice2	Meagre Soil	true
slots_gdp_values_onscreen_name_rice3	Average Soil	true
slots_gdp_values_onscreen_name_rice0	Average Soil	true
slots_gdp_values_onscreen_name_rice1	Barren Soil	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining0	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining1	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining2	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining3	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining4	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_copper_mining5	Copper	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad5	Railway	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad4	Railway	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad3	Railway	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad2	Railway	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad1	Railway	true
slots_gdp_values_onscreen_name_bos_region_specialty_railroad0	Railway	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition3	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition2	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition1	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition0	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition5	Naval Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_naval_tradition4	Naval Tradition	true
slots_gdp_values_onscreen_name_bos_region_specialtea5	Tea	true
slots_gdp_values_onscreen_name_bos_region_specialtea4	Tea	true
slots_gdp_values_onscreen_name_bos_region_specialtea3	Tea	true
slots_gdp_values_onscreen_name_bos_region_specialtea2	Tea	true
slots_gdp_values_onscreen_name_bos_region_specialtea1	Tea	true
slots_gdp_values_onscreen_name_bos_region_specialtea0	Tea	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone3	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone2	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone1	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone0	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone5	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_stone4	Stone	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition5	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition4	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition3	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition2	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition1	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_philosophical_tradition0	Philosophical Tradition	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing3	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing2	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing1	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing0	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing5	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_smithing4	Smithing	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja4	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja5	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja2	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja3	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja0	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_ninja1	Ninja	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans2	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans3	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans0	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans1	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans4	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_artisans5	Craftwork	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining4	Iron 	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining5	Iron 	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining0	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining1	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining2	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_iron_mining3	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining5	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining4	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining1	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining0	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining3	Iron	true
slots_gdp_values_onscreen_name_bos_region_specialty_iron_mining2	Iron	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining4	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining5	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining2	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining3	Gold	true
slots_gdp_values_onscreen_name_SHO_region_specialty_gold_mining0	Gold	true
