key	text	tooltip
#Loc;1;text/db/subtitles.loc		
subtitles_subtitle_text_FALL_LOSE_SELF_01	Everything given. In honours glorious name. Gone, lost forever.	true
subtitles_subtitle_text_HIS_EURO_2	They bring weapons of smoke and fire, weapons that kill without honour, without skill. 	true
subtitles_subtitle_text_HIS_EURO_3	But even so these foreigners and their guns could give a man power and victory. And victory wipes away dishonour. 	true
subtitles_subtitle_text_HIS_EURO_1	Strangers have come to our shores.	true
subtitles_subtitle_text_FALL_REALMDIV_EMPEROR_04	For there remains but two fates – those who find glory, and those who invite death and oblivion.	true
subtitles_subtitle_text_FALL_REALMDIV_EMPEROR_05	Imperial strength will be restored.  The Emperor will be victorious.	true
subtitles_subtitle_text_FALL_REALMDIV_EMPEROR_01	Each clan has chosen their destiny.	true
subtitles_subtitle_text_FALL_REALMDIV_EMPEROR_02	We will serve the Emperor with strength and honour.	true
subtitles_subtitle_text_FALL_REALMDIV_EMPEROR_03	Friends will become enemies and enemies, friends, but these broken promises no longer concern us.	true
subtitles_subtitle_text_TRN_NAGCAV	Immovable as stone, naginata warrior monk cavalry are excellent against enemy cavalry but weak against spear and missile troops.	true
subtitles_subtitle_text_FALL_REALMDIV_SHOGUN_05	Order will be restored.  The Shogun will be victorious.	true
subtitles_subtitle_text_FALL_REALMDIV_SHOGUN_04	For there remains but two fates – those who find glory, and those who invite death and oblivion.	true
subtitles_subtitle_text_FALL_REALMDIV_SHOGUN_01	Each clan has chosen their destiny.	true
subtitles_subtitle_text_FALL_REALMDIV_SHOGUN_03	Friends will become enemies and enemies, friends, but these broken promises no longer concern us.	true
subtitles_subtitle_text_FALL_REALMDIV_SHOGUN_02	We will serve the Shogun with strength and honour.	true
subtitles_subtitle_text_FALL_HISTORICAL_INTRO_10	The Tozama daimyo, even the Emperor himself, see the chance to bring down the Tokugawa and rule Japan.	true
subtitles_subtitle_text_FALL_HISTORICAL_OUTRO_10	Saigo Takamori would be remembered as the last of the samurai.	true
subtitles_subtitle_text_FALL_HISTORICAL_INTRO_09	With the Shogun's position weakened, his enemies begin to circle.	true
subtitles_subtitle_text_FALL_HISTORICAL_OUTRO_09	On a hillside with his few remaining men, Takamori made his final stand. Surrounded by thousands of government troops, he died a warrior’s death.	true
subtitles_subtitle_text_FALL_HISTORICAL_INTRO_08	Revolutionary ideas and machines from the West began to flood the country.	true
subtitles_subtitle_text_FALL_HISTORICAL_OUTRO_08	Initially successful, the rebels were hopelessly outnumbered and were soon pushed back to Satsuma.	true
subtitles_subtitle_text_FALL_HISTORICAL_INTRO_01	After the battle of Sekigahara the Tokugawa Shogunate dominated Japan.	true
subtitles_subtitle_text_FALL_HISTORICAL_OUTRO_01	Takamori and his Imperial allies succeeded in extinguishing the last embers of Tokugawa support on the 17th May 1869.	true
subtitles_subtitle_text_FALL_HISTORICAL_INTRO_03	Disgraced, the Tozama daimyo and their descendants were forever excluded from positions of power.	true
subtitles_subtitle_text_FALL_HISTORICAL_OUTRO_03	The Meiji government made sweeping reforms.	true
