key	text	tooltip
#Loc;1;text/db/unit_abilities.loc		
unit_abilities_info_card_tooltip_text_flaming_arrows_ability	This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather.	true
unit_abilities_info_card_tooltip_text_faster_rowing	This increases a ship's rowing speed and lasts considerably longer than the battle speed ability.	true
unit_abilities_button_tooltip_text_square_formation	Toggle spear square formation||This defensive formation is especially effective against cavalry charges.||While in this formation, the unit will be immobile and vulnerable to ranged attacks.	true
unit_abilities_info_card_tooltip_text_plug_bayonets	Provide melee bonuses, particularly against charging units, but prevent further firing once fixed	true
unit_abilities_bullet_text_whistling_arrows_ability	Whistling Arrows	true
unit_abilities_button_tooltip_text_light_infantry_behaviour	Toggle light infantry behaviour||Light infantry behaviour orders your troops to spread out and find cover.||This is very effective if your troops are under artillery fire.	true
unit_abilities_info_card_tooltip_text_rapid_volley	Temporarily increases a unit's rate of fire.	true
unit_abilities_info_card_tooltip_text_rally	This unit can rally troops within his area of influence.	true
unit_abilities_info_card_tooltip_text_kisho_training	This unit can be deployed outside of the deployment zone.	true
unit_abilities_info_card_tooltip_text_rapid_advance	Increases a unit's movement speed and charge bonus for a short period of time. 	true
unit_abilities_button_tooltip_text_artillery_accuracy_boost	Targeted Fire||This increases accuracy for a short amount of time.||Once activated, there will be a cooling off period before the ability can be used again.	true
unit_abilities_bullet_text_diamond_formation	Diamond Formation	true
unit_abilities_info_card_tooltip_text_socket_bayonets	Provide melee bonuses, particularly against charging units.	true
unit_abilities_info_card_tooltip_text_active_hiding	This unit can become extremely stealthy for a short period of time, remaining hidden even when running. 	true
unit_abilities_bullet_text_battle_speed_naval	Battle Speed	true
unit_abilities_bullet_text_ram_naval	Ramming	true
unit_abilities_info_card_tooltip_text_tower_flaming_arrows	This tower can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects.	true
unit_abilities_info_card_tooltip_text_warcry	Warcry heavily demoralises up to four nearby enemy units, slowing them down and affecting their defence ability for a short time. 	true
unit_abilities_info_card_tooltip_text_shrapnel_shot	This shell explodes mid-air, sending deadly metal fragments down upon targeted enemy units. Once activated, there will be a cooling-off period before the ability can be used again.	true
unit_abilities_button_tooltip_text_battle_speed_naval	Battle speed||This increases a ship's rowing speed for a short period of time.||Once activated, there will be a cooling off period before the ability can be used again.	true
unit_abilities_info_card_tooltip_text_banzai	This unit can enter into a frenzied state for a short period of time, temporarily increasing its speed, charge and melee attacks, and making it unbreakable. 	true
unit_abilities_info_card_tooltip_text_range_effect	This temporarily increases a unit's firing range. 	true
unit_abilities_button_tooltip_text_ram_naval	Ramming||This temporarily increases a ship's speed but decreases its manoeuvrability and switches off its avoidance capability.	true
unit_abilities_info_card_tooltip_text_flaming_arrows_extreme_range_ability	This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather.	true
unit_abilities_info_card_tooltip_text_heroic_assault	This ability improves the morale and movement speed, and reduces the fatigue of nearby friendly units.	true
unit_abilities_bullet_text_blinding_grenade	Blinding Grenades	true
unit_abilities_bullet_text_whistling_arrows	Whistling Arrows	true
unit_abilities_bullet_text_anti_rally	Anti-rally	true
unit_abilities_info_card_tooltip_text_tower_suppression_fire	This ability increases reload rate but lowers accuracy. Enemy units hit by suppression fire are slowed and suffer a morale penalty.	true
unit_abilities_info_card_tooltip_text_inspire_unit	This unit can choose to inspire a single unit for a short period of time, boosting their morale and greatly improving their marksmanship and melee skills.	true
unit_abilities_info_card_tooltip_text_rally_position	This general can declare a rally position for withdrawing and routing units to pull back to, and reinforcing units to move towards.	true
unit_abilities_bullet_text_fire_and_advance	Fire and Advance Drill	true
unit_abilities_bullet_text_ganbatte	Ganbatte	true
unit_abilities_button_tooltip_text_anti_rally	Anti-rally	true
unit_abilities_info_card_tooltip_text_wooden_stakes	Sharpened stakes can be used to deter enemy cavalry charges	true
unit_abilities_info_card_tooltip_text_whistling_arrows_extreme_range_ability	Whistling arrows have an unsettling effect on both enemy and friendly troops, reducing their morale and combat ability for a short period when they fly over them.	true
unit_abilities_bullet_text_suppression_fire	Suppression Fire	true
unit_abilities_bullet_text_socket_bayonets	Socket Bayonet	true
unit_abilities_button_tooltip_text_diamond_formation	Toggle diamond formation||Diamond formation allows your cavalry to change direction in a much more timely manner.||It also provides your cavalry units with a charge bonus.	true
unit_abilities_button_tooltip_text_we_stand_and_fight	Stand and Fight!||This greatly increases the general's area of influence, further increasing his morale boost of units within his area and increasing their melee attack and firing rate.||While activated, he cannot use his other abilities and is immobile and vulnerable to attack. 	true
unit_abilities_bullet_text_stand_firm	Hold Firm	true
unit_abilities_bullet_text_tower_rapid_volley	Rapid Volley	true
unit_abilities_bullet_text_pavisse_deployable	Screens	true
unit_abilities_bullet_text_cantabrian_circle	Swooping Crane 	true
unit_abilities_bullet_text_kneel_fire_ability	Kneel Fire	true
unit_abilities_info_card_tooltip_text_pike_square_formation	The yari square is an immobile solid square of men presenting a wall of yari on all sides to deter cavalry attack.	true
unit_abilities_button_tooltip_text_overcharge_engine	Overheat Engine||This temporarily increases a ship's speed but also the chance that its engine will explode.	true
unit_abilities_info_card_tooltip_text_whistling_arrows_naval	Whistling arrows have an unsettling effect on both enemy and friendly crews, reducing their morale and combat ability for a short period when they fly over them.	true
unit_abilities_button_tooltip_text_encourage_fleet	Encourage Fleet||Some command ships can encourage other vessels within their area of influence, increasing their melee attack, reload skill and accuracy.||Once this ability has been activated, you will have to wait a while before using it again.	true
unit_abilities_bullet_text_light_infantry_behaviour	Light Infantry Tactics	true
unit_abilities_button_tooltip_text_whistling_arrows_ability	Whistling Arrows||Whistling arrows have a fearsome sound, adversely affecting the morale, melee attack and firing rate of all troops they fly over, friend or foe.||Once this ability has been activated, you will have to wait a while before using it again.	true
unit_abilities_button_tooltip_text_kneel_fire_ability	Kneel Fire||This ability works when the unit is stationary.|| The first rank of this unit will kneel to allow the first two ranks to fire simultaneously.	true
unit_abilities_info_card_tooltip_text_wedge_formation	Trained to charge in a wedge formation in order to better penetrate enemy formations	true
unit_abilities_bullet_text_flaming_arrows_long_range_ability	Flaming Arrows	true
unit_abilities_info_card_tooltip_text_warcry_naval	Warcry heavily demoralises up to seven nearby enemy units, slowing them down and affecting their defence ability for a short time. 	true
unit_abilities_bullet_text_square_formation	Spear Square Formation	true
unit_abilities_button_tooltip_text_kill_zone	Kill Zone||This ability improves the accuracy of this unit.||The firing arc is also reduced.	true
unit_abilities_bullet_text_we_stand_and_fight	Stand and Fight	true
unit_abilities_bullet_text_encourage_fleet	Encourage Fleet	true
unit_abilities_bullet_text_artillery_accuracy_boost	Increased Accuracy	true
unit_abilities_info_card_tooltip_text_flaming_arrows_naval	This unit can fire flaming arrows for a short period of time. Flaming arrows have a greater damage effect and can set fire to flammable objects. Flaming arrows don't function in wet weather.	true
unit_abilities_button_tooltip_text_stand_firm	Hold Firm||This greatly increases defence ability and stops morale from dropping, making the unit, and up to three nearby units, unbreakable for a short time.||While activated, the units affected will have reduced speed.||Once this ability has been activated, you will have to wait a while before using it again.	true
unit_abilities_button_tooltip_text_tower_rapid_volley	Rapid Volley||Temporarily increases a towers rate of fire.	true
unit_abilities_bullet_text_rank_fire	Fire by Rank	true
unit_abilities_button_tooltip_text_flaming_arrows_long_range_ability	Flaming Arrows||Flaming arrows are more powerful than normal arrows and can also cause flammable objects to catch fire, but are unusable in wet weather.||Once activated, there will be a cooling off period before the ability can be used again.	true
unit_abilities_button_tooltip_text_ganbatte	Ganbatte||This ability greatly increases the general's area of influence, further boosting the morale of units and increasing their melee attack and rate of fire.	true
unit_abilities_bullet_text_wedge_formation	Wedge Formation	true
unit_abilities_button_tooltip_text_fire_and_advance	Toggle fire and advance mode||Fire and advance provides constant covering fire whilst still advancing on the enemy.||Due to the complicated nature of reloading and moving through the forward lines, fire in advance is a very slow moving advancing technique.	true
