key	text	tooltip
#Loc;1;text/db/unit_category.loc		
unit_category_localised_name_mp_bosh_shogunate_inf	Modern Shogunate Infantry	true
unit_category_localised_name_infantry	Infantry	true
unit_category_localised_name_naval_merchant	Trade Ship	true
unit_category_localised_name_mp_bosh_line_inf	Line Infantry	true
unit_category_localised_name_cavalry	Cavalry	true
unit_category_localised_name_mp_bosh_cavalry	Cavalry	true
unit_category_localised_name_infantry_ranged	Ranged Infantry	true
unit_category_localised_name_infantry_melee	Melee Infantry	true
unit_category_localised_name_mp_bosh_naval_medium	Medium Ships	true
unit_category_localised_name_mp_siege_and_stealth	Siege and Stealth	true
unit_category_localised_name_mp_bosh_imperial_inf	Modern Imperial Infantry	true
unit_category_localised_name_mp_bosh_foreign_inf	Foreign Infantry	true
unit_category_localised_name_mp_bosh_skirmish_inf	Skirmish Infantry	true
unit_category_localised_name_artillery	Siege Engine	true
unit_category_localised_name_mp_bosh_artillery	Artillery	true
unit_category_localised_name_mp_bosh_elite_inf	Elite Infantry	true
unit_category_localised_name_naval_light	Light Ship	true
unit_category_localised_name_mp_bosh_naval_light	Light Ships	true
unit_category_localised_name_mp_bosh_melee_inf	Melee Infantry	true
unit_category_localised_name_naval_medium	Medium Ship	true
unit_category_localised_name_mp_bosh_naval_heavy	Heavy Ships	true
unit_category_localised_name_naval_heavy	Heavy Ship	true
