key	text	tooltip
#Loc;1;text/db/unit_regiment_names_localisation_lookup.loc		
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_10	Nasu no Yoichi	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_11	Yada Yoshiyasu	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_6	Shunkan	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_5	Enryaku-ji	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_4	Tsutsui Jomyo Meishu	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_3	Gochin no Tajima	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_2	Ichirai Hoshi	true
unit_regiment_names_localisation_lookup_unit_name_monk_hero_1	Benkei	true
unit_regiment_names_localisation_lookup_unit_name_female_hero_2	Hojo Masako	true
unit_regiment_names_localisation_lookup_unit_name_female_hero_1	Tomoe Gozen	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_8	Kumagai Naozane	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_9	Sasaki Moritsuna	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_1	Imai Kanehira	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_2	Oba Kagechika	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_3	Saito Sanemori	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_4	Seno Kaneyasu	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_5	Taguchi Shigeyoshi	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_6	Hojo Tokimasa	true
unit_regiment_names_localisation_lookup_unit_name_samurai_hero_7	Kajiwara Kagetoki	true
