key	text	tooltip
#Loc;1;text/db/units.loc		
units_on_screen_name_Boshin_Inf_Spear_Kyoto_Police	Kyoto Police	true
units_on_screen_name_Cav_Sword_Katana_Cavalry_Takeda	Takeda Katana Cavalry	true
units_on_screen_name_Boshin_Inf_Elite_Infanterie_de_marine_MP	Infanterie de marine	true
units_on_screen_name_Inf_Heavy_Warrior_Nuns	Warrior Nuns	true
units_on_screen_name_Boshin_Inf_Line_Infantry	Line Infantry	true
units_on_screen_name_Boshin_Inf_Elite_Infanterie_de_marine	Infanterie de marine	true
units_on_screen_name_Boshin_Frigate_Kaiyo_Maru_Iron_Plated	Armoured Frigate - Kaiyo Maru class	true
units_on_screen_name_Cav_Spear_Light_Cavalry	Light Cavalry	true
units_on_screen_name_Inf_Sword_Katana_Hero	Katana Hero	true
units_on_screen_name_Boshin_Art_Coastal_Guns_Small_MP	Coastal Guns	true
units_on_screen_name_Boshin_Inf_Elite_Royal_Marines	Royal Marines	true
units_on_screen_name_Boshin_Frigate_Kaiyo_Maru_Copper_Plated	Copper plated Frigate - Kaiyo Maru class	true
units_on_screen_name_Inf_Missile_Matchlock_Samurai_MP	Matchlock Samurai	true
units_on_screen_name_Inf_Spear_Yari_Ashigaru	Yari Ashigaru	true
units_on_screen_name_Genpei_Inf_Heavy_Naginata_Warrior_Monks	Naginata Warrior Monks	true
units_on_screen_name_Genpei_Inf_Heavy_Naginata_Attendants_MP	Naginata Attendants	true
units_on_screen_name_Inf_Missile_Portuguese_Tercos	Portuguese Tercos	true
units_on_screen_name_Boshin_Inf_Special_Kisho_Ninjas	Kisho Ninja	true
units_on_screen_name_Inf_Missile_Portuguese_Tercos_MP	Portuguese Tercos	true
units_on_screen_name_Boshin_Corvette_Kanko_Maru_Copper_Plated	Copper plated Corvette - Kanko Maru class	true
units_on_screen_name_Boshin_Inf_Light_Tosa_Riflemen	Tosa Riflemen	true
units_on_screen_name_Boshin_Ironclad_USS_Roanoke_MP	Ironclad - Roanoke class	true
units_on_screen_name_Sh_Inf_Missile_Matchlock_Hero_MP	Tokitaka’s Tanegashima	true
units_on_screen_name_Inf_Sword_Katana_Hero_MP	Katana Hero	true
units_on_screen_name_Genpei_Cav_Missile_Samurai_Cavalry_MP	Mounted Samurai	true
units_on_screen_name_Trade_Ship_Trade_Ship	Trade Ship	true
units_on_screen_name_Genpei_Medium_Ship_Medium_Ship_Pirate	Pirate Medium Ship	true
units_on_screen_name_Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki	Ikko Ikki Bow Warrior Monks	true
units_on_screen_name_Genpei_Inf_Missile_Samurai_Infantry_MP	Foot Samurai	true
units_on_screen_name_Boshin_Inf_Sword_Katana_Kachi	Katana Kachi	true
units_on_screen_name_Boshin_Corvette_Kaiten	Wooden Corvette - Kaiten class	true
units_on_screen_name_Gen_Oda_Nobunaga	Oda Nobunaga	true
units_on_screen_name_Boshin_Corvette_Kanrin_Maru_Iron_Plated	Armoured Corvette - Kanrin Maru class	true
units_on_screen_name_Gen_Chosokabe_Motochika	Chosokabe Motochika	true
units_on_screen_name_Boshin_Corvette_Kanko_Maru_MP	Wooden Corvette - Kanko Maru class	true
units_on_screen_name_test_gatling_gun	Gatling Gun	true
units_on_screen_name_UP1_Inf_Missile_Bandits_Hattori	Hattori Bandits	true
units_on_screen_name_Genpei_Inf_Heavy_Tetsubo_Warrior_Monks	Tetsubo Warrior Monk Hero	true
units_on_screen_name_Boshin_Inf_Light_Sharpshooters	Sharpshooters	true
units_on_screen_name_Genpei_Light_Ship_Light_Ship_Attendants	Attendants Light Ship	true
units_on_screen_name_Boshin_Corvette_Kasuga	Wooden Corvette - Kasuga class	true
units_on_screen_name_Cav_Spear_Naginata_Warrior_Monk_Cavalry	Naginata Warrior Monk Cavalry	true
units_on_screen_name_Boshin_Inf_Elite_Kihetai	Kihetai	true
units_on_screen_name_Sh_Cav_Sword_Katana_Cavalry_Hero	Kiyomasa’s Katana Cavalry	true
units_on_screen_name_Inf_Spear_Yari_Samurai	Yari Samurai	true
units_on_screen_name_Sh_Inf_Missile_Matchlock_Hero	Tokitaka’s Tanegashima	true
units_on_screen_name_Cav_Spear_Light_Cavalry_Takeda	Takeda Light Cavalry	true
units_on_screen_name_Boshin_Art_Coastal_Guns_Medium	Coastal Guns	true
units_on_screen_name_Cinematic_Advisor_Shogun	CINEMATIC UNIT Advisors and Shogun	true
units_on_screen_name_Inf_Missile_Bow_Ashigaru_Hattori	Hattori Bow Ashigaru	true
units_on_screen_name_Inf_Heavy_Naginata_Warrior_Monk_Hero_Ikko_Ikki	Ikko Ikki Naginata Warrior Monk Hero	true
units_on_screen_name_Inf_Spear_Yari_Ashigaru_Tutorial	Yari Ashigaru	true
units_on_screen_name_Cav_Spear_Great_Guard_MP	Great Guard	true
units_on_screen_name_Heavy_Ship_Nihon_Maru	Nihon Maru	true
units_on_screen_name_Gen_Otomo_Sorin	Otomo Sorin	true
units_on_screen_name_Inf_Sword_Katana_Hero_Shimazu	Shimazu Katana Hero	true
units_on_screen_name_Inf_Missile_Imported_Matchlock_Ashigaru	Imported Matchlock Ashigaru	true
units_on_screen_name_Boshin_Gen_Generals_Bodyguard	General's Bodyguard	true
units_on_screen_name_UP1_Inf_Missile_Heavy_Gunner_Shimazu	Shimazu Heavy Gunners	true
units_on_screen_name_Genpei_Heavy_Ship_Heavy_Ship_Attendants	Attendants Large Ship	true
units_on_screen_name_Art_Large_Shafted_Fire_Rockets	Fire Rockets	true
units_on_screen_name_UP1_Inf_Heavy_Marathon_Monks_Ikko_Ikki	Ikko Ikki Marathon Monks	true
units_on_screen_name_Boshin_Inf_Spear_Kyoto_Police_MP	Kyoto Police	true
units_on_screen_name_Cav_Spear_Yari_Cavalry	Yari Cavalry	true
units_on_screen_name_Boshin_Cav_Sword_Sabre_Cavalry	Sabre Cavalry	true
units_on_screen_name_Inf_Sword_Nodachi_Samurai_Date	Date No-Dachi Samurai	true
units_on_screen_name_Light_Ship_Matchlock_Kobaya_Mori	Mori Matchlock Kobaya	true
units_on_screen_name_UP1_Inf_Missile_Heavy_Gunner_MP	Heavy Gunners	true
units_on_screen_name_Inf_Missile_Matchlock_Ashigaru_Ikko_Ikki	Ikko Ikki Matchlock Ashigaru	true
units_on_screen_name_Medium_Ship_Sengoku_Bune_Mori	Mori Sengoku Bune	true
