key	text	tooltip
#Loc;1;text/db/avatar_aesthetic_sets.loc		
avatar_aesthetic_sets_localised_name_armour_set_scale_cuirass	Bộ giáp: Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_blade_master	Bộ giáp: Blade Master	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_tier_1_promotion	Gia huy: Thăng cấp Gia tộc Bậc 1	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_clanmap_region	Gia huy thành tựu: Chiếm 1 Vùng Clanmap	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_drop_in_battle	Gia huy thành tựu: Tham gia 1 Trận đánh Drop-In	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_clanmap_season	Gia huy thành tựu: Chiến thắng Mùa giải Gia tộc	true
avatar_aesthetic_sets_localised_name_armour_set_oda_nobunaga	Bộ giáp: Oda Nobunaga	true
avatar_aesthetic_sets_localised_name_armour_set_kato_kiyomasa	Bộ giáp: Kato Kiyomasa	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_shinsengumi_2	Đồng phục Shinsengumi 2	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_shinsengumi_1	Đồng phục Shinsengumi 1	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_joined_clan	Gia huy thành tựu: Gia nhập Gia tộc	true
avatar_aesthetic_sets_localised_name_armour_set_toyotomi_hideyoshi	Bộ giáp: Toyotomi Hideyoshi	true
avatar_aesthetic_sets_localised_name_armour_set_maeda_toshie	Bộ giáp: Maeda Toshie	true
avatar_aesthetic_sets_localised_name_armour_set_date_masamune	Bộ giáp: Date Masamune	true
avatar_aesthetic_sets_localised_name_armour_set_kawari_kabuto	Bộ giáp: Kawari Kabuto	true
avatar_aesthetic_sets_localised_name_armour_set_sparse_point_laced	Bộ giáp: Sparse Point Laced	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_late_samurai_3	Đồng phục Samurai Hậu kỳ 3	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_late_samurai_2	Đồng phục Samurai Hậu kỳ 2	true
avatar_aesthetic_sets_localised_name_armour_set_catfish_tail	Bộ giáp: Catfish Tail	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_comp_winner	Món giáp: Clan Champions	true
avatar_aesthetic_sets_localised_name_armour_set_itakura_katsushige	Bộ giáp: Itakura Katsushige	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_naval_battle	Gia huy thành tựu: Tham gia 1 Trận hải chiến	true
avatar_aesthetic_sets_localised_name_armour_set_ichinotani	Bộ giáp: Ichinotani	true
avatar_aesthetic_sets_localised_name_armour_set_morning_glory	Bộ giáp: Morning Glory	true
avatar_aesthetic_sets_localised_name_armour_set_western_style	Bộ giáp: Kiểu phương Tây	true
avatar_aesthetic_sets_localised_name_armour_set_silver_scale_cuirass	Bộ giáp: Silver Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_golden_scale_cuirass	Bộ giáp: Golden Scale Cuirass	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_quick_battle	Gia huy thành tựu: Tham gia 1 Trận đánh Nhanh	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_25	Gia huy thành tựu: Bảng xếp hạng Gia tộc Top 25	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_army_colour_change	Gia huy thành tựu: Đổi màu Quân đội	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_10	Gia huy thành tựu: Bảng xếp hạng Gia tộc Top 10	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_won_5_clanmap_regions	Gia huy thành tựu: Chiếm 5 Vùng Clanmap	true
avatar_aesthetic_sets_localised_name_armour_set_multicolour_laced	Bộ giáp: Multicolour Laced	true
avatar_aesthetic_sets_localised_name_armour_set_honda_tadakatsu	Bộ giáp: Honda Tadakatsu	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_modern_3	Đồng phục Hiện đại 3	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_modern_2	Đồng phục Hiện đại 2	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_modern_4	Đồng phục Hiện đại 4	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_promotion	Gia huy: Thăng cấp Gia tộc	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_french_1	Đồng phục Pháp	true
avatar_aesthetic_sets_localised_name_armour_set_akechi_mitsuharu	Bộ giáp: Akechi Mitsuharu	true
avatar_aesthetic_sets_localised_name_armour_set_triple_hollyhock	Bộ giáp: Triple Hollyhock	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_american_1	Đồng phục Mỹ 1	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_american_2	Đồng phục Mỹ 2	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_1	Gia huy thành tựu: Bảng xếp hạng Gia tộc Top 1	true
avatar_aesthetic_sets_localised_name_armour_set_uesugi_kenshin	Bộ giáp: Uesugi Kenshin	true
avatar_aesthetic_sets_localised_name_armour_set_default	Bộ giáp: Default PLACEHOLDER	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_clan_leaderboard_top_100	Gia huy thành tựu: Bảng xếp hạng Gia tộc Top 100	true
avatar_aesthetic_sets_localised_name_armour_set_hosokawa_tadaoki	Bộ giáp: Hosokawa Tadaoki	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_british_1	Đồng phục Anh	true
avatar_aesthetic_sets_localised_name_armour_set_ikko_ikki	Bộ giáp: Robes of the Ikko Ikki	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_officer_2	Đồng phục Sĩ quan 2	true
avatar_aesthetic_sets_localised_name_armour_set_boshin_officer_1	Đồng phục Sĩ quan 1	true
avatar_aesthetic_sets_localised_name_armour_set_goldfish_scale	Bộ giáp: Goldfish Scale	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_25_percent_all_drops	Gia huy thành tựu: Thu thập 25% tất cả vật phẩm	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_50_percent_all_drops	Gia huy thành tựu: Thu thập 50% tất cả vật phẩm	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_75_percent_all_drops	Gia huy thành tựu: Thu thập 75% tất cả vật phẩm	true
avatar_aesthetic_sets_localised_name_armour_set_naoe_kanetsugu	Bộ giáp: Naoe Kanetsugu	true
avatar_aesthetic_sets_localised_name_armour_set_crest_ach_1_land_battle	Gia huy thành tựu: Tham gia 1 Trận đánh Trên bộ	true
avatar_aesthetic_sets_localised_name_armour_set_legendary_kabuto_of_ykok	Bộ giáp của Đại Soái	true
avatar_aesthetic_sets_localised_name_armour_set_tokugawa_ieyasu	Bộ giáp: Tokugawa Ieyasu	true
