key	text	tooltip
#Loc;1;text/db/avatar_aesthetics_localised_source_lookups.loc		
avatar_aesthetics_localised_source_lookups_description_achievement_united_in_conquest	Hoàn thành Thành tựu: United in Conquest	true
avatar_aesthetics_localised_source_lookups_description_achievement_army_on_the_march	Hoàn thành Thành tựu: The Army on the March	true
avatar_aesthetics_localised_source_lookups_description_achievement_advanced_firearms	Hoàn thành Thành tựu: Advanced Firearms	true
avatar_aesthetics_localised_source_lookups_description_achievement_man_the_defences	Hoàn thành Thành tựu: Man the Defences	true
avatar_aesthetics_localised_source_lookups_description_achievement_eradicate_the_iga	Hoàn thành Thành tựu: Eradicate the Iga	true
avatar_aesthetics_localised_source_lookups_description_achievement_respectable_rule	Hoàn thành Thành tựu: A Respectable Rule	true
avatar_aesthetics_localised_source_lookups_description_achievement_headhunter	Hoàn thành Thành tựu: Headhunter	true
avatar_aesthetics_localised_source_lookups_description_achievement_uniter_of_japan	Hoàn thành Thành tựu: Uniter of Japan	true
avatar_aesthetics_localised_source_lookups_description_achievement_dragon_of_japan	Hoàn thành Thành tựu: The Dragon of Japan	true
avatar_aesthetics_localised_source_lookups_description_achievement_achievement_without_honour	Hoàn thành Thành tựu: Achievement Without Honour	true
avatar_aesthetics_localised_source_lookups_description_achievement_claw_of_the_tiger	Hoàn thành Thành tựu: Claw of the Tiger	true
avatar_aesthetics_localised_source_lookups_description_achievement_inspiring_counterattack	Hoàn thành Thành tựu: Inspiring Counterattack	true
avatar_aesthetics_localised_source_lookups_description_achievement_swift_and_deadly	Hoàn thành Thành tựu: Swift and Deadly	true
avatar_aesthetics_localised_source_lookups_description_achievement_experienced_taisho	Hoàn thành Thành tựu: Experienced Taisho	true
avatar_aesthetics_localised_source_lookups_description_achievement_tokugawa_victory	Hoàn thành Thành tựu: Tokugawa Victory	true
avatar_aesthetics_localised_source_lookups_description_clan_comp_promotion	Gia tộc của bạn phải được thăng hạng lên bậc mới trong giải đấu gia tộc để mở khóa vật phẩm này.	true
avatar_aesthetics_localised_source_lookups_description_battle	Phần thưởng ngẫu nhiên sau trận đánh	true
avatar_aesthetics_localised_source_lookups_description_achievement_fearsome_commander_of_men	Hoàn thành Thành tựu: Fearsome Commander of Men	true
avatar_aesthetics_localised_source_lookups_description_achievement_balanced_attacker	Hoàn thành Thành tựu: Balanced Attacker	true
avatar_aesthetics_localised_source_lookups_description_achievement_chosokabe_victory	Hoàn thành Thành tựu: Chosokabe Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_loyal_to_the_clan	Hoàn thành Thành tựu: Loyal to the Clan	true
avatar_aesthetics_localised_source_lookups_description_achievement_holder_of_shikoku	Hoàn thành Thành tựu: Holder of Shikoku	true
avatar_aesthetics_localised_source_lookups_description_achievement_spreading_like_wildfire	Hoàn thành Thành tựu: Spreading Like Wildfire	true
avatar_aesthetics_localised_source_lookups_description_achievement_against_all_odds	Hoàn thành Thành tựu: Against All Odds	true
avatar_aesthetics_localised_source_lookups_description_achievement_fear_no_horseman	Hoàn thành Thành tựu: Fear No Horseman	true
avatar_aesthetics_localised_source_lookups_description_achievement_legendary_force	Hoàn thành Thành tựu: Legendary Force	true
avatar_aesthetics_localised_source_lookups_description_achievement_zenlike_dedication	Hoàn thành Thành tựu: Zen-like Dedication	true
avatar_aesthetics_localised_source_lookups_description_achievement_serve_with_honour	Hoàn thành Thành tựu: Serve with Honour	true
avatar_aesthetics_localised_source_lookups_description_achievement_living_for_battle	Hoàn thành Thành tựu: Living for Battle	true
avatar_aesthetics_localised_source_lookups_description_achievement_gathering_storm	Hoàn thành Thành tựu: The Gathering Storm	true
avatar_aesthetics_localised_source_lookups_description_achievement_legendary_sohei	Hoàn thành Thành tựu: Legendary Sohei	true
avatar_aesthetics_localised_source_lookups_description_achievement_heroic_warriors	Hoàn thành Thành tựu: Heroic Warriors	true
avatar_aesthetics_localised_source_lookups_description_achievement_dishonoured_foe	Hoàn thành Thành tựu: Dishonoured Foe	true
avatar_aesthetics_localised_source_lookups_description_achievement_swathed_in_fire	Hoàn thành Thành tựu: Swathed in Fire	true
avatar_aesthetics_localised_source_lookups_description_achievement_one_rule_under_god	Hoàn thành Thành tựu: One Rule Under God	true
avatar_aesthetics_localised_source_lookups_description_achievement_shimazu_victory	Hoàn thành Thành tựu: Shimazu Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_glittering_grand_cities	Hoàn thành Thành tựu: Glittering Grand Cities	true
avatar_aesthetics_localised_source_lookups_description_ikko_ikki_pdlc_source	Mua DLC Ikko-Ikki	true
avatar_aesthetics_localised_source_lookups_description_achievement_eradicate_the_ikko_ikki	Hoàn thành Thành tựu: Eradicate the Ikko-Ikki	true
avatar_aesthetics_localised_source_lookups_description_achievement_unnecessary_force	Hoàn thành Thành tựu: Unnecessary Force	true
avatar_aesthetics_localised_source_lookups_description_achievement_path_of_the_leader	Hoàn thành Thành tựu: Path of the Leader	true
avatar_aesthetics_localised_source_lookups_description_achievement_holder_of_kyushu	Hoàn thành Thành tựu: Holder of Kyushu	true
avatar_aesthetics_localised_source_lookups_description_achievement_bringer_of_death	Hoàn thành Thành tựu: Bringer of Death	true
avatar_aesthetics_localised_source_lookups_description_placeholder	placeholder	true
avatar_aesthetics_localised_source_lookups_description_achievement_master_interrogator	Hoàn thành Thành tựu: Master Interrogator	true
avatar_aesthetics_localised_source_lookups_description_achievement_agent_stealthy_blade	Hoàn thành Thành tựu: Agent of the Stealthy Blade	true
avatar_aesthetics_localised_source_lookups_description_achievement_divine_right	Hoàn thành Thành tựu: Divine Right	true
avatar_aesthetics_localised_source_lookups_description_achievement_belligerent_admiral	Hoàn thành Thành tựu: Belligerent Admiral	true
avatar_aesthetics_localised_source_lookups_description_achievement_military_might	Hoàn thành Thành tựu: Military Might	true
avatar_aesthetics_localised_source_lookups_description_achievement_elusive_strikeforce	Hoàn thành Thành tựu: Elusive Strikeforce	true
avatar_aesthetics_localised_source_lookups_description_achievement_stubborn_pursuer_of_victory	Hoàn thành Thành tựu: Stubborn Pursuer of Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_commander_of_commoners	Hoàn thành Thành tựu: Commander of Commoners	true
avatar_aesthetics_localised_source_lookups_description_achievement_master_of_the_waves	Hoàn thành Thành tựu: Master of the Waves	true
avatar_aesthetics_localised_source_lookups_description_achievement_battlefield_dominance	Hoàn thành Thành tựu: Battlefield Dominance	true
avatar_aesthetics_localised_source_lookups_description_achievement_oda_victory	Hoàn thành Thành tựu: Oda Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_berserk_charge	Hoàn thành Thành tựu: Berserk Charge	true
avatar_aesthetics_localised_source_lookups_description_achievement_soaring_fame	Hoàn thành Thành tựu: Soaring Fame	true
avatar_aesthetics_localised_source_lookups_description_achievement_famed_shogun	Hoàn thành Thành tựu: Famed Shogun	true
avatar_aesthetics_localised_source_lookups_description_achievement_mori_victory	Hoàn thành Thành tựu: Mori Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_japan_torn_assunder	Hoàn thành Thành tựu: Japan Torn Assunder	true
avatar_aesthetics_localised_source_lookups_description_achievement_date_victory	Hoàn thành Thành tựu: Date Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_takeda_victory	Hoàn thành Thành tựu: Takeda Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_forged_in_the_hottest_flame	Hoàn thành Thành tựu: Forged in the Hottest Flame	true
avatar_aesthetics_localised_source_lookups_description_achievement_uesugi_victory	Hoàn thành Thành tựu: Uesugi Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_carve_a_path	Hoàn thành Thành tựu: Carve a Path	true
avatar_aesthetics_localised_source_lookups_description_achievement_exceptional_warriors	Hoàn thành Thành tựu: Exceptional Warriors	true
avatar_aesthetics_localised_source_lookups_description_clan_comp_winner	Gia tộc của bạn phải chiến thắng bậc 1 của giải đấu gia tộc để mở khóa vật phẩm này.	true
avatar_aesthetics_localised_source_lookups_description_achievement_there_can_be_only_one	Hoàn thành Thành tựu: There Can Be Only One	true
avatar_aesthetics_localised_source_lookups_description_achievement_servant_of_god	Hoàn thành Thành tựu: Servant of God	true
avatar_aesthetics_localised_source_lookups_description_armour_set	Bộ giáp	true
avatar_aesthetics_localised_source_lookups_description_achievement_onna_bugeisha	Hoàn thành Thành tựu: Onna-Bugeisha	true
avatar_aesthetics_localised_source_lookups_description_clan_comp_tier_1_promotion	Gia tộc của bạn phải được thăng hạng lên bậc 1 của giải đấu gia tộc để mở khóa vật phẩm này.	true
avatar_aesthetics_localised_source_lookups_description_campaign	Vùng bản đồ Chiến dịch Hóa thân	true
avatar_aesthetics_localised_source_lookups_description_achievement_stranglehold	Hoàn thành Thành tựu: Stranglehold	true
avatar_aesthetics_localised_source_lookups_description_achievement_hojo_victory	Hoàn thành Thành tựu: Hojo Victory	true
avatar_aesthetics_localised_source_lookups_description_achievement_castle_stormer	Hoàn thành Thành tựu: Castle-Stormer	true
avatar_aesthetics_localised_source_lookups_description_starting	Trang bị khởi đầu	true
avatar_aesthetics_localised_source_lookups_description_achievement_trade_route_monopoly	Hoàn thành Thành tựu: Trade Route Monopoly	true
