key	text	tooltip
#Loc;1;text/db/avatar_ranks.loc		
avatar_ranks_onscreen_name_avatar_rank_25	Kashira (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_24	Kashira (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_26	Kashira (Kim Cương)	true
avatar_ranks_onscreen_name_avatar_rank_21	Kashira (Bạc)	true
avatar_ranks_onscreen_name_avatar_rank_20	Kashira (Đồng)	true
avatar_ranks_onscreen_name_avatar_rank_23	Kashira (Lục Bảo)	true
avatar_ranks_onscreen_name_avatar_rank_22	Kashira (Vàng)	true
avatar_ranks_onscreen_name_avatar_rank_35	Kumigashira (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_34	Kumigashira (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_36	Kumigashira (Kim Cương)	true
avatar_ranks_onscreen_name_avatar_rank_31	Kumigashira (Bạc)	true
avatar_ranks_onscreen_name_avatar_rank_30	Kumigashira (Đồng)	true
avatar_ranks_onscreen_name_avatar_rank_33	Kumigashira (Lục Bảo)	true
avatar_ranks_onscreen_name_avatar_rank_32	Kumigashira (Vàng)	true
avatar_ranks_onscreen_name_avatar_rank_half2	Ashigaru (Vàng)	true
avatar_ranks_onscreen_name_avatar_rank_half3	Ashigaru (Lục Bảo)	true
avatar_ranks_onscreen_name_avatar_rank_half0	Ashigaru (Đồng)	true
avatar_ranks_onscreen_name_avatar_rank_half1	Ashigaru (Bạc)	true
avatar_ranks_onscreen_name_avatar_rank_half6	Ashigaru (Kim Cương)	true
avatar_ranks_onscreen_name_avatar_rank_half4	Ashigaru (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_half5	Ashigaru (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_05	Ashigaru (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_04	Ashigaru (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_06	Ashigaru (Kim Cương)	true
avatar_ranks_onscreen_name_avatar_rank_01	Ashigaru (Bạc)	true
avatar_ranks_onscreen_name_avatar_rank_00	Ashigaru (Đồng)	true
avatar_ranks_onscreen_name_avatar_rank_03	Ashigaru (Lục Bảo)	true
avatar_ranks_onscreen_name_avatar_rank_02	Ashigaru (Vàng)	true
avatar_ranks_onscreen_name_avatar_rank_15	Kogashira (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_14	Kogashira (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_16	Kogashira (Kim Cương)	true
avatar_ranks_onscreen_name_avatar_rank_11	Kogashira (Bạc)	true
avatar_ranks_onscreen_name_avatar_rank_10	Kogashira (Đồng)	true
avatar_ranks_onscreen_name_avatar_rank_13	Kogashira (Lục Bảo)	true
avatar_ranks_onscreen_name_avatar_rank_12	Kogashira (Vàng)	true
avatar_ranks_onscreen_name_avatar_rank_65	Taisho (Hồng Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_64	Taisho (Lam Ngọc)	true
avatar_ranks_onscreen_name_avatar_rank_66	Taisho (Kim Cương)	true
