key	text	tooltip
#Loc;1;text/db/avatar_skill_chain_lookups.loc		
avatar_skill_chain_lookups_localised_string_avatar_bow_skills	Kỹ năng Cung Thuật	true
avatar_skill_chain_lookups_localised_string_unit_melee_cavalry_skills	Kỹ năng Kỵ binh Cận Chiến	true
avatar_skill_chain_lookups_localised_string_unit_spear_skills	Kỹ năng Thương Thuật	true
avatar_skill_chain_lookups_localised_string_unit_siege_skills	Kỹ năng Máy Công Thành	true
avatar_skill_chain_lookups_localised_string_unit_light_cavalry_skills	Kỹ năng Kỵ binh Nhẹ	true
avatar_skill_chain_lookups_localised_string_unit_cooking_pot_firebomb_skills	Kỹ năng Bom Lửa	true
avatar_skill_chain_lookups_localised_string_unit_sword_skills	Kỹ năng Kiếm Thuật	true
avatar_skill_chain_lookups_localised_string_unit_bow_ashigaru_skills	Kỹ năng Cung Ashigaru	true
avatar_skill_chain_lookups_localised_string_unit_bow_skills	Kỹ năng Cung Thuật	true
avatar_skill_chain_lookups_localised_string_unit_firearm_cav_skills	Kỹ năng Kỵ binh Hỏa Khí	true
avatar_skill_chain_lookups_localised_string_avatar_physical_skills	Thể chất	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_gunpowder_skills	Hỏa dược	true
avatar_skill_chain_lookups_localised_string_avatar_leadership_skills	Lãnh đạo	true
avatar_skill_chain_lookups_localised_string_unit_bow_cavalry_skills	Kỹ năng Kỵ binh Cung	true
avatar_skill_chain_lookups_localised_string_unit_stealth_skills	Kỹ năng Ninja	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_command_skills	Chỉ huy	true
avatar_skill_chain_lookups_localised_string_avatar_combat_skills	Cận chiến	true
avatar_skill_chain_lookups_localised_string_boshin_avatar_bushido_skills	Bushido	true
avatar_skill_chain_lookups_localised_string_unit_gatling_skills	Kỹ năng Súng Gatling	true
avatar_skill_chain_lookups_localised_string_unit_line_inf_skills	Kỹ năng Bộ binh Tuyến	true
avatar_skill_chain_lookups_localised_string_unit_monk_cav_skills	Kỹ năng Kỵ binh Tăng Binh	true
avatar_skill_chain_lookups_localised_string_unit_light_inf_skills	Kỹ năng Bộ binh Nhẹ	true
avatar_skill_chain_lookups_localised_string_unit_firearms_skills	Kỹ năng Súng Hỏa Mai	true
