key	text	tooltip
#Loc;1;text/db/units.loc		
units_on_screen_name_Boshin_Inf_Spear_Kyoto_Police	Cảnh sát Kyoto	true
units_on_screen_name_Cav_Sword_Katana_Cavalry_Takeda	Takeda Katana Kỵ binh	true
units_on_screen_name_Boshin_Inf_Elite_Infanterie_de_marine_MP	Bộ binh thủy quân	true
units_on_screen_name_Inf_Heavy_Warrior_Nuns	Nữ tu chiến binh	true
units_on_screen_name_Boshin_Inf_Line_Infantry	Bộ binh tuyến	true
units_on_screen_name_Boshin_Inf_Elite_Infanterie_de_marine	Bộ binh thủy quân	true
units_on_screen_name_Boshin_Frigate_Kaiyo_Maru_Iron_Plated	Khinh hạm bọc giáp - lớp Kaiyo Maru	true
units_on_screen_name_Cav_Spear_Light_Cavalry	Kỵ binh Hạng nhẹ	true
units_on_screen_name_Inf_Sword_Katana_Hero	Anh hùng Katana	true
units_on_screen_name_Boshin_Art_Coastal_Guns_Small_MP	Pháo phòng thủ bờ biển	true
units_on_screen_name_Boshin_Inf_Elite_Royal_Marines	Thủy quân lục chiến Hoàng gia	true
units_on_screen_name_Boshin_Frigate_Kaiyo_Maru_Copper_Plated	Khinh hạm bọc đồng - lớp Kaiyo Maru	true
units_on_screen_name_Inf_Missile_Matchlock_Samurai_MP	Matchlock Samurai	true
units_on_screen_name_Inf_Spear_Yari_Ashigaru	Yari Ashigaru	true
units_on_screen_name_Genpei_Inf_Heavy_Naginata_Warrior_Monks	Naginata Warrior Monks	true
units_on_screen_name_Genpei_Inf_Heavy_Naginata_Attendants_MP	Naginata Attendants	true
units_on_screen_name_Inf_Missile_Portuguese_Tercos	Portuguese Tercos	true
units_on_screen_name_Boshin_Inf_Special_Kisho_Ninjas	Kisho Ninja	true
units_on_screen_name_Inf_Missile_Portuguese_Tercos_MP	Portuguese Tercos	true
units_on_screen_name_Boshin_Corvette_Kanko_Maru_Copper_Plated	Hộ vệ hạm bọc đồng - lớp Kanko Maru	true
units_on_screen_name_Boshin_Inf_Light_Tosa_Riflemen	Tosa Xạ thủ	true
units_on_screen_name_Boshin_Ironclad_USS_Roanoke_MP	Thiết giáp hạm - lớp Roanoke	true
units_on_screen_name_Sh_Inf_Missile_Matchlock_Hero_MP	Tanegashima của Tokitaka	true
units_on_screen_name_Inf_Sword_Katana_Hero_MP	Anh hùng Katana	true
units_on_screen_name_Genpei_Cav_Missile_Samurai_Cavalry_MP	Samurai cưỡi ngựa	true
units_on_screen_name_Trade_Ship_Trade_Ship	Thuyền buôn	true
units_on_screen_name_Genpei_Medium_Ship_Medium_Ship_Pirate	Thuyền hải tặc trung	true
units_on_screen_name_Inf_Missile_Bow_Warrior_Monks_Ikko_Ikki	Ikko Ikki Bow Warrior Monks	true
units_on_screen_name_Genpei_Inf_Missile_Samurai_Infantry_MP	Samurai bộ	true
units_on_screen_name_Boshin_Inf_Sword_Katana_Kachi	Katana Kachi	true
units_on_screen_name_Boshin_Corvette_Kaiten	Hộ vệ hạm gỗ - lớp Kaiten	true
units_on_screen_name_Gen_Oda_Nobunaga	Oda Nobunaga	true
units_on_screen_name_Boshin_Corvette_Kanrin_Maru_Iron_Plated	Hộ vệ hạm bọc giáp - lớp Kanrin Maru	true
units_on_screen_name_Gen_Chosokabe_Motochika	Chosokabe Motochika	true
units_on_screen_name_Boshin_Corvette_Kanko_Maru_MP	Hộ vệ hạm gỗ - lớp Kanko Maru	true
units_on_screen_name_test_gatling_gun	Súng Gatling	true
units_on_screen_name_UP1_Inf_Missile_Bandits_Hattori	Hattori Bandits	true
units_on_screen_name_Genpei_Inf_Heavy_Tetsubo_Warrior_Monks	Anh hùng Tetsubo Warrior Monk	true
units_on_screen_name_Boshin_Inf_Light_Sharpshooters	Xạ thủ thiện xạ	true
units_on_screen_name_Genpei_Light_Ship_Light_Ship_Attendants	Thuyền Hạng nhẹ Attendants	true
units_on_screen_name_Boshin_Corvette_Kasuga	Hộ vệ hạm gỗ - lớp Kasuga	true
units_on_screen_name_Cav_Spear_Naginata_Warrior_Monk_Cavalry	Naginata Warrior Monk Kỵ binh	true
units_on_screen_name_Boshin_Inf_Elite_Kihetai	Kihetai	true
units_on_screen_name_Sh_Cav_Sword_Katana_Cavalry_Hero	Katana Kỵ binh của Kiyomasa	true
units_on_screen_name_Inf_Spear_Yari_Samurai	Yari Samurai	true
