key	text	tooltip
#Loc;1;text/startpos_jap_boshin.loc		
start_pos_regions_rebel_faction_name_bos_united_states_basejap_boshin	French Rebels	false
start_pos_factions_long_description_2120136095	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135796	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135896	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135996	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135891	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120136090	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135993	The Tycoons \\n\\nUnder the leadership of Makino Tadayuki, the Makino clan and the Nagaoka domain are loyal to the Shogun rather than the Emperor. As a family they owe their position to their successes as administrators rather than warriors and claim descent from Takenouchi no Sukune, legendary statesman and advisor to five great Emperors of old. Nagaoka domain benefits from its rulers’ love of modern ideas, and links to foreign arms dealers. The domain has better business skills (and economic bonuses); can produce modern-pattern units at lower cost than others; and Nagaoka troops can reload on the battlefield quicker than others’ soldiers. \\n\\nThe various branches of the Makino clan eventually did rather well out of the struggles of the Boshin War: the heads of three separate branches of the family, including the ruler of Nagaoka, were all ennobled as “viscounts” during the following Meiji period. Incidentally, the Nagaoka crater, and its smaller satellite craters, on the far side of the Moon are not named after the domain; they commemorate Nagaoka Hantaro, a noted Japanese physicist of the early 20th Century who put forward an early model for an atom’s structure in 1904. This was only 50 years after Japan had opened up, and vividly shows the tremendous efforts made by the country to modernise rapidly.	false
start_pos_factions_long_description_2120136098	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135785	The Mediators \\n\\nThe Yamauchi clan owe their lordship in Tosa to their support for Oda Nobunaga and then, after that great warlord’s death, their support of Tokugawa Ieyasu at the battle of Sekigahara in 1600. Those families who supported the newly victorious Shogun did rather well in the centuries that followed. The Tosa domain, however, was predominantly loyal to the Emperor’s party by the time of the Boshin War: predominantly, but not entirely. Yamauchi Toyoshige urged the Shogun to return authority to the Emperor, avoid open warfare and so prevent Choshu and Satsuma from becoming even more powerful. When this became impossible, Tosa sided with the Emperor’s forces. \\n\\nHowever, this gives the Yamauchi and their domain some advantages. They are skilled in diplomacy, and have a good deal of naval expertise which is reflected in their ships’ experience and in their ability to bombard shore targets.	false
start_pos_factions_long_description_2120135985	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135884	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135781	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120136081	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135780	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135882	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135788	PLACEHOLDER DESCRIPTION	false
start_pos_factions_long_description_2120135988	PLACEHOLDER DESCRIPTION	false
start_pos_settlements_onscreen_name_settlement:bos_tajima:toyooka2130427216	Izushi	false
start_pos_regions_rebel_faction_name_bos_mimasakajap_boshin	French Rebels	false
start_pos_regions_rebel_faction_name_bos_tsushimajap_boshin	French Rebels	false
start_pos_factions_description_2120135781	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120136081	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135780	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135882	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135785	The Yamauchi clan owe their position in Tosa to their support for Tokugawa Ieyasu at Sekigahara in 1600. However, by the 1860s the Tosa domain was loyal to the Emperor’s party. Yamauchi Toyoshige urged the Shogun to return authority to the Emperor and so prevent Choshu and Satsuma from becoming too powerful. When this became impossible, Tosa sided with the Emperor’s forces. Skilled in diplomacy, they also have a good deal of naval expertise, reflected by initial ship experience and ability to bombard targets on the shore.	false
start_pos_factions_description_2120135985	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135884	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135788	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120135988	PLACEHOLDER DESCRIPTION	false
start_pos_regions_long_description_bos_shiribeshijap_boshin	Situated on the west coast of Hokkaido, Shiribeshi contains coal seams that provide a large proportion of its income. 	false
start_pos_settlements_onscreen_name_settlement:bos_musashi:edo2130427106	Edo	false
start_pos_regions_rebel_faction_name_bos_nagasakijap_boshin	French Rebels	false
start_pos_factions_description_2120135891	PLACEHOLDER DESCRIPTION	false
start_pos_factions_description_2120136090	PLACEHOLDER DESCRIPTION	false
