key	text	tooltip
#Loc;1;text/startpos_tut_shogun.loc		
start_pos_regions_rebel_faction_name_jap_tut_tosatut_shogun	Chosokabe Rebels	false
start_pos_factions_description_2120134998	PLACEHOLDER	false
start_pos_factions_description_2120135042	PLACEHOLDER	false
start_pos_factions_description_2120135020	PLACEHOLDER	false
start_pos_factions_description_2120135030	PLACEHOLDER	false
start_pos_factions_description_2120135033	PLACEHOLDER	false
start_pos_settlements_onscreen_name_settlement:jap_tut_harima:akashi2130425673	Akashi	false
start_pos_factions_description_2120135001	PLACEHOLDER	false
start_pos_factions_description_2120135000	PLACEHOLDER	false
start_pos_factions_description_2120135003	PLACEHOLDER	false
start_pos_factions_description_2120135009	PLACEHOLDER	false
start_pos_factions_description_2120135014	PLACEHOLDER	false
start_pos_settlements_onscreen_name_settlement:jap_tut_bingo:fuchu2130425701	Fuchu	false
start_pos_settlements_onscreen_name_settlement:jap_tut_yamato:joroku2130425718	Joroku	false
start_pos_settlements_onscreen_name_settlement:jap_tut_bitchu:soja2130425689	Soja	false
start_pos_regions_rebel_faction_name_jap_tut_iyotut_shogun	Kono Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_kiitut_shogun	Hatakeyama Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_awatut_shogun	Miyoshi Rebels	false
start_pos_settlements_onscreen_name_settlement:jap_tut_awa:tokushima2130425648	Tokushima	false
start_pos_regions_rebel_faction_name_jap_tut_tambatut_shogun	Miyoshi Rebels	false
campaigns_onscreen_name_tut_shogun	Shikoku	false
start_pos_settlements_onscreen_name_settlement:jap_tut_sanuki:takamatsu2130425644	Takamatsu	false
start_pos_regions_rebel_faction_name_jap_tut_yamatotut_shogun	Tsutsui Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_sanukitut_shogun	Sogo Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_bizentut_shogun	Urakami Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_bingotut_shogun	Kikkawa Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_bitchutut_shogun	Matsuda Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_settsutut_shogun	Miyoshi Rebels	false
start_pos_regions_rebel_faction_name_jap_tut_awajitut_shogun	Miyoshi Rebels	false
start_pos_settlements_onscreen_name_settlement:jap_tut_tamba:kameyaka2130425711	Kameyaka	false
start_pos_settlements_onscreen_name_settlement:jap_tut_kawachi:fujidera2130425658	Fujidera	false
start_pos_regions_rebel_faction_name_jap_tut_harimatut_shogun	Bessho Rebels	false
start_pos_settlements_onscreen_name_settlement:jap_tut_awaji:minamiawaji2130425686	Minamiawaji	false
start_pos_settlements_onscreen_name_settlement:jap_tut_bizen:okayama2130425679	Okayama	false
start_pos_settlements_onscreen_name_settlement:jap_tut_settsu:osaka2130425666	Osaka	false
start_pos_settlements_onscreen_name_settlement:jap_tut_tosa:kochi2130425642	Kochi	false
campaigns_description_tut_shogun	Placeholder tutorial description	false
start_pos_settlements_onscreen_name_settlement:jap_tut_kii:wakayama2130425691	Wakayama	false
start_pos_settlements_onscreen_name_settlement:jap_tut_iyo:imabari2130425646	Imabari	false
campaign_map_playable_areas_onscreen_name_1564135507	Shikoku	false
start_pos_regions_rebel_faction_name_jap_tut_kawachitut_shogun	Hatakeyama Rebels	false
